Recipe,URL
Anzac Biscuits II,http://allrecipes.com/recipe/10733/anzac-biscuits-ii
Sweet Candied Orange and Lemon Peel,http://allrecipes.com/recipe/19000/sweet-candied-orange-and-lemon-peel
Roasted Rack of Lamb,http://allrecipes.com/recipe/45641/roasted-rack-of-lamb
Delicious Damper,http://allrecipes.com/recipe/24552/delicious-damper
Nada's Baba Cake,http://allrecipes.com/recipe/25611/nadas-baba-cake
Honeycomb with Golden Syrup,http://allrecipes.com/recipe/246685/honeycomb-with-golden-syrup
ANZAC Biscuits with Almonds,http://allrecipes.com/recipe/19286/anzac-biscuits-with-almonds
Savory Sweet Potato Muffins with Bacon,http://allrecipes.com/recipe/230036/savory-sweet-potato-muffins-with-bacon
Easy New Zealand Squares,http://allrecipes.com/recipe/42099/easy-new-zealand-squares
Toaster Biscuits,http://allrecipes.com/recipe/18000/toaster-biscuits
Frozen Lemon Pavlova,http://allrecipes.com/recipe/165687/frozen-lemon-pavlova
Australian English Trifle,http://allrecipes.com/recipe/18985/australian-english-trifle
Anzac Biscuits III,http://allrecipes.com/recipe/216336/anzac-biscuits-iii
Apricot Anzac Biscuits,http://allrecipes.com/recipe/246996/apricot-anzac-biscuits
Super Easy Scones,http://allrecipes.com/recipe/175600/super-easy-scones
Harvest Salad,http://allrecipes.com/recipe/23783/harvest-salad
Anzac Biscuits,http://allrecipes.com/recipe/221417/anzac-biscuits
Australian Federation Biscuits,http://allrecipes.com/recipe/25814/australian-federation-biscuits
Pavlova,http://allrecipes.com/recipe/10004/pavlova
Witchetty Grubs,http://allrecipes.com/recipe/216074/witchetty-grubs
Recipes for St. Patrick's Day,
Allrecipes Magazine,https://secure.allrecipesmagazine.com/order/?containerName=i71vtar01&psrc=I701TRDW398DFA&internalSource=marketcard&referringId=15040&referringContentType=recipe%20hub&clickId=cardslot%2010
Pani PoPo,http://allrecipes.com/recipe/241753/pani-popo
Rosemary Roasted Turkey,http://allrecipes.com/recipe/13525/rosemary-roasted-turkey
Date and Whisky Cake,http://allrecipes.com/recipe/75838/date-and-whisky-cake
Spring Strawberry Spinach Salad,http://allrecipes.com/recipe/16717/spring-strawberry-spinach-salad
English Trifle to Die For,http://allrecipes.com/recipe/18981/english-trifle-to-die-for
Australian-Style Pumpkin Scones,http://allrecipes.com/recipe/245041/australian-style-pumpkin-scones
Easy Pavlova,http://allrecipes.com/recipe/12126/easy-pavlova
Skite Cake,http://allrecipes.com/recipe/20952/skite-cake
Crunchies,http://allrecipes.com/recipe/10957/crunchies
