Recipe Name,Ingredient,URL
Greek Farro Salad,farro,http://allrecipes.com/recipe/244326/greek-farro-salad
Greek Farro Salad,chicken broth,http://allrecipes.com/recipe/244326/greek-farro-salad
Greek Farro Salad,olive oil,http://allrecipes.com/recipe/244326/greek-farro-salad
Greek Farro Salad,"sea salt, or to taste",http://allrecipes.com/recipe/244326/greek-farro-salad
Greek Farro Salad,extra-virgin olive oil,http://allrecipes.com/recipe/244326/greek-farro-salad
Greek Farro Salad,fresh lemon juice,http://allrecipes.com/recipe/244326/greek-farro-salad
Greek Farro Salad,Greek seasoning,http://allrecipes.com/recipe/244326/greek-farro-salad
Greek Farro Salad,garlic,http://allrecipes.com/recipe/244326/greek-farro-salad
Greek Farro Salad,seeded  tomato,http://allrecipes.com/recipe/244326/greek-farro-salad
Greek Farro Salad,seeded  cucumber,http://allrecipes.com/recipe/244326/greek-farro-salad
Greek Farro Salad,chopped red bell pepper,http://allrecipes.com/recipe/244326/greek-farro-salad
Greek Farro Salad,sliced red onion,http://allrecipes.com/recipe/244326/greek-farro-salad
Greek Farro Salad,crumbled feta cheese,http://allrecipes.com/recipe/244326/greek-farro-salad
Greek Farro Salad,salt and ground black pepper to taste,http://allrecipes.com/recipe/244326/greek-farro-salad
Canadian Sharp Cheddar Cheese Spread,cream cheese,http://allrecipes.com/recipe/241824/canadian-sharp-cheddar-cheese-spread
Canadian Sharp Cheddar Cheese Spread,cold pack  sharp Cheddar cheese (such as MacLaren's Imperial Sharp Cold Pack Cheddar Cheese product),http://allrecipes.com/recipe/241824/canadian-sharp-cheddar-cheese-spread
Canadian Sharp Cheddar Cheese Spread,chopped red onion,http://allrecipes.com/recipe/241824/canadian-sharp-cheddar-cheese-spread
Canadian Sharp Cheddar Cheese Spread,Worcestershire sauce,http://allrecipes.com/recipe/241824/canadian-sharp-cheddar-cheese-spread
Canadian Sharp Cheddar Cheese Spread,ground black pepper,http://allrecipes.com/recipe/241824/canadian-sharp-cheddar-cheese-spread
Canadian Sharp Cheddar Cheese Spread,paprika,http://allrecipes.com/recipe/241824/canadian-sharp-cheddar-cheese-spread
Canadian Sharp Cheddar Cheese Spread,"dash hot sauce, or to taste",http://allrecipes.com/recipe/241824/canadian-sharp-cheddar-cheese-spread
Garlic Dill New Potatoes,medium red potatoes,http://allrecipes.com/recipe/81317/garlic-dill-new-potatoes
Garlic Dill New Potatoes,butter,http://allrecipes.com/recipe/81317/garlic-dill-new-potatoes
Garlic Dill New Potatoes,chopped fresh dill,http://allrecipes.com/recipe/81317/garlic-dill-new-potatoes
Garlic Dill New Potatoes,minced garlic,http://allrecipes.com/recipe/81317/garlic-dill-new-potatoes
Garlic Dill New Potatoes,salt,http://allrecipes.com/recipe/81317/garlic-dill-new-potatoes
The Best Ricotta Pancakes,ricotta cheese plus,http://allrecipes.com/recipe/242225/the-best-ricotta-pancakes
The Best Ricotta Pancakes,ricotta cheese,http://allrecipes.com/recipe/242225/the-best-ricotta-pancakes
The Best Ricotta Pancakes,skim milk,http://allrecipes.com/recipe/242225/the-best-ricotta-pancakes
The Best Ricotta Pancakes,eggs,http://allrecipes.com/recipe/242225/the-best-ricotta-pancakes
The Best Ricotta Pancakes,all-purpose flour,http://allrecipes.com/recipe/242225/the-best-ricotta-pancakes
The Best Ricotta Pancakes,baking powder,http://allrecipes.com/recipe/242225/the-best-ricotta-pancakes
The Best Ricotta Pancakes,pinch salt,http://allrecipes.com/recipe/242225/the-best-ricotta-pancakes
The Best Ricotta Pancakes,"canola oil, or as needed",http://allrecipes.com/recipe/242225/the-best-ricotta-pancakes
Candied Nuts,raw peanuts,http://allrecipes.com/recipe/244325/candied-nuts
Candied Nuts,white sugar,http://allrecipes.com/recipe/244325/candied-nuts
Candied Nuts,water,http://allrecipes.com/recipe/244325/candied-nuts
Candied Nuts,"pinch coarse sea salt, or to taste",http://allrecipes.com/recipe/244325/candied-nuts
Candied Nuts,pinch ground cinnamon (optional),http://allrecipes.com/recipe/244325/candied-nuts
Candied Nuts,pinch chili powder (optional),http://allrecipes.com/recipe/244325/candied-nuts
"Roasted Cauliflower, Garlic, and Leek Soup","head cauliflower, cut into florets",http://allrecipes.com/recipe/239523/roasted-cauliflower-garlic-and-leek-soup
"Roasted Cauliflower, Garlic, and Leek Soup",olive oil,http://allrecipes.com/recipe/239523/roasted-cauliflower-garlic-and-leek-soup
"Roasted Cauliflower, Garlic, and Leek Soup",salt and ground black pepper to taste,http://allrecipes.com/recipe/239523/roasted-cauliflower-garlic-and-leek-soup
"Roasted Cauliflower, Garlic, and Leek Soup",garlic,http://allrecipes.com/recipe/239523/roasted-cauliflower-garlic-and-leek-soup
"Roasted Cauliflower, Garlic, and Leek Soup",butter,http://allrecipes.com/recipe/239523/roasted-cauliflower-garlic-and-leek-soup
"Roasted Cauliflower, Garlic, and Leek Soup",stalks celery,http://allrecipes.com/recipe/239523/roasted-cauliflower-garlic-and-leek-soup
"Roasted Cauliflower, Garlic, and Leek Soup",leek - split cleaned and,http://allrecipes.com/recipe/239523/roasted-cauliflower-garlic-and-leek-soup
"Roasted Cauliflower, Garlic, and Leek Soup",all-purpose flour,http://allrecipes.com/recipe/239523/roasted-cauliflower-garlic-and-leek-soup
"Roasted Cauliflower, Garlic, and Leek Soup",chicken broth,http://allrecipes.com/recipe/239523/roasted-cauliflower-garlic-and-leek-soup
"Roasted Cauliflower, Garlic, and Leek Soup",dried marjoram,http://allrecipes.com/recipe/239523/roasted-cauliflower-garlic-and-leek-soup
Carrot Oatmeal Muffins,all-purpose flour,http://allrecipes.com/recipe/76907/carrot-oatmeal-muffins
Carrot Oatmeal Muffins,whole wheat flour,http://allrecipes.com/recipe/76907/carrot-oatmeal-muffins
Carrot Oatmeal Muffins,baking soda,http://allrecipes.com/recipe/76907/carrot-oatmeal-muffins
Carrot Oatmeal Muffins,baking powder,http://allrecipes.com/recipe/76907/carrot-oatmeal-muffins
Carrot Oatmeal Muffins,salt,http://allrecipes.com/recipe/76907/carrot-oatmeal-muffins
Carrot Oatmeal Muffins,cinnamon,http://allrecipes.com/recipe/76907/carrot-oatmeal-muffins
Carrot Oatmeal Muffins,white sugar,http://allrecipes.com/recipe/76907/carrot-oatmeal-muffins
Carrot Oatmeal Muffins,brown sugar,http://allrecipes.com/recipe/76907/carrot-oatmeal-muffins
Carrot Oatmeal Muffins,canola oil,http://allrecipes.com/recipe/76907/carrot-oatmeal-muffins
Carrot Oatmeal Muffins,"eggs, beaten",http://allrecipes.com/recipe/76907/carrot-oatmeal-muffins
Carrot Oatmeal Muffins,vanilla extract,http://allrecipes.com/recipe/76907/carrot-oatmeal-muffins
Carrot Oatmeal Muffins,uncooked  oats,http://allrecipes.com/recipe/76907/carrot-oatmeal-muffins
Carrot Oatmeal Muffins,flaked coconut,http://allrecipes.com/recipe/76907/carrot-oatmeal-muffins
Carrot Oatmeal Muffins,raisins,http://allrecipes.com/recipe/76907/carrot-oatmeal-muffins
Carrot Oatmeal Muffins,shredded carrots,http://allrecipes.com/recipe/76907/carrot-oatmeal-muffins
Carrot Oatmeal Muffins,crushed pineapple drained with juice,http://allrecipes.com/recipe/76907/carrot-oatmeal-muffins
Carrot Oatmeal Muffins,softened cream cheese,http://allrecipes.com/recipe/76907/carrot-oatmeal-muffins
West Coast Trail Cookies,unbleached all-purpose flour,http://allrecipes.com/recipe/234288/west-coast-trail-cookies
West Coast Trail Cookies,whole wheat flour,http://allrecipes.com/recipe/234288/west-coast-trail-cookies
West Coast Trail Cookies,flax seed meal,http://allrecipes.com/recipe/234288/west-coast-trail-cookies
West Coast Trail Cookies,ground cinnamon,http://allrecipes.com/recipe/234288/west-coast-trail-cookies
West Coast Trail Cookies,baking soda,http://allrecipes.com/recipe/234288/west-coast-trail-cookies
West Coast Trail Cookies,salt,http://allrecipes.com/recipe/234288/west-coast-trail-cookies
West Coast Trail Cookies,unsalted butter,http://allrecipes.com/recipe/234288/west-coast-trail-cookies
West Coast Trail Cookies,dark brown sugar,http://allrecipes.com/recipe/234288/west-coast-trail-cookies
West Coast Trail Cookies,white sugar,http://allrecipes.com/recipe/234288/west-coast-trail-cookies
West Coast Trail Cookies,eggs,http://allrecipes.com/recipe/234288/west-coast-trail-cookies
West Coast Trail Cookies,vanilla extract,http://allrecipes.com/recipe/234288/west-coast-trail-cookies
West Coast Trail Cookies,rolled oats,http://allrecipes.com/recipe/234288/west-coast-trail-cookies
West Coast Trail Cookies,semisweet chocolate chips,http://allrecipes.com/recipe/234288/west-coast-trail-cookies
West Coast Trail Cookies,dried cranberries,http://allrecipes.com/recipe/234288/west-coast-trail-cookies
West Coast Trail Cookies,unsweetened  coconut,http://allrecipes.com/recipe/234288/west-coast-trail-cookies
West Coast Trail Cookies,chopped pumpkin seeds,http://allrecipes.com/recipe/234288/west-coast-trail-cookies
Peanut Butter and Amaranth Cookies,water,http://allrecipes.com/recipe/240814/peanut-butter-and-amaranth-cookies
Peanut Butter and Amaranth Cookies,amaranth,http://allrecipes.com/recipe/240814/peanut-butter-and-amaranth-cookies
Peanut Butter and Amaranth Cookies,peanut butter,http://allrecipes.com/recipe/240814/peanut-butter-and-amaranth-cookies
Peanut Butter and Amaranth Cookies,white sugar,http://allrecipes.com/recipe/240814/peanut-butter-and-amaranth-cookies
Peanut Butter and Amaranth Cookies,butter,http://allrecipes.com/recipe/240814/peanut-butter-and-amaranth-cookies
Peanut Butter and Amaranth Cookies,large egg,http://allrecipes.com/recipe/240814/peanut-butter-and-amaranth-cookies
Peanut Butter and Amaranth Cookies,all-purpose flour,http://allrecipes.com/recipe/240814/peanut-butter-and-amaranth-cookies
Peanut Butter and Amaranth Cookies,whole wheat pastry flour,http://allrecipes.com/recipe/240814/peanut-butter-and-amaranth-cookies
Peanut Butter and Amaranth Cookies,quick-cooking oats,http://allrecipes.com/recipe/240814/peanut-butter-and-amaranth-cookies
Peanut Butter and Amaranth Cookies,baking powder,http://allrecipes.com/recipe/240814/peanut-butter-and-amaranth-cookies
Peanut Butter and Amaranth Cookies,baking soda,http://allrecipes.com/recipe/240814/peanut-butter-and-amaranth-cookies
Peanut Butter and Amaranth Cookies,salt,http://allrecipes.com/recipe/240814/peanut-butter-and-amaranth-cookies
Michele's Cinnamon Roll Waffles,non-stick cooking spray,http://allrecipes.com/recipe/244630/micheles-cinnamon-roll-waffles
Michele's Cinnamon Roll Waffles,whole wheat and flax flour (such as Robin Hood® Nutri Flour Blend™ Omega-3 & Fibre),http://allrecipes.com/recipe/244630/micheles-cinnamon-roll-waffles
Michele's Cinnamon Roll Waffles,white sugar,http://allrecipes.com/recipe/244630/micheles-cinnamon-roll-waffles
Michele's Cinnamon Roll Waffles,baking powder,http://allrecipes.com/recipe/244630/micheles-cinnamon-roll-waffles
Michele's Cinnamon Roll Waffles,baking soda,http://allrecipes.com/recipe/244630/micheles-cinnamon-roll-waffles
Michele's Cinnamon Roll Waffles,eggs,http://allrecipes.com/recipe/244630/micheles-cinnamon-roll-waffles
Michele's Cinnamon Roll Waffles,buttermilk,http://allrecipes.com/recipe/244630/micheles-cinnamon-roll-waffles
