Recipe Name,Ingredient,URL
Grinch Kabobs,green grapes,http://allrecipes.com/recipe/240180/grinch-kabobs
Grinch Kabobs,large banana  into 24 slices or as needed,http://allrecipes.com/recipe/240180/grinch-kabobs
Grinch Kabobs,hulled strawberries tips,http://allrecipes.com/recipe/240180/grinch-kabobs
Grinch Kabobs,miniature marshmallows,http://allrecipes.com/recipe/240180/grinch-kabobs
Grinch Kabobs,toothpicks,http://allrecipes.com/recipe/240180/grinch-kabobs
Applesauce,apples - peeled cored and,http://allrecipes.com/recipe/54346/applesauce
Applesauce,water,http://allrecipes.com/recipe/54346/applesauce
Applesauce,ground cinnamon,http://allrecipes.com/recipe/54346/applesauce
Applesauce,,http://allrecipes.com/recipe/54346/applesauce
Applesauce,white sugar,http://allrecipes.com/recipe/54346/applesauce
Tourtiere,ground pork,http://allrecipes.com/recipe/12406/tourtiere
Tourtiere,ground veal,http://allrecipes.com/recipe/12406/tourtiere
Tourtiere,bacon,http://allrecipes.com/recipe/12406/tourtiere
Tourtiere,chopped onion,http://allrecipes.com/recipe/12406/tourtiere
Tourtiere,chopped celery,http://allrecipes.com/recipe/12406/tourtiere
Tourtiere,garlic,http://allrecipes.com/recipe/12406/tourtiere
Tourtiere,dried sage,http://allrecipes.com/recipe/12406/tourtiere
Tourtiere,salt,http://allrecipes.com/recipe/12406/tourtiere
Tourtiere,ground black pepper,http://allrecipes.com/recipe/12406/tourtiere
Tourtiere,cornstarch,http://allrecipes.com/recipe/12406/tourtiere
Tourtiere,(9 inch)  pie crusts,http://allrecipes.com/recipe/12406/tourtiere
Tourtiere,water,http://allrecipes.com/recipe/12406/tourtiere
Slow Cooker Moose Roast,vegetable oil,http://allrecipes.com/recipe/48390/slow-cooker-moose-roast
Slow Cooker Moose Roast,moose roast,http://allrecipes.com/recipe/48390/slow-cooker-moose-roast
Slow Cooker Moose Roast,apple juice,http://allrecipes.com/recipe/48390/slow-cooker-moose-roast
Slow Cooker Moose Roast,envelope dry onion soup mix,http://allrecipes.com/recipe/48390/slow-cooker-moose-roast
Nanaimo Bars III,butter,http://allrecipes.com/recipe/25095/nanaimo-bars-iii
Nanaimo Bars III,white sugar,http://allrecipes.com/recipe/25095/nanaimo-bars-iii
Nanaimo Bars III,unsweetened cocoa powder,http://allrecipes.com/recipe/25095/nanaimo-bars-iii
Nanaimo Bars III,"egg, beaten",http://allrecipes.com/recipe/25095/nanaimo-bars-iii
Nanaimo Bars III,graham cracker crumbs,http://allrecipes.com/recipe/25095/nanaimo-bars-iii
Nanaimo Bars III,flaked coconut,http://allrecipes.com/recipe/25095/nanaimo-bars-iii
Nanaimo Bars III,chopped almonds (optional),http://allrecipes.com/recipe/25095/nanaimo-bars-iii
Nanaimo Bars III,butter,http://allrecipes.com/recipe/25095/nanaimo-bars-iii
Nanaimo Bars III,heavy cream,http://allrecipes.com/recipe/25095/nanaimo-bars-iii
Nanaimo Bars III,custard powder,http://allrecipes.com/recipe/25095/nanaimo-bars-iii
