Recipe,URL
Grinch Kabobs,http://allrecipes.com/recipe/240180/grinch-kabobs
Applesauce,http://allrecipes.com/recipe/54346/applesauce
Tourtiere,http://allrecipes.com/recipe/12406/tourtiere
Slow Cooker Moose Roast,http://allrecipes.com/recipe/48390/slow-cooker-moose-roast
Nanaimo Bars III,http://allrecipes.com/recipe/25095/nanaimo-bars-iii
"Baked Snapper with Mandarin Oranges, Cashews and Ginger",http://allrecipes.com/recipe/105063/baked-snapper-with-mandarin-oranges-cashews-and-ginger
Canadian Shortbread 'Eh',http://allrecipes.com/recipe/11143/canadian-shortbread-eh
Atomic Canuck Chili,http://allrecipes.com/recipe/26582/atomic-canuck-chili
Brown Sugar Pie I,http://allrecipes.com/recipe/12649/brown-sugar-pie-i
Traditional French Canadian Tourtiere,http://allrecipes.com/recipe/80565/traditional-french-canadian-tourtiere
Maple Roasted Brussels Sprouts with Bacon,http://allrecipes.com/recipe/228875/maple-roasted-brussels-sprouts-with-bacon
Pesto Chicken,http://allrecipes.com/recipe/214188/pesto-chicken
French Canadian Tourtiere,http://allrecipes.com/recipe/20752/french-canadian-tourtiere
Gramma's Date Squares,http://allrecipes.com/recipe/11298/grammas-date-squares
Stuffed Baby Yorkies,http://allrecipes.com/recipe/125365/stuffed-baby-yorkies
Maple Cookies,http://allrecipes.com/recipe/9773/maple-cookies
St. Patrick's Day Recipes,
New Twist To An Old Favorite,http://allrecipes.com/recipe/25157/new-twist-to-an-old-favorite
Father-in-Law's Scallops with Sun-Dried Tomatoes and Bacon,http://allrecipes.com/recipe/214763/father-in-laws-scallops-with-sun-dried-tomatoes-and-bacon
Meaty Thick Man Chili,http://allrecipes.com/recipe/78889/meaty-thick-man-chili
Braised Corned Beef Brisket,http://allrecipes.com/recipe/231030/braised-corned-beef-brisket
Easter Deviled Eggs,http://allrecipes.com/recipe/231590/easter-deviled-eggs
Jansson's Temptation (Janssons Frestelse),http://allrecipes.com/recipe/139581/janssons-temptation-janssons-frestelse
Apple Coffee Cake With Brown Sugar Sauce,http://allrecipes.com/recipe/7922/apple-coffee-cake-with-brown-sugar-sauce
West Coast Trail Cookies,http://allrecipes.com/recipe/234288/west-coast-trail-cookies
Quebec City Sugar Pie with Thick Cream,http://allrecipes.com/recipe/155320/quebec-city-sugar-pie-with-thick-cream
Half-hour Pudding Cake (Montreal Pudding),http://allrecipes.com/recipe/8024/half-hour-pudding-cake-montreal-pudding
Blackened Fish,http://allrecipes.com/recipe/38028/blackened-fish
Best Yet Turkey Chili,http://allrecipes.com/recipe/88858/best-yet-turkey-chili
Espresso Bark,http://allrecipes.com/recipe/131146/espresso-bark
Canadian Butter Tarts,http://allrecipes.com/recipe/12624/canadian-butter-tarts
Chomeur's Pudding,http://allrecipes.com/recipe/179784/chomeurs-pudding
Boneless Buffalo Wings,http://allrecipes.com/recipe/151266/boneless-buffalo-wings
Nanaimo Bars II,http://allrecipes.com/recipe/11146/nanaimo-bars-ii
Pork Pie,http://allrecipes.com/recipe/9251/pork-pie
Pork and Wild Rice Casserole,http://allrecipes.com/recipe/80051/pork-and-wild-rice-casserole
Killer Chili,http://allrecipes.com/recipe/213463/killer-chili
