Recipe Name,Ingredient,URL
Gorton (French-Canadian Pork Spread),ground pork fat,http://allrecipes.com/recipe/213554/gorton-french-canadian-pork-spread
Gorton (French-Canadian Pork Spread),ground pork,http://allrecipes.com/recipe/213554/gorton-french-canadian-pork-spread
Gorton (French-Canadian Pork Spread),onions,http://allrecipes.com/recipe/213554/gorton-french-canadian-pork-spread
Gorton (French-Canadian Pork Spread),water,http://allrecipes.com/recipe/213554/gorton-french-canadian-pork-spread
Gorton (French-Canadian Pork Spread),,http://allrecipes.com/recipe/213554/gorton-french-canadian-pork-spread
Gorton (French-Canadian Pork Spread),ground nutmeg,http://allrecipes.com/recipe/213554/gorton-french-canadian-pork-spread
Gorton (French-Canadian Pork Spread),salt and black pepper to taste,http://allrecipes.com/recipe/213554/gorton-french-canadian-pork-spread
Fenelon Poutine,"potatoes, cut into fries",http://allrecipes.com/recipe/221809/fenelon-poutine
Fenelon Poutine,vegetable oil for frying,http://allrecipes.com/recipe/221809/fenelon-poutine
Fenelon Poutine,"beef gravy, or as needed",http://allrecipes.com/recipe/221809/fenelon-poutine
Fenelon Poutine,"shredded mozzarella cheese, or to taste",http://allrecipes.com/recipe/221809/fenelon-poutine
Fenelon Poutine,"mayonnaise, or to taste",http://allrecipes.com/recipe/221809/fenelon-poutine
Fenelon Poutine,"ketchup, or to taste",http://allrecipes.com/recipe/221809/fenelon-poutine
Fenelon Poutine,shredded lettuce,http://allrecipes.com/recipe/221809/fenelon-poutine
Fenelon Poutine,salt and ground black pepper to taste,http://allrecipes.com/recipe/221809/fenelon-poutine
Poor Man's Pudding,all-purpose flour,http://allrecipes.com/recipe/213553/poor-mans-pudding
Poor Man's Pudding,baking powder,http://allrecipes.com/recipe/213553/poor-mans-pudding
Poor Man's Pudding,white sugar,http://allrecipes.com/recipe/213553/poor-mans-pudding
Poor Man's Pudding,vegetable oil,http://allrecipes.com/recipe/213553/poor-mans-pudding
Poor Man's Pudding,egg,http://allrecipes.com/recipe/213553/poor-mans-pudding
Poor Man's Pudding,milk,http://allrecipes.com/recipe/213553/poor-mans-pudding
Poor Man's Pudding,brown sugar,http://allrecipes.com/recipe/213553/poor-mans-pudding
Poor Man's Pudding,hot water,http://allrecipes.com/recipe/213553/poor-mans-pudding
Poor Man's Pudding,butter,http://allrecipes.com/recipe/213553/poor-mans-pudding
