Recipe,URL
Gorton (French-Canadian Pork Spread),http://allrecipes.com/recipe/213554/gorton-french-canadian-pork-spread
Fenelon Poutine,http://allrecipes.com/recipe/221809/fenelon-poutine
Poor Man's Pudding,http://allrecipes.com/recipe/213553/poor-mans-pudding
Greek Seasoned Poutine,http://allrecipes.com/recipe/244252/greek-seasoned-poutine
Half-hour Pudding Cake (Montreal Pudding),http://allrecipes.com/recipe/8024/half-hour-pudding-cake-montreal-pudding
Garlic Aioli,http://allrecipes.com/recipe/213608/garlic-aioli
Sunny Poutine,http://allrecipes.com/recipe/247320/sunny-poutine
Pollock Montreal,http://allrecipes.com/recipe/104450/pollock-montreal
Quebec Sugar Pie,http://allrecipes.com/recipe/12427/quebec-sugar-pie
Fried Smelts,http://allrecipes.com/recipe/236481/fried-smelts
Maple Syrup Pudding,http://allrecipes.com/recipe/84738/maple-syrup-pudding
French Canadian Meatball Stew,http://allrecipes.com/recipe/218462/french-canadian-meatball-stew
Maple Syrup Sugar Pie,http://allrecipes.com/recipe/229342/maple-syrup-sugar-pie
Buckwheat Cake,http://allrecipes.com/recipe/238579/buckwheat-cake
Canadian Barn BBQ Sauce,http://allrecipes.com/recipe/27250/canadian-barn-bbq-sauce
Meat Pie (Tourtiere),http://allrecipes.com/recipe/12343/meat-pie-tourtiere
Tourtiere,http://allrecipes.com/recipe/12406/tourtiere
Marielle's French Onion Soup,http://allrecipes.com/recipe/218727/marielles-french-onion-soup
Perfect Baked Poutine,http://allrecipes.com/recipe/231540/perfect-baked-poutine
Real Canadian Poutine,http://allrecipes.com/recipe/221806/real-canadian-poutine
Comfort Soup a la Montreal,http://allrecipes.com/recipe/139665/comfort-soup-a-la-montreal
Miraculous Canadian Sugar Pie,http://allrecipes.com/recipe/213595/miraculous-canadian-sugar-pie
Campagnard Sauce,http://allrecipes.com/recipe/86336/campagnard-sauce
Mushroom Bouchees,http://allrecipes.com/recipe/234046/mushroom-bouchees
Vegetarian Tourtiere,http://allrecipes.com/recipe/97346/vegetarian-tourtiere
Quebec Pickled Eggs,http://allrecipes.com/recipe/26916/quebec-pickled-eggs
Calgary Dinner,http://allrecipes.com/recipe/234292/calgary-dinner
Jambon au Sirop D'Erable,http://allrecipes.com/recipe/52916/jambon-au-sirop-derable
Poutine,http://allrecipes.com/recipe/76654/poutine
Baked Brie with Quebec Maple Syrup,http://allrecipes.com/recipe/213597/baked-brie-with-quebec-maple-syrup
Sucre a la Creme,http://allrecipes.com/recipe/95355/sucre-a-la-creme
Chomeur's Pudding,http://allrecipes.com/recipe/179784/chomeurs-pudding
Oatmeal Apple Crisp To Die For!,http://allrecipes.com/recipe/239949/oatmeal-apple-crisp-to-die-for
Creamed Hot Lobster Sandwich or Lobster Poutine,http://allrecipes.com/recipe/234052/creamed-hot-lobster-sandwich-or-lobster-poutine
Pumpkin French Toast,http://allrecipes.com/recipe/180568/pumpkin-french-toast
Recipes for St. Patrick's Day,
Allrecipes Magazine,https://secure.allrecipesmagazine.com/order/?containerName=i71vtar01&psrc=I701TRDW398DFA&internalSource=marketcard&referringId=16104&referringContentType=recipe%20hub&clickId=cardslot%206
Brown Sugar Pie I,http://allrecipes.com/recipe/12649/brown-sugar-pie-i
Irish Canadian Beef Stew,http://allrecipes.com/recipe/213343/irish-canadian-beef-stew
Poutine Pizza,http://allrecipes.com/recipe/234010/poutine-pizza
Tourtiere Spices,http://allrecipes.com/recipe/26341/tourtiere-spices
Captain's Crunch French Toast,http://allrecipes.com/recipe/186537/captains-crunch-french-toast
Montreal Smoked Meat Flat Wrap,http://allrecipes.com/recipe/234028/montreal-smoked-meat-flat-wrap
Tomato Chicken Rice Soup,http://allrecipes.com/recipe/234036/tomato-chicken-rice-soup
Salmon and Potato Pie,http://allrecipes.com/recipe/18527/salmon-and-potato-pie
New Orleans Barbeque Shrimp,http://allrecipes.com/recipe/71424/new-orleans-barbeque-shrimp
Quebecois Maple Cream Pie,http://allrecipes.com/recipe/213596/quebecois-maple-cream-pie
Tarte a l'Oignon (French Onion Pie),http://allrecipes.com/recipe/151905/tarte-a-loignon-french-onion-pie
"Authentic Canadian Steak Spice, Eh?",http://allrecipes.com/recipe/247313/authentic-canadian-steak-spice-eh
French Canadian Tourtiere,http://allrecipes.com/recipe/20752/french-canadian-tourtiere
Traditional French Canadian Tourtiere,http://allrecipes.com/recipe/80565/traditional-french-canadian-tourtiere
Garlic Prawns,http://allrecipes.com/recipe/60888/garlic-prawns
Real French Crepes,http://allrecipes.com/recipe/17571/real-french-crepes
Real Poutine,http://allrecipes.com/video/4274/real-poutine?internalSource=videocard&referringId=16104&referringContentType=recipe%20hub&clickId=cardslot%207
Pork Pie,http://allrecipes.com/recipe/9251/pork-pie
Tourtiers (French Pork Pie),http://allrecipes.com/recipe/93330/tourtiers-french-pork-pie
Tarte au Sucre II,http://allrecipes.com/recipe/12465/tarte-au-sucre-ii
Chicken Stew 'Fricot',http://allrecipes.com/recipe/12980/chicken-stew-fricot
Chicken and Sliders,http://allrecipes.com/recipe/23328/chicken-and-sliders
Grandpere dans le Sirop,http://allrecipes.com/recipe/55150/grandpere-dans-le-sirop
Poutine Style Scalloped Potatoes,http://allrecipes.com/recipe/234114/poutine-style-scalloped-potatoes
Quebec City Sugar Pie with Thick Cream,http://allrecipes.com/recipe/155320/quebec-city-sugar-pie-with-thick-cream
Simple Shepherd's Pie,http://allrecipes.com/recipe/234040/simple-shepherds-pie
Mamma Rita's Eggs and Tomato Sauce,http://allrecipes.com/recipe/21331/mamma-ritas-eggs-and-tomato-sauce
