Recipe Name,Ingredient,URL
Jamaican Curry Chicken,curry powder,http://allrecipes.com/recipe/237441/jamaican-curry-chicken-
Jamaican Curry Chicken,garlic powder,http://allrecipes.com/recipe/237441/jamaican-curry-chicken-
Jamaican Curry Chicken,seasoned salt,http://allrecipes.com/recipe/237441/jamaican-curry-chicken-
Jamaican Curry Chicken,onion powder,http://allrecipes.com/recipe/237441/jamaican-curry-chicken-
Jamaican Curry Chicken,salt,http://allrecipes.com/recipe/237441/jamaican-curry-chicken-
Jamaican Curry Chicken,sprig fresh thyme leaves,http://allrecipes.com/recipe/237441/jamaican-curry-chicken-
Jamaican Curry Chicken,"pinch ground allspice, or more to taste",http://allrecipes.com/recipe/237441/jamaican-curry-chicken-
Jamaican Curry Chicken,salt and ground black pepper to taste,http://allrecipes.com/recipe/237441/jamaican-curry-chicken-
Jamaican Curry Chicken,"whole chicken, cut into pieces",http://allrecipes.com/recipe/237441/jamaican-curry-chicken-
Jamaican Curry Chicken,vegetable oil,http://allrecipes.com/recipe/237441/jamaican-curry-chicken-
Jamaican Curry Chicken,water,http://allrecipes.com/recipe/237441/jamaican-curry-chicken-
Jamaican Curry Chicken,potato,http://allrecipes.com/recipe/237441/jamaican-curry-chicken-
Jamaican Curry Chicken,chopped carrots,http://allrecipes.com/recipe/237441/jamaican-curry-chicken-
Jamaican Curry Chicken,scallions (green onions),http://allrecipes.com/recipe/237441/jamaican-curry-chicken-
Jamaican Curry Chicken,(1 inch) piece fresh ginger root,http://allrecipes.com/recipe/237441/jamaican-curry-chicken-
Jamaican Curry Chicken,Scotch bonnet chile pepper  or to taste,http://allrecipes.com/recipe/237441/jamaican-curry-chicken-
Grenadian Spice Cake,sifted all-purpose flour,http://allrecipes.com/recipe/17442/grenadian-spice-cake
Grenadian Spice Cake,baking powder,http://allrecipes.com/recipe/17442/grenadian-spice-cake
Grenadian Spice Cake,salt,http://allrecipes.com/recipe/17442/grenadian-spice-cake
Grenadian Spice Cake,white sugar,http://allrecipes.com/recipe/17442/grenadian-spice-cake
Grenadian Spice Cake,"unsalted butter - chilled, cut into tablespoon-size pieces",http://allrecipes.com/recipe/17442/grenadian-spice-cake
Grenadian Spice Cake,grated lime zest,http://allrecipes.com/recipe/17442/grenadian-spice-cake
Grenadian Spice Cake,ground nutmeg,http://allrecipes.com/recipe/17442/grenadian-spice-cake
Grenadian Spice Cake,ground cinnamon,http://allrecipes.com/recipe/17442/grenadian-spice-cake
Grenadian Spice Cake,ground allspice,http://allrecipes.com/recipe/17442/grenadian-spice-cake
Grenadian Spice Cake,eggs,http://allrecipes.com/recipe/17442/grenadian-spice-cake
Grenadian Spice Cake,milk,http://allrecipes.com/recipe/17442/grenadian-spice-cake
Jamaican Oxtail with Broad Beans,"beef oxtail, cut into pieces",http://allrecipes.com/recipe/160768/jamaican-oxtail-with-broad-beans
Jamaican Oxtail with Broad Beans,large onion,http://allrecipes.com/recipe/160768/jamaican-oxtail-with-broad-beans
Jamaican Oxtail with Broad Beans,green onion,http://allrecipes.com/recipe/160768/jamaican-oxtail-with-broad-beans
Jamaican Oxtail with Broad Beans,garlic,http://allrecipes.com/recipe/160768/jamaican-oxtail-with-broad-beans
Jamaican Oxtail with Broad Beans,minced fresh ginger root,http://allrecipes.com/recipe/160768/jamaican-oxtail-with-broad-beans
Jamaican Oxtail with Broad Beans,scotch bonnet chile pepper,http://allrecipes.com/recipe/160768/jamaican-oxtail-with-broad-beans
Jamaican Oxtail with Broad Beans,soy sauce,http://allrecipes.com/recipe/160768/jamaican-oxtail-with-broad-beans
Jamaican Oxtail with Broad Beans,sprig fresh thyme,http://allrecipes.com/recipe/160768/jamaican-oxtail-with-broad-beans
Jamaican Oxtail with Broad Beans,salt,http://allrecipes.com/recipe/160768/jamaican-oxtail-with-broad-beans
Jamaican Oxtail with Broad Beans,black pepper,http://allrecipes.com/recipe/160768/jamaican-oxtail-with-broad-beans
Jamaican Oxtail with Broad Beans,vegetable oil,http://allrecipes.com/recipe/160768/jamaican-oxtail-with-broad-beans
Jamaican Oxtail with Broad Beans,water,http://allrecipes.com/recipe/160768/jamaican-oxtail-with-broad-beans
Jamaican Oxtail with Broad Beans,canned fava beans,http://allrecipes.com/recipe/160768/jamaican-oxtail-with-broad-beans
Jamaican Oxtail with Broad Beans,whole allspice berries,http://allrecipes.com/recipe/160768/jamaican-oxtail-with-broad-beans
Jamaican Oxtail with Broad Beans,cornstarch,http://allrecipes.com/recipe/160768/jamaican-oxtail-with-broad-beans
Jamaican Oxtail with Broad Beans,water,http://allrecipes.com/recipe/160768/jamaican-oxtail-with-broad-beans
Runaway Bay Jamaican Chicken,large red onion,http://allrecipes.com/recipe/27819/runaway-bay-jamaican-chicken
Runaway Bay Jamaican Chicken,garlic,http://allrecipes.com/recipe/27819/runaway-bay-jamaican-chicken
Runaway Bay Jamaican Chicken,habanero pepper,http://allrecipes.com/recipe/27819/runaway-bay-jamaican-chicken
Runaway Bay Jamaican Chicken,fresh ginger root,http://allrecipes.com/recipe/27819/runaway-bay-jamaican-chicken
Runaway Bay Jamaican Chicken,olive oil,http://allrecipes.com/recipe/27819/runaway-bay-jamaican-chicken
Runaway Bay Jamaican Chicken,brown sugar,http://allrecipes.com/recipe/27819/runaway-bay-jamaican-chicken
Runaway Bay Jamaican Chicken,red wine vinegar,http://allrecipes.com/recipe/27819/runaway-bay-jamaican-chicken
Runaway Bay Jamaican Chicken,orange juice concentrate,http://allrecipes.com/recipe/27819/runaway-bay-jamaican-chicken
Runaway Bay Jamaican Chicken,soy sauce,http://allrecipes.com/recipe/27819/runaway-bay-jamaican-chicken
Runaway Bay Jamaican Chicken,ground cinnamon,http://allrecipes.com/recipe/27819/runaway-bay-jamaican-chicken
Runaway Bay Jamaican Chicken,ground nutmeg,http://allrecipes.com/recipe/27819/runaway-bay-jamaican-chicken
Runaway Bay Jamaican Chicken,,http://allrecipes.com/recipe/27819/runaway-bay-jamaican-chicken
Runaway Bay Jamaican Chicken,chopped cilantro,http://allrecipes.com/recipe/27819/runaway-bay-jamaican-chicken
Runaway Bay Jamaican Chicken,salt and pepper to taste,http://allrecipes.com/recipe/27819/runaway-bay-jamaican-chicken
Runaway Bay Jamaican Chicken,"skinless, boneless chicken breast halves",http://allrecipes.com/recipe/27819/runaway-bay-jamaican-chicken
Cuban Pork Roast I,cumin seeds,http://allrecipes.com/recipe/14694/cuban-pork-roast-i
Cuban Pork Roast I,whole black peppercorns,http://allrecipes.com/recipe/14694/cuban-pork-roast-i
Cuban Pork Roast I,garlic,http://allrecipes.com/recipe/14694/cuban-pork-roast-i
Cuban Pork Roast I,salt,http://allrecipes.com/recipe/14694/cuban-pork-roast-i
Cuban Pork Roast I,dried oregano,http://allrecipes.com/recipe/14694/cuban-pork-roast-i
Cuban Pork Roast I,orange juice,http://allrecipes.com/recipe/14694/cuban-pork-roast-i
Cuban Pork Roast I,dry sherry,http://allrecipes.com/recipe/14694/cuban-pork-roast-i
Cuban Pork Roast I,lemon juice,http://allrecipes.com/recipe/14694/cuban-pork-roast-i
Cuban Pork Roast I,fresh lime juice,http://allrecipes.com/recipe/14694/cuban-pork-roast-i
Cuban Pork Roast I,olive oil,http://allrecipes.com/recipe/14694/cuban-pork-roast-i
