Recipe Name,Ingredient,URL
Persian Yogurt Salad,plain yogurt,http://allrecipes.com/recipe/30220/persian-yogurt-salad
Persian Yogurt Salad,dried dill weed,http://allrecipes.com/recipe/30220/persian-yogurt-salad
Persian Yogurt Salad,garlic,http://allrecipes.com/recipe/30220/persian-yogurt-salad
Persian Yogurt Salad,salt and black pepper to taste,http://allrecipes.com/recipe/30220/persian-yogurt-salad
Persian Yogurt Salad,cucumber - peeled seeded and,http://allrecipes.com/recipe/30220/persian-yogurt-salad
Wheat Flour Halva,water,http://allrecipes.com/recipe/257258/wheat-flour-halva
Wheat Flour Halva,white sugar,http://allrecipes.com/recipe/257258/wheat-flour-halva
Wheat Flour Halva,water,http://allrecipes.com/recipe/257258/wheat-flour-halva
Wheat Flour Halva,ground cardamom,http://allrecipes.com/recipe/257258/wheat-flour-halva
Wheat Flour Halva,pinch saffron,http://allrecipes.com/recipe/257258/wheat-flour-halva
Wheat Flour Halva,butter,http://allrecipes.com/recipe/257258/wheat-flour-halva
Wheat Flour Halva,all-purpose flour,http://allrecipes.com/recipe/257258/wheat-flour-halva
The Rebbetzin Chef's Persian Walnut Cookies,ground walnuts,http://allrecipes.com/recipe/103170/the-rebbetzin-chefs-persian-walnut-cookies
The Rebbetzin Chef's Persian Walnut Cookies,egg yolks,http://allrecipes.com/recipe/103170/the-rebbetzin-chefs-persian-walnut-cookies
The Rebbetzin Chef's Persian Walnut Cookies,white sugar,http://allrecipes.com/recipe/103170/the-rebbetzin-chefs-persian-walnut-cookies
The Rebbetzin Chef's Persian Walnut Cookies,ground cardamom,http://allrecipes.com/recipe/103170/the-rebbetzin-chefs-persian-walnut-cookies
The Rebbetzin Chef's Persian Walnut Cookies,baking soda,http://allrecipes.com/recipe/103170/the-rebbetzin-chefs-persian-walnut-cookies
The Rebbetzin Chef's Persian Walnut Cookies,water,http://allrecipes.com/recipe/103170/the-rebbetzin-chefs-persian-walnut-cookies
The Rebbetzin Chef's Persian Walnut Cookies,egg yolk,http://allrecipes.com/recipe/103170/the-rebbetzin-chefs-persian-walnut-cookies
The Rebbetzin Chef's Persian Walnut Cookies,water,http://allrecipes.com/recipe/103170/the-rebbetzin-chefs-persian-walnut-cookies
The Rebbetzin Chef's Persian Walnut Cookies,walnut pieces for decoration,http://allrecipes.com/recipe/103170/the-rebbetzin-chefs-persian-walnut-cookies
