Recipe Name,Ingredient,URL
Rose Water Gelees,"vegetable oil, or to taste",http://allrecipes.com/recipe/255876/rose-water-gelees
Rose Water Gelees,cold water,http://allrecipes.com/recipe/255876/rose-water-gelees
Rose Water Gelees,unflavored gelatin,http://allrecipes.com/recipe/255876/rose-water-gelees
Rose Water Gelees,white sugar,http://allrecipes.com/recipe/255876/rose-water-gelees
Rose Water Gelees,strained fresh lemon juice,http://allrecipes.com/recipe/255876/rose-water-gelees
Rose Water Gelees,water,http://allrecipes.com/recipe/255876/rose-water-gelees
Rose Water Gelees,drops  food coloring,http://allrecipes.com/recipe/255876/rose-water-gelees
Rose Water Gelees,"cornstarch, or as needed",http://allrecipes.com/recipe/255876/rose-water-gelees
Manti (Turkish 'Ravioli' with Yogurt Sauce),salt,http://allrecipes.com/recipe/140037/manti-turkish-ravioli-with-yogurt-sauce
Manti (Turkish 'Ravioli' with Yogurt Sauce),dried mint,http://allrecipes.com/recipe/140037/manti-turkish-ravioli-with-yogurt-sauce
Manti (Turkish 'Ravioli' with Yogurt Sauce),beef ravioli,http://allrecipes.com/recipe/140037/manti-turkish-ravioli-with-yogurt-sauce
Manti (Turkish 'Ravioli' with Yogurt Sauce),butter,http://allrecipes.com/recipe/140037/manti-turkish-ravioli-with-yogurt-sauce
Manti (Turkish 'Ravioli' with Yogurt Sauce),sweet paprika,http://allrecipes.com/recipe/140037/manti-turkish-ravioli-with-yogurt-sauce
Manti (Turkish 'Ravioli' with Yogurt Sauce),minced garlic,http://allrecipes.com/recipe/140037/manti-turkish-ravioli-with-yogurt-sauce
Manti (Turkish 'Ravioli' with Yogurt Sauce),plain whole milk yogurt,http://allrecipes.com/recipe/140037/manti-turkish-ravioli-with-yogurt-sauce
Tava,beef stew meat  into 1/2 inch pieces,http://allrecipes.com/recipe/45013/tava
Tava,small red onion,http://allrecipes.com/recipe/45013/tava
Tava,medium green bell pepper  and,http://allrecipes.com/recipe/45013/tava
Tava,fresh tomatoes,http://allrecipes.com/recipe/45013/tava
Tava,green chile pepper  and  (optional),http://allrecipes.com/recipe/45013/tava
Tava,chile paste,http://allrecipes.com/recipe/45013/tava
Kobete Chicken,all-purpose flour,http://allrecipes.com/recipe/8929/kobete-chicken
Kobete Chicken,salt,http://allrecipes.com/recipe/8929/kobete-chicken
Kobete Chicken,warm water,http://allrecipes.com/recipe/8929/kobete-chicken
Kobete Chicken,(2 to 3 pound) whole chicken,http://allrecipes.com/recipe/8929/kobete-chicken
Kobete Chicken,water to cover,http://allrecipes.com/recipe/8929/kobete-chicken
Kobete Chicken,salt,http://allrecipes.com/recipe/8929/kobete-chicken
Kobete Chicken,onion,http://allrecipes.com/recipe/8929/kobete-chicken
Kobete Chicken,butter,http://allrecipes.com/recipe/8929/kobete-chicken
Kobete Chicken,uncooked white rice,http://allrecipes.com/recipe/8929/kobete-chicken
Kobete Chicken,salt,http://allrecipes.com/recipe/8929/kobete-chicken
Kobete Chicken,water,http://allrecipes.com/recipe/8929/kobete-chicken
Kobete Chicken,ground black pepper,http://allrecipes.com/recipe/8929/kobete-chicken
Kobete Chicken,"egg, beaten",http://allrecipes.com/recipe/8929/kobete-chicken
Kobete Chicken,(10 inch)  pie crust,http://allrecipes.com/recipe/8929/kobete-chicken
Lahmacun Turkish Pizza,For the Lamb Sauce:,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,chopped garlic,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,yellow onion,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,chopped fresh basil,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,chopped fresh parsley,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,chopped fresh mint,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,paprika,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,ground cumin,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,ground coriander seed,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,green bell pepper,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
