Recipe Name,Ingredient,URL
Magpie's Easy Falafel Cakes,small onion,http://allrecipes.com/recipe/143113/magpies-easy-falafel-cakes
Magpie's Easy Falafel Cakes,olive oil,http://allrecipes.com/recipe/143113/magpies-easy-falafel-cakes
Magpie's Easy Falafel Cakes,"garbanzo beans, rinsed and drained",http://allrecipes.com/recipe/143113/magpies-easy-falafel-cakes
Magpie's Easy Falafel Cakes,imitation sour cream,http://allrecipes.com/recipe/143113/magpies-easy-falafel-cakes
Magpie's Easy Falafel Cakes,cornmeal,http://allrecipes.com/recipe/143113/magpies-easy-falafel-cakes
Magpie's Easy Falafel Cakes,garlic,http://allrecipes.com/recipe/143113/magpies-easy-falafel-cakes
Magpie's Easy Falafel Cakes,ground cumin,http://allrecipes.com/recipe/143113/magpies-easy-falafel-cakes
Magpie's Easy Falafel Cakes,ground coriander,http://allrecipes.com/recipe/143113/magpies-easy-falafel-cakes
Magpie's Easy Falafel Cakes,salt,http://allrecipes.com/recipe/143113/magpies-easy-falafel-cakes
Magpie's Easy Falafel Cakes,hot sauce,http://allrecipes.com/recipe/143113/magpies-easy-falafel-cakes
Magpie's Easy Falafel Cakes,cornmeal,http://allrecipes.com/recipe/143113/magpies-easy-falafel-cakes
Magpie's Easy Falafel Cakes,olive oil,http://allrecipes.com/recipe/143113/magpies-easy-falafel-cakes
Moroccan Sardine Meatballs,sardines,http://allrecipes.com/recipe/245771/moroccan-sardine-meatballs
Moroccan Sardine Meatballs,eggs,http://allrecipes.com/recipe/245771/moroccan-sardine-meatballs
Moroccan Sardine Meatballs,dry bread crumbs,http://allrecipes.com/recipe/245771/moroccan-sardine-meatballs
Moroccan Sardine Meatballs,ground paprika,http://allrecipes.com/recipe/245771/moroccan-sardine-meatballs
Moroccan Sardine Meatballs,ground turmeric,http://allrecipes.com/recipe/245771/moroccan-sardine-meatballs
Moroccan Sardine Meatballs,ground ginger,http://allrecipes.com/recipe/245771/moroccan-sardine-meatballs
Moroccan Sardine Meatballs,garlic powder,http://allrecipes.com/recipe/245771/moroccan-sardine-meatballs
Moroccan Sardine Meatballs,onion powder,http://allrecipes.com/recipe/245771/moroccan-sardine-meatballs
