Recipe Name,Ingredient,URL
The Perfect Egyptian Rice with Vermicelli,olive oil,http://allrecipes.com/recipe/255137/the-perfect-egyptian-rice-with-vermicelli
The Perfect Egyptian Rice with Vermicelli,1/2-inch long vermicelli,http://allrecipes.com/recipe/255137/the-perfect-egyptian-rice-with-vermicelli
The Perfect Egyptian Rice with Vermicelli,Egyptian rice (short-grain rice),http://allrecipes.com/recipe/255137/the-perfect-egyptian-rice-with-vermicelli
The Perfect Egyptian Rice with Vermicelli,salt to taste,http://allrecipes.com/recipe/255137/the-perfect-egyptian-rice-with-vermicelli
The Perfect Egyptian Rice with Vermicelli,water,http://allrecipes.com/recipe/255137/the-perfect-egyptian-rice-with-vermicelli
Mommy Bart-Williams' Spinach Leaves,onions,http://allrecipes.com/recipe/223186/mommy-bart-williams-spinach-leaves
Mommy Bart-Williams' Spinach Leaves,"green bell pepper, cut into chunks",http://allrecipes.com/recipe/223186/mommy-bart-williams-spinach-leaves
Mommy Bart-Williams' Spinach Leaves,"habanero pepper, or more to taste",http://allrecipes.com/recipe/223186/mommy-bart-williams-spinach-leaves
Mommy Bart-Williams' Spinach Leaves,light virgin palm oil,http://allrecipes.com/recipe/223186/mommy-bart-williams-spinach-leaves
Mommy Bart-Williams' Spinach Leaves,water,http://allrecipes.com/recipe/223186/mommy-bart-williams-spinach-leaves
Mommy Bart-Williams' Spinach Leaves,"peanut butter, or more to taste",http://allrecipes.com/recipe/223186/mommy-bart-williams-spinach-leaves
Mommy Bart-Williams' Spinach Leaves,cubes chicken bouillon,http://allrecipes.com/recipe/223186/mommy-bart-williams-spinach-leaves
Mommy Bart-Williams' Spinach Leaves,salt,http://allrecipes.com/recipe/223186/mommy-bart-williams-spinach-leaves
Mommy Bart-Williams' Spinach Leaves,"bunches fresh spinach, cut into thin strips",http://allrecipes.com/recipe/223186/mommy-bart-williams-spinach-leaves
Pumpkin Casserole/Souffle,white sugar,http://allrecipes.com/recipe/239216/pumpkin-casserolesouffle
Pumpkin Casserole/Souffle,butter,http://allrecipes.com/recipe/239216/pumpkin-casserolesouffle
Pumpkin Casserole/Souffle,large eggs,http://allrecipes.com/recipe/239216/pumpkin-casserolesouffle
Pumpkin Casserole/Souffle,pumpkin puree,http://allrecipes.com/recipe/239216/pumpkin-casserolesouffle
Pumpkin Casserole/Souffle,milk,http://allrecipes.com/recipe/239216/pumpkin-casserolesouffle
Pumpkin Casserole/Souffle,cake flour,http://allrecipes.com/recipe/239216/pumpkin-casserolesouffle
Pumpkin Casserole/Souffle,baking powder,http://allrecipes.com/recipe/239216/pumpkin-casserolesouffle
Pumpkin Casserole/Souffle,"pinch ground cinnamon, or as desired",http://allrecipes.com/recipe/239216/pumpkin-casserolesouffle
Sweet and Nutty Moroccan Couscous,vegetable broth,http://allrecipes.com/recipe/81551/sweet-and-nutty-moroccan-couscous
Sweet and Nutty Moroccan Couscous,unsalted butter,http://allrecipes.com/recipe/81551/sweet-and-nutty-moroccan-couscous
Sweet and Nutty Moroccan Couscous,chopped dates,http://allrecipes.com/recipe/81551/sweet-and-nutty-moroccan-couscous
Sweet and Nutty Moroccan Couscous,chopped  apricots,http://allrecipes.com/recipe/81551/sweet-and-nutty-moroccan-couscous
Sweet and Nutty Moroccan Couscous,golden raisins,http://allrecipes.com/recipe/81551/sweet-and-nutty-moroccan-couscous
Sweet and Nutty Moroccan Couscous,dry couscous,http://allrecipes.com/recipe/81551/sweet-and-nutty-moroccan-couscous
Sweet and Nutty Moroccan Couscous,ground cinnamon,http://allrecipes.com/recipe/81551/sweet-and-nutty-moroccan-couscous
Sweet and Nutty Moroccan Couscous,slivered almonds,http://allrecipes.com/recipe/81551/sweet-and-nutty-moroccan-couscous
Algerian Carrots,water,http://allrecipes.com/recipe/99244/algerian-carrots
Algerian Carrots,carrots  and,http://allrecipes.com/recipe/99244/algerian-carrots
Algerian Carrots,olive oil,http://allrecipes.com/recipe/99244/algerian-carrots
Algerian Carrots,salt,http://allrecipes.com/recipe/99244/algerian-carrots
Algerian Carrots,ground black pepper,http://allrecipes.com/recipe/99244/algerian-carrots
Algerian Carrots,ground cinnamon,http://allrecipes.com/recipe/99244/algerian-carrots
Algerian Carrots,ground cumin,http://allrecipes.com/recipe/99244/algerian-carrots
Algerian Carrots,,http://allrecipes.com/recipe/99244/algerian-carrots
Algerian Carrots,dried thyme leaves,http://allrecipes.com/recipe/99244/algerian-carrots
Algerian Carrots,bay leaf,http://allrecipes.com/recipe/99244/algerian-carrots
Algerian Carrots,lemon juice,http://allrecipes.com/recipe/99244/algerian-carrots
Moroccan Black-Eyed Peas (Cowpeas),dried black-eyed peas (cowpeas),http://allrecipes.com/recipe/237350/moroccan-black-eyed-peas-cowpeas
Moroccan Black-Eyed Peas (Cowpeas),onion,http://allrecipes.com/recipe/237350/moroccan-black-eyed-peas-cowpeas
Moroccan Black-Eyed Peas (Cowpeas),tomato sauce,http://allrecipes.com/recipe/237350/moroccan-black-eyed-peas-cowpeas
Moroccan Black-Eyed Peas (Cowpeas),olive oil,http://allrecipes.com/recipe/237350/moroccan-black-eyed-peas-cowpeas
Moroccan Black-Eyed Peas (Cowpeas),chopped fresh cilantro,http://allrecipes.com/recipe/237350/moroccan-black-eyed-peas-cowpeas
Moroccan Black-Eyed Peas (Cowpeas),garlic,http://allrecipes.com/recipe/237350/moroccan-black-eyed-peas-cowpeas
Moroccan Black-Eyed Peas (Cowpeas),salt,http://allrecipes.com/recipe/237350/moroccan-black-eyed-peas-cowpeas
Moroccan Black-Eyed Peas (Cowpeas),ground cumin,http://allrecipes.com/recipe/237350/moroccan-black-eyed-peas-cowpeas
Moroccan Black-Eyed Peas (Cowpeas),sweet paprika,http://allrecipes.com/recipe/237350/moroccan-black-eyed-peas-cowpeas
Moroccan Black-Eyed Peas (Cowpeas),ground ginger,http://allrecipes.com/recipe/237350/moroccan-black-eyed-peas-cowpeas
Moroccan Black-Eyed Peas (Cowpeas),cayenne pepper,http://allrecipes.com/recipe/237350/moroccan-black-eyed-peas-cowpeas
Moroccan Black-Eyed Peas (Cowpeas),"water, or more if needed",http://allrecipes.com/recipe/237350/moroccan-black-eyed-peas-cowpeas
Ethiopian Cabbage and Potato Dish (Atkilt),olive oil,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),carrots,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),onion,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),salt,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),ground turmeric,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),ground cumin,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),ground black pepper,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),ground ginger,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),small head cabbage,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),garlic,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),"small yellow potatoes, cut into bite-size cubes",http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),water,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
South African Yellow Rice,grain white rice,http://allrecipes.com/recipe/98799/south-african-yellow-rice
South African Yellow Rice,salt,http://allrecipes.com/recipe/98799/south-african-yellow-rice
South African Yellow Rice,ground turmeric,http://allrecipes.com/recipe/98799/south-african-yellow-rice
South African Yellow Rice,white sugar,http://allrecipes.com/recipe/98799/south-african-yellow-rice
South African Yellow Rice,ground cinnamon,http://allrecipes.com/recipe/98799/south-african-yellow-rice
South African Yellow Rice,black raisins,http://allrecipes.com/recipe/98799/south-african-yellow-rice
South African Yellow Rice,butter,http://allrecipes.com/recipe/98799/south-african-yellow-rice
South African Yellow Rice,water,http://allrecipes.com/recipe/98799/south-african-yellow-rice
Algerian Flafla (Bell Pepper Salad),green bell peppers,http://allrecipes.com/recipe/153802/algerian-flafla-bell-pepper-salad
Algerian Flafla (Bell Pepper Salad),olive oil,http://allrecipes.com/recipe/153802/algerian-flafla-bell-pepper-salad
