Recipe,URL
The Perfect Egyptian Rice with Vermicelli,http://allrecipes.com/recipe/255137/the-perfect-egyptian-rice-with-vermicelli
Mommy Bart-Williams' Spinach Leaves,http://allrecipes.com/recipe/223186/mommy-bart-williams-spinach-leaves
Pumpkin Casserole/Souffle,http://allrecipes.com/recipe/239216/pumpkin-casserolesouffle
Sweet and Nutty Moroccan Couscous,http://allrecipes.com/recipe/81551/sweet-and-nutty-moroccan-couscous
Algerian Carrots,http://allrecipes.com/recipe/99244/algerian-carrots
Moroccan Black-Eyed Peas (Cowpeas),http://allrecipes.com/recipe/237350/moroccan-black-eyed-peas-cowpeas
Ethiopian Cabbage and Potato Dish (Atkilt),http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
South African Yellow Rice,http://allrecipes.com/recipe/98799/south-african-yellow-rice
Algerian Flafla (Bell Pepper Salad),http://allrecipes.com/recipe/153802/algerian-flafla-bell-pepper-salad
Moroccan Couscous,http://allrecipes.com/recipe/105045/moroccan-couscous
Middle Eastern White Beans,http://allrecipes.com/recipe/82184/middle-eastern-white-beans
Rice Pudding with Lemon Juice and Caramelized Onion (Egyptian Kishk),http://allrecipes.com/recipe/231759/rice-pudding-with-lemon-juice-and-caramelized-onion-egyptian-kishk
Tastira (Tunisian Fried Peppers and Eggs),http://allrecipes.com/recipe/162191/tastira-tunisian-fried-peppers-and-eggs
Liberian Style Collard Greens,http://allrecipes.com/recipe/221980/liberian-style-collard-greens
Ethiopian Cabbage Dish,http://allrecipes.com/recipe/152937/ethiopian-cabbage-dish
Cameroonian Fried Spinach,http://allrecipes.com/recipe/38121/cameroonian-fried-spinach
Allrecipes Magazine,https://secure.allrecipesmagazine.com/order/?containerName=i71vtar01&psrc=I701TRDW398DFA&internalSource=marketcard&referringId=17476&referringContentType=recipe%20hub&clickId=cardslot%2010
Tunisian Kaftaji,http://allrecipes.com/recipe/215281/tunisian-kaftaji
Gages,http://allrecipes.com/recipe/50968/gages
Fava Beans in Tahini Sauce,http://allrecipes.com/recipe/154114/fava-beans-in-tahini-sauce
Green Banana Fries,http://allrecipes.com/recipe/82495/green-banana-fries
Ethiopian Spiced Cottage Cheese with Greens (Gomen Kitfo),http://allrecipes.com/recipe/88595/ethiopian-spiced-cottage-cheese-with-greens-gomen-kitfo
Tikil Gomen (Ethiopian Cabbage),http://allrecipes.com/recipe/245497/tikil-gomen-ethiopian-cabbage
Egyptian Green Beans with Carrots,http://allrecipes.com/recipe/233456/egyptian-green-beans-with-carrots
Eba,http://allrecipes.com/recipe/90191/eba
Guinean Peanut Sauce with Butternut Squash,http://allrecipes.com/recipe/215275/guinean-peanut-sauce-with-butternut-squash
Roasted Tikel Gomen,http://allrecipes.com/recipe/246876/roasted-tikel-gomen
St. Patrick's Day Recipes,
Matbucha,http://allrecipes.com/recipe/214808/matbucha
Gomen Wat,http://allrecipes.com/recipe/185093/gomen-wat
