Recipe Name,Ingredient,URL
Curry Beef Soup,butter,http://allrecipes.com/recipe/13166/curry-beef-soup
Curry Beef Soup,onions,http://allrecipes.com/recipe/13166/curry-beef-soup
Curry Beef Soup,cubed beef stew meat,http://allrecipes.com/recipe/13166/curry-beef-soup
Curry Beef Soup,beef stock,http://allrecipes.com/recipe/13166/curry-beef-soup
Curry Beef Soup,curry powder,http://allrecipes.com/recipe/13166/curry-beef-soup
Curry Beef Soup,bay leaves,http://allrecipes.com/recipe/13166/curry-beef-soup
Curry Beef Soup,potatoes,http://allrecipes.com/recipe/13166/curry-beef-soup
Curry Beef Soup,distilled white vinegar,http://allrecipes.com/recipe/13166/curry-beef-soup
Curry Beef Soup,salt,http://allrecipes.com/recipe/13166/curry-beef-soup
African Cabbage Stew,large head cabbage,http://allrecipes.com/recipe/228662/african-cabbage-stew
African Cabbage Stew,canola oil,http://allrecipes.com/recipe/228662/african-cabbage-stew
African Cabbage Stew,onion,http://allrecipes.com/recipe/228662/african-cabbage-stew
African Cabbage Stew,minced garlic,http://allrecipes.com/recipe/228662/african-cabbage-stew
African Cabbage Stew,roma (plum) tomatoes,http://allrecipes.com/recipe/228662/african-cabbage-stew
African Cabbage Stew,water,http://allrecipes.com/recipe/228662/african-cabbage-stew
African Cabbage Stew,tomato paste,http://allrecipes.com/recipe/228662/african-cabbage-stew
African Cabbage Stew,mackerel in tomato sauce,http://allrecipes.com/recipe/228662/african-cabbage-stew
African Cabbage Stew,"pinch red pepper flakes, or to taste",http://allrecipes.com/recipe/228662/african-cabbage-stew
African Cabbage Stew,pinch  salt or to taste,http://allrecipes.com/recipe/228662/african-cabbage-stew
El Mestouk,vegetable oil,http://allrecipes.com/recipe/153735/el-mestouk
El Mestouk,minced onion,http://allrecipes.com/recipe/153735/el-mestouk
El Mestouk,ground cinnamon,http://allrecipes.com/recipe/153735/el-mestouk
El Mestouk,salt and pepper to taste,http://allrecipes.com/recipe/153735/el-mestouk
El Mestouk,golden raisins,http://allrecipes.com/recipe/153735/el-mestouk
El Mestouk,"dried apricots, cut in half (optional)",http://allrecipes.com/recipe/153735/el-mestouk
El Mestouk,lemon zest,http://allrecipes.com/recipe/153735/el-mestouk
El Mestouk,lemon juice,http://allrecipes.com/recipe/153735/el-mestouk
El Mestouk,water,http://allrecipes.com/recipe/153735/el-mestouk
El Mestouk,"apples - peeled, cored and sliced",http://allrecipes.com/recipe/153735/el-mestouk
El Mestouk,roasted  rotisserie chicken,http://allrecipes.com/recipe/153735/el-mestouk
