Recipe,URL
Curry Beef Soup,http://allrecipes.com/recipe/13166/curry-beef-soup
African Cabbage Stew,http://allrecipes.com/recipe/228662/african-cabbage-stew
El Mestouk,http://allrecipes.com/recipe/153735/el-mestouk
African Turkey Stew,http://allrecipes.com/recipe/216101/african-turkey-stew
Mushroom and Chickpea Tagine,http://allrecipes.com/recipe/256726/mushroom-and-chickpea-tagine
Moroccan Lentil Soup with Veggies,http://allrecipes.com/recipe/238522/moroccan-lentil-soup-with-veggies
Zimbabwean Chicken and Vegetable Soup,http://allrecipes.com/recipe/219483/zimbabwean-chicken-and-vegetable-soup
Make-Ahead Moroccan Lamb Stew,http://allrecipes.com/recipe/217108/make-ahead-moroccan-lamb-stew
Gisela's Butternut Squash Soup,http://allrecipes.com/recipe/214563/giselas-butternut-squash-soup
Moroccan Harira (Bean Soup),http://allrecipes.com/recipe/238523/moroccan-harira-bean-soup
Slow Cooker Chicken Marrakesh,http://allrecipes.com/recipe/218769/slow-cooker-chicken-marrakesh
Allrecipes Magazine,https://secure.allrecipesmagazine.com/order/?containerName=i71vtar01&psrc=I701TRDW398DFA&internalSource=marketcard&referringId=17477&referringContentType=recipe%20hub&clickId=cardslot%2010
Egusi Soup,http://allrecipes.com/recipe/12978/egusi-soup
Egyptian Lentil Soup,http://allrecipes.com/recipe/222661/egyptian-lentil-soup
Harira,http://allrecipes.com/recipe/13443/harira
Karanga Soup,http://allrecipes.com/recipe/255437/karanga-soup
Moroccan Tagine with Olives and Artichoke Hearts,http://allrecipes.com/recipe/234073/moroccan-tagine-with-olives-and-artichoke-hearts
Quick and Easy Egyptian Chicken Broth,http://allrecipes.com/recipe/255138/quick-and-easy-egyptian-chicken-broth
Vegan African Stew,http://allrecipes.com/recipe/234983/vegan-african-stew
Egyptian Lahma Bil Basal (Beef in Rich Onion Sauce),http://allrecipes.com/recipe/233715/egyptian-lahma-bil-basal-beef-in-rich-onion-sauce
Senegalese Chicken Yassa,http://allrecipes.com/recipe/255466/senegalese-chicken-yassa
Vegetable Tagine,http://allrecipes.com/recipe/180653/vegetable-tagine
The Shorba Freekeh of Algeria,http://allrecipes.com/recipe/237695/the-shorba-freekeh-of-algeria
Saharan West African Peanut and Pineapple Soup,http://allrecipes.com/recipe/235571/saharan-west-african-peanut-and-pineapple-soup-
Bissara,http://allrecipes.com/recipe/104405/bissara
Moroccan Stew with Chicken and Pearl Onions,http://allrecipes.com/recipe/236126/moroccan-stew-with-chicken-and-pearl-onions
West African Chicken Stew,http://allrecipes.com/recipe/178542/west-african-chicken-stew
Make-Ahead Vegetarian Moroccan Stew,http://allrecipes.com/recipe/217109/make-ahead-vegetarian-moroccan-stew
Senegalese Riz Gras,http://allrecipes.com/recipe/215276/senegalese-riz-gras
Algerian Couscous,http://allrecipes.com/recipe/256729/algerian-couscous
Moroccan Chickpea Stew,http://allrecipes.com/recipe/217947/moroccan-chickpea-stew
West African Peanut Soup,http://allrecipes.com/recipe/68530/west-african-peanut-soup
Driving American Business,
West African Peanut Stew,http://allrecipes.com/recipe/217952/west-african-peanut-stew
Moroccan Lentil Soup,http://allrecipes.com/recipe/12960/moroccan-lentil-soup
African Peanut Soup,http://allrecipes.com/recipe/73090/african-peanut-soup
South African Sugar Bean Soup,http://allrecipes.com/recipe/254857/south-african-sugar-bean-soup
Peanut Butter Beef Stew,http://allrecipes.com/recipe/232938/peanut-butter-beef-stew
Tunisian Soup,http://allrecipes.com/recipe/255439/tunisian-soup
Nigerian Peanut Soup,http://allrecipes.com/recipe/13095/nigerian-peanut-soup
Powerhouse African Yam Stew,http://allrecipes.com/recipe/255873/powerhouse-african-yam-stew
Beef Curry Soup,http://allrecipes.com/recipe/13208/beef-curry-soup
Tunisian Lamb with Saffron (Keleya Zaara),http://allrecipes.com/recipe/162193/tunisian-lamb-with-saffron-keleya-zaara
African Sweet Potato Stew,http://allrecipes.com/recipe/245682/african-sweet-potato-stew
Moroccan Potato Bean Soup,http://allrecipes.com/recipe/13123/moroccan-potato-bean-soup
Chicken Casablanca,http://allrecipes.com/recipe/236245/chicken-casablanca
Christina's Harira,http://allrecipes.com/recipe/218559/christinas-harira
North African Beef Stew,http://allrecipes.com/recipe/240813/north-african-beef-stew
Kik Wat (Ethiopian Red Lentil Stew),http://allrecipes.com/recipe/245948/kik-wat-ethiopian-red-lentil-stew
Atlas Mountain Soup,http://allrecipes.com/recipe/112056/atlas-mountain-soup
"Moroccan Chicken Tagine with Preserved Lemons, Fennel, Olives, and Harissa",http://allrecipes.com/recipe/256727/moroccan-chicken-tagine-with-preserved-lemons-fennel-olives-and-harissa
"Moroccan Semolina Soup with Milk, Anise Seeds, and Honey",http://allrecipes.com/recipe/234420/moroccan-semolina-soup-with-milk-anise-seeds-and-honey
Ground Nut Stew,http://allrecipes.com/recipe/42727/ground-nut-stew
Ethiopian Firfir with Dried Beef (Quanta Firfir),http://allrecipes.com/recipe/254856/ethiopian-firfir-with-dried-beef-quanta-firfir
Peanut Butter Goat Soup,http://allrecipes.com/recipe/254960/peanut-butter-goat-soup-
Spicy African Yam Soup,http://allrecipes.com/recipe/48121/spicy-african-yam-soup
Egyptian Bamia,http://allrecipes.com/recipe/227986/egyptian-bamia
African Sweet Potato and Peanut Soup,http://allrecipes.com/recipe/55207/african-sweet-potato-and-peanut-soup
