Recipe Name,Ingredient,URL
Ethiopian Spiced Cottage Cheese,cottage cheese,http://allrecipes.com/recipe/213254/ethiopian-spiced-cottage-cheese
Ethiopian Spiced Cottage Cheese,garlic,http://allrecipes.com/recipe/213254/ethiopian-spiced-cottage-cheese
Ethiopian Spiced Cottage Cheese,ground cardamom,http://allrecipes.com/recipe/213254/ethiopian-spiced-cottage-cheese
Ethiopian Spiced Cottage Cheese,,http://allrecipes.com/recipe/213254/ethiopian-spiced-cottage-cheese
Ethiopian Spiced Cottage Cheese,butter,http://allrecipes.com/recipe/213254/ethiopian-spiced-cottage-cheese
Ethiopian Spiced Cottage Cheese,chopped onion,http://allrecipes.com/recipe/213254/ethiopian-spiced-cottage-cheese
Ethiopian Spiced Cottage Cheese,minced fresh ginger root,http://allrecipes.com/recipe/213254/ethiopian-spiced-cottage-cheese
Ethiopian Spiced Cottage Cheese,green chile pepper,http://allrecipes.com/recipe/213254/ethiopian-spiced-cottage-cheese
Ethiopian Spiced Cottage Cheese,garlic,http://allrecipes.com/recipe/213254/ethiopian-spiced-cottage-cheese
Ethiopian Spiced Cottage Cheese,"spinach leaves, cut into 2-inch pieces",http://allrecipes.com/recipe/213254/ethiopian-spiced-cottage-cheese
Ethiopian Vegetable Bowl,vegetable oil,http://allrecipes.com/recipe/188472/ethiopian-vegetable-bowl
Ethiopian Vegetable Bowl,ground ginger,http://allrecipes.com/recipe/188472/ethiopian-vegetable-bowl
Ethiopian Vegetable Bowl,ground turmeric,http://allrecipes.com/recipe/188472/ethiopian-vegetable-bowl
Ethiopian Vegetable Bowl,ground black pepper,http://allrecipes.com/recipe/188472/ethiopian-vegetable-bowl
Ethiopian Vegetable Bowl,,http://allrecipes.com/recipe/188472/ethiopian-vegetable-bowl
Ethiopian Vegetable Bowl,fenugreek seeds,http://allrecipes.com/recipe/188472/ethiopian-vegetable-bowl
Ethiopian Vegetable Bowl,head garlic,http://allrecipes.com/recipe/188472/ethiopian-vegetable-bowl
Ethiopian Vegetable Bowl,salt,http://allrecipes.com/recipe/188472/ethiopian-vegetable-bowl
Ethiopian Vegetable Bowl,large onions,http://allrecipes.com/recipe/188472/ethiopian-vegetable-bowl
Ethiopian Vegetable Bowl,large carrots,http://allrecipes.com/recipe/188472/ethiopian-vegetable-bowl
Ethiopian Vegetable Bowl,large potatoes,http://allrecipes.com/recipe/188472/ethiopian-vegetable-bowl
Ethiopian Vegetable Bowl,head cabbage,http://allrecipes.com/recipe/188472/ethiopian-vegetable-bowl
Ethiopian Vegetable Bowl,tomato puree,http://allrecipes.com/recipe/188472/ethiopian-vegetable-bowl
Ethiopian Vegetable Bowl,water,http://allrecipes.com/recipe/188472/ethiopian-vegetable-bowl
Ethiopian Vegetable Bowl,salt and pepper to taste,http://allrecipes.com/recipe/188472/ethiopian-vegetable-bowl
Ethiopian Cabbage and Potato Dish (Atkilt),olive oil,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),carrots,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),onion,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),salt,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),ground turmeric,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),ground cumin,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),ground black pepper,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),ground ginger,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),small head cabbage,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),garlic,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),"small yellow potatoes, cut into bite-size cubes",http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
Ethiopian Cabbage and Potato Dish (Atkilt),water,http://allrecipes.com/recipe/236247/ethiopian-cabbage-and-potato-dish-atkilt
"East African ""French"" Toast",eggs,http://allrecipes.com/recipe/256677/east-african-french-toast
"East African ""French"" Toast",milk,http://allrecipes.com/recipe/256677/east-african-french-toast
"East African ""French"" Toast",garlic powder (optional),http://allrecipes.com/recipe/256677/east-african-french-toast
"East African ""French"" Toast",salt and ground black pepper to taste,http://allrecipes.com/recipe/256677/east-african-french-toast
"East African ""French"" Toast",chopped tomato,http://allrecipes.com/recipe/256677/east-african-french-toast
"East African ""French"" Toast",chopped onion,http://allrecipes.com/recipe/256677/east-african-french-toast
"East African ""French"" Toast",green chile peppers,http://allrecipes.com/recipe/256677/east-african-french-toast
"East African ""French"" Toast",cilantro,http://allrecipes.com/recipe/256677/east-african-french-toast
"East African ""French"" Toast",bread,http://allrecipes.com/recipe/256677/east-african-french-toast
"East African ""French"" Toast","butter, or to taste",http://allrecipes.com/recipe/256677/east-african-french-toast
Karanga Soup,skinless chicken thighs,http://allrecipes.com/recipe/255437/karanga-soup
Karanga Soup,curry powder,http://allrecipes.com/recipe/255437/karanga-soup
Karanga Soup,"olive oil, or more to taste",http://allrecipes.com/recipe/255437/karanga-soup
Karanga Soup,stewed tomatoes,http://allrecipes.com/recipe/255437/karanga-soup
Karanga Soup,diced tomatoes,http://allrecipes.com/recipe/255437/karanga-soup
Karanga Soup,corn,http://allrecipes.com/recipe/255437/karanga-soup
Karanga Soup,"small potatoes, or to taste",http://allrecipes.com/recipe/255437/karanga-soup
Karanga Soup,red onions,http://allrecipes.com/recipe/255437/karanga-soup
Karanga Soup,mushrooms,http://allrecipes.com/recipe/255437/karanga-soup
Karanga Soup,green bell pepper,http://allrecipes.com/recipe/255437/karanga-soup
Karanga Soup,green onions  or to taste,http://allrecipes.com/recipe/255437/karanga-soup
Karanga Soup,Worcestershire sauce,http://allrecipes.com/recipe/255437/karanga-soup
Karanga Soup,ground black pepper to taste,http://allrecipes.com/recipe/255437/karanga-soup
Kik Wat (Ethiopian Red Lentil Stew),yellow onions,http://allrecipes.com/recipe/245948/kik-wat-ethiopian-red-lentil-stew
Kik Wat (Ethiopian Red Lentil Stew),red onions,http://allrecipes.com/recipe/245948/kik-wat-ethiopian-red-lentil-stew
Kik Wat (Ethiopian Red Lentil Stew),garlic,http://allrecipes.com/recipe/245948/kik-wat-ethiopian-red-lentil-stew
Kik Wat (Ethiopian Red Lentil Stew),canola oil,http://allrecipes.com/recipe/245948/kik-wat-ethiopian-red-lentil-stew
Kik Wat (Ethiopian Red Lentil Stew),seasoning,http://allrecipes.com/recipe/245948/kik-wat-ethiopian-red-lentil-stew
Kik Wat (Ethiopian Red Lentil Stew),seasoning,http://allrecipes.com/recipe/245948/kik-wat-ethiopian-red-lentil-stew
Kik Wat (Ethiopian Red Lentil Stew),crushed tomatoes,http://allrecipes.com/recipe/245948/kik-wat-ethiopian-red-lentil-stew
Kik Wat (Ethiopian Red Lentil Stew),red lentils,http://allrecipes.com/recipe/245948/kik-wat-ethiopian-red-lentil-stew
Kik Wat (Ethiopian Red Lentil Stew),water,http://allrecipes.com/recipe/245948/kik-wat-ethiopian-red-lentil-stew
Kik Wat (Ethiopian Red Lentil Stew),ground cardamom,http://allrecipes.com/recipe/245948/kik-wat-ethiopian-red-lentil-stew
Kik Wat (Ethiopian Red Lentil Stew),salt and ground black pepper to taste,http://allrecipes.com/recipe/245948/kik-wat-ethiopian-red-lentil-stew
Berbere (Ethiopian Spice),red chili powder,http://allrecipes.com/recipe/236741/berbere-ethiopian-spice
Berbere (Ethiopian Spice),paprika,http://allrecipes.com/recipe/236741/berbere-ethiopian-spice
Berbere (Ethiopian Spice),salt,http://allrecipes.com/recipe/236741/berbere-ethiopian-spice
Berbere (Ethiopian Spice),ground fenugreek,http://allrecipes.com/recipe/236741/berbere-ethiopian-spice
Berbere (Ethiopian Spice),ground ginger,http://allrecipes.com/recipe/236741/berbere-ethiopian-spice
Berbere (Ethiopian Spice),onion powder,http://allrecipes.com/recipe/236741/berbere-ethiopian-spice
Berbere (Ethiopian Spice),ground coriander,http://allrecipes.com/recipe/236741/berbere-ethiopian-spice
Berbere (Ethiopian Spice),ground cardamom,http://allrecipes.com/recipe/236741/berbere-ethiopian-spice
Berbere (Ethiopian Spice),garlic powder,http://allrecipes.com/recipe/236741/berbere-ethiopian-spice
Berbere (Ethiopian Spice),,http://allrecipes.com/recipe/236741/berbere-ethiopian-spice
Berbere (Ethiopian Spice),ground cinnamon,http://allrecipes.com/recipe/236741/berbere-ethiopian-spice
Injera,active dry yeast,http://allrecipes.com/recipe/7070/injera
Injera,honey,http://allrecipes.com/recipe/7070/injera
Injera,warm water (110 degrees F/45 degrees C),http://allrecipes.com/recipe/7070/injera
Injera,ground  flour,http://allrecipes.com/recipe/7070/injera
Injera,baking soda,http://allrecipes.com/recipe/7070/injera
Tomato Chutney,cherry tomatoes,http://allrecipes.com/recipe/47440/tomato-chutney
Tomato Chutney,small white onion,http://allrecipes.com/recipe/47440/tomato-chutney
Tomato Chutney,green onion,http://allrecipes.com/recipe/47440/tomato-chutney
Tomato Chutney,chopped fresh cilantro,http://allrecipes.com/recipe/47440/tomato-chutney
Tomato Chutney,green chile peppers,http://allrecipes.com/recipe/47440/tomato-chutney
Tomato Chutney,salt to taste,http://allrecipes.com/recipe/47440/tomato-chutney
Tomato Chutney,"lemon juice, or to taste",http://allrecipes.com/recipe/47440/tomato-chutney
Ethiopian Cabbage Dish,olive oil,http://allrecipes.com/recipe/152937/ethiopian-cabbage-dish
Ethiopian Cabbage Dish,carrots,http://allrecipes.com/recipe/152937/ethiopian-cabbage-dish
Ethiopian Cabbage Dish,onion,http://allrecipes.com/recipe/152937/ethiopian-cabbage-dish
Ethiopian Cabbage Dish,sea salt,http://allrecipes.com/recipe/152937/ethiopian-cabbage-dish
Ethiopian Cabbage Dish,ground black pepper,http://allrecipes.com/recipe/152937/ethiopian-cabbage-dish
Ethiopian Cabbage Dish,ground cumin,http://allrecipes.com/recipe/152937/ethiopian-cabbage-dish
Ethiopian Cabbage Dish,ground turmeric,http://allrecipes.com/recipe/152937/ethiopian-cabbage-dish
Ethiopian Cabbage Dish,head cabbage,http://allrecipes.com/recipe/152937/ethiopian-cabbage-dish
Ethiopian Cabbage Dish,potatoes  and  into 1-inch cubes,http://allrecipes.com/recipe/152937/ethiopian-cabbage-dish
Qumbe (East African Coconut Candy),unsweetened  coconut,http://allrecipes.com/recipe/245357/qumbe-east-african-coconut-candy
Qumbe (East African Coconut Candy),coconut milk,http://allrecipes.com/recipe/245357/qumbe-east-african-coconut-candy
Qumbe (East African Coconut Candy),white sugar,http://allrecipes.com/recipe/245357/qumbe-east-african-coconut-candy
Qumbe (East African Coconut Candy),almond flour,http://allrecipes.com/recipe/245357/qumbe-east-african-coconut-candy
Qumbe (East African Coconut Candy),unsweetened  coconut or as needed (optional),http://allrecipes.com/recipe/245357/qumbe-east-african-coconut-candy
Doro Wat,"(3 pound) whole chicken, including neck and giblets, cut into 1-inch pieces",http://allrecipes.com/recipe/218102/doro-wat
Doro Wat,water,http://allrecipes.com/recipe/218102/doro-wat
Doro Wat,lemon juice,http://allrecipes.com/recipe/218102/doro-wat
Doro Wat,chopped Bermuda onion,http://allrecipes.com/recipe/218102/doro-wat
Doro Wat,butter,http://allrecipes.com/recipe/218102/doro-wat
Doro Wat,cayenne pepper,http://allrecipes.com/recipe/218102/doro-wat
Doro Wat,paprika,http://allrecipes.com/recipe/218102/doro-wat
Doro Wat,ground black pepper,http://allrecipes.com/recipe/218102/doro-wat
Doro Wat,ground ginger,http://allrecipes.com/recipe/218102/doro-wat
Doro Wat,"water, or as needed",http://allrecipes.com/recipe/218102/doro-wat
Doro Wat,all-purpose flour (optional),http://allrecipes.com/recipe/218102/doro-wat
Doro Wat,water (optional),http://allrecipes.com/recipe/218102/doro-wat
Doro Wat,hard-boiled eggs,http://allrecipes.com/recipe/218102/doro-wat
Ugandan Kabobs,plain yogurt,http://allrecipes.com/recipe/14627/ugandan-kabobs
Ugandan Kabobs,salt,http://allrecipes.com/recipe/14627/ugandan-kabobs
Ugandan Kabobs,jalapeno pepper  and,http://allrecipes.com/recipe/14627/ugandan-kabobs
Ugandan Kabobs,chopped fresh parsley,http://allrecipes.com/recipe/14627/ugandan-kabobs
Ugandan Kabobs,whole wheat bread,http://allrecipes.com/recipe/14627/ugandan-kabobs
Ugandan Kabobs,"eggs, beaten",http://allrecipes.com/recipe/14627/ugandan-kabobs
Ugandan Kabobs,Worcestershire sauce,http://allrecipes.com/recipe/14627/ugandan-kabobs
Ugandan Kabobs,dried bread crumbs,http://allrecipes.com/recipe/14627/ugandan-kabobs
