Recipe Name,Ingredient,URL
Moroccan Peach Roasted Chicken,margarine or butter,http://allrecipes.com/recipe/129218/moroccan-peach-roasted-chicken
Moroccan Peach Roasted Chicken,honey,http://allrecipes.com/recipe/129218/moroccan-peach-roasted-chicken
Moroccan Peach Roasted Chicken,water,http://allrecipes.com/recipe/129218/moroccan-peach-roasted-chicken
Moroccan Peach Roasted Chicken,salt,http://allrecipes.com/recipe/129218/moroccan-peach-roasted-chicken
Moroccan Peach Roasted Chicken,ground black pepper to taste,http://allrecipes.com/recipe/129218/moroccan-peach-roasted-chicken
Moroccan Peach Roasted Chicken,"bone-in chicken pieces, with skin",http://allrecipes.com/recipe/129218/moroccan-peach-roasted-chicken
Moroccan Peach Roasted Chicken,"fresh peaches, pitted and sliced",http://allrecipes.com/recipe/129218/moroccan-peach-roasted-chicken
Moroccan Peach Roasted Chicken,white sugar,http://allrecipes.com/recipe/129218/moroccan-peach-roasted-chicken
Moroccan Peach Roasted Chicken,toasted slivered almonds (optional),http://allrecipes.com/recipe/129218/moroccan-peach-roasted-chicken
Moroccan Chicken and Whole Grain Couscous,whole wheat couscous,http://allrecipes.com/recipe/83565/moroccan-chicken-and-whole-grain-couscous
Moroccan Chicken and Whole Grain Couscous,vegetable oil,http://allrecipes.com/recipe/83565/moroccan-chicken-and-whole-grain-couscous
Moroccan Chicken and Whole Grain Couscous,medium onion,http://allrecipes.com/recipe/83565/moroccan-chicken-and-whole-grain-couscous
Moroccan Chicken and Whole Grain Couscous,bay leaves,http://allrecipes.com/recipe/83565/moroccan-chicken-and-whole-grain-couscous
Moroccan Chicken and Whole Grain Couscous,whole cloves,http://allrecipes.com/recipe/83565/moroccan-chicken-and-whole-grain-couscous
Moroccan Chicken and Whole Grain Couscous,cinnamon,http://allrecipes.com/recipe/83565/moroccan-chicken-and-whole-grain-couscous
Moroccan Chicken and Whole Grain Couscous,ground  turmeric,http://allrecipes.com/recipe/83565/moroccan-chicken-and-whole-grain-couscous
Moroccan Chicken and Whole Grain Couscous,ground cayenne pepper,http://allrecipes.com/recipe/83565/moroccan-chicken-and-whole-grain-couscous
Moroccan Chicken and Whole Grain Couscous,"skinless, boneless chicken breast halves - chopped",http://allrecipes.com/recipe/83565/moroccan-chicken-and-whole-grain-couscous
Moroccan Chicken and Whole Grain Couscous,garbanzo beans,http://allrecipes.com/recipe/83565/moroccan-chicken-and-whole-grain-couscous
Moroccan Chicken and Whole Grain Couscous,crushed tomatoes,http://allrecipes.com/recipe/83565/moroccan-chicken-and-whole-grain-couscous
Moroccan Chicken and Whole Grain Couscous,chicken broth,http://allrecipes.com/recipe/83565/moroccan-chicken-and-whole-grain-couscous
Moroccan Chicken and Whole Grain Couscous,carrots  into 1/2 inch pieces,http://allrecipes.com/recipe/83565/moroccan-chicken-and-whole-grain-couscous
