Recipe Name,Ingredient,URL
Curry Beef Soup,butter,http://allrecipes.com/recipe/13166/curry-beef-soup
Curry Beef Soup,onions,http://allrecipes.com/recipe/13166/curry-beef-soup
Curry Beef Soup,cubed beef stew meat,http://allrecipes.com/recipe/13166/curry-beef-soup
Curry Beef Soup,beef stock,http://allrecipes.com/recipe/13166/curry-beef-soup
Curry Beef Soup,curry powder,http://allrecipes.com/recipe/13166/curry-beef-soup
Curry Beef Soup,bay leaves,http://allrecipes.com/recipe/13166/curry-beef-soup
Curry Beef Soup,potatoes,http://allrecipes.com/recipe/13166/curry-beef-soup
Curry Beef Soup,distilled white vinegar,http://allrecipes.com/recipe/13166/curry-beef-soup
Curry Beef Soup,salt,http://allrecipes.com/recipe/13166/curry-beef-soup
Peppermint Liqueur,white sugar,http://allrecipes.com/recipe/58464/peppermint-liqueur
Peppermint Liqueur,water,http://allrecipes.com/recipe/58464/peppermint-liqueur
Peppermint Liqueur,brandy,http://allrecipes.com/recipe/58464/peppermint-liqueur
Peppermint Liqueur,drops peppermint oil,http://allrecipes.com/recipe/58464/peppermint-liqueur
Peppermint Liqueur,drops green food coloring,http://allrecipes.com/recipe/58464/peppermint-liqueur
Zimbabwean Chicken and Vegetable Soup,olive oil,http://allrecipes.com/recipe/219483/zimbabwean-chicken-and-vegetable-soup
Zimbabwean Chicken and Vegetable Soup,onion,http://allrecipes.com/recipe/219483/zimbabwean-chicken-and-vegetable-soup
Zimbabwean Chicken and Vegetable Soup,vegetable stock,http://allrecipes.com/recipe/219483/zimbabwean-chicken-and-vegetable-soup
Zimbabwean Chicken and Vegetable Soup,peanut butter,http://allrecipes.com/recipe/219483/zimbabwean-chicken-and-vegetable-soup
Zimbabwean Chicken and Vegetable Soup,canned  tomatoes with juices,http://allrecipes.com/recipe/219483/zimbabwean-chicken-and-vegetable-soup
Zimbabwean Chicken and Vegetable Soup,"crushed red pepper flakes, or more to taste",http://allrecipes.com/recipe/219483/zimbabwean-chicken-and-vegetable-soup
Zimbabwean Chicken and Vegetable Soup,chopped cabbage,http://allrecipes.com/recipe/219483/zimbabwean-chicken-and-vegetable-soup
Zimbabwean Chicken and Vegetable Soup,chopped sweet potato,http://allrecipes.com/recipe/219483/zimbabwean-chicken-and-vegetable-soup
Zimbabwean Chicken and Vegetable Soup,peeled and chopped carrot,http://allrecipes.com/recipe/219483/zimbabwean-chicken-and-vegetable-soup
