Recipe,URL
Cold Szechuan Noodles and Shredded Vegetables,http://allrecipes.com/recipe/11926/cold-szechuan-noodles-and-shredded-vegetables
Szechuan Spicy Eggplant,http://allrecipes.com/recipe/18792/szechuan-spicy-eggplant
Stir-Fried Chicken With Pineapple and Peppers,http://allrecipes.com/recipe/77524/stir-fried-chicken-with-pineapple-and-peppers
Chinese Lion's Head Soup,http://allrecipes.com/recipe/135367/chinese-lions-head-soup
Pineapple Fried Rice II,http://allrecipes.com/recipe/56140/pineapple-fried-rice-ii
Honey Milk Tea - Hong Kong Style,http://allrecipes.com/recipe/213146/honey-milk-tea---hong-kong-style
Sesame Chicken,http://allrecipes.com/recipe/15352/sesame-chicken
Chinese Chicken Salad,http://allrecipes.com/recipe/8914/chinese-chicken-salad
Asian Fire Meat,http://allrecipes.com/recipe/37965/asian-fire-meat
Szechuan Beef,http://allrecipes.com/recipe/20095/szechuan-beef
Grilled Asian Chicken,http://allrecipes.com/recipe/8919/grilled-asian-chicken
Honey Walnut Shrimp,http://allrecipes.com/recipe/93234/honey-walnut-shrimp
Pot Stickers (Chinese Dumplings),http://allrecipes.com/recipe/202975/pot-stickers-chinese-dumplings
Shrimp with Broccoli in Garlic Sauce,http://allrecipes.com/recipe/223156/shrimp-with-broccoli-in-garlic-sauce
Easy Chinese Corn Soup,http://allrecipes.com/recipe/29704/easy-chinese-corn-soup
Steamed Fish with Ginger,http://allrecipes.com/recipe/140570/steamed-fish-with-ginger
Sweet and Sour Pork III,http://allrecipes.com/recipe/31144/sweet-and-sour-pork-iii
Chinese Chicken Wings,http://allrecipes.com/recipe/214464/chinese-chicken-wings
Fortune Cookies I,http://allrecipes.com/recipe/9684/fortune-cookies-i
Authentic Chinese Egg Rolls (from a Chinese person),http://allrecipes.com/recipe/61913/authentic-chinese-egg-rolls-from-a-chinese-person
Chinese Chicken Fried Rice I,http://allrecipes.com/recipe/17161/chinese-chicken-fried-rice-i
Hunan Kung Pao,http://allrecipes.com/recipe/167942/hunan-kung-pao
Shrimp with Lobster Sauce,http://allrecipes.com/recipe/57716/shrimp-with-lobster-sauce
Pork Dumplings,http://allrecipes.com/recipe/14759/pork-dumplings
Vegetable Lo Mein,http://allrecipes.com/recipe/11747/vegetable-lo-mein
Chinese Steamed Cake,http://allrecipes.com/recipe/8035/chinese-steamed-cake
Mongolian Beef I,http://allrecipes.com/recipe/22625/mongolian-beef-i
Moo Goo Gai Pan,http://allrecipes.com/recipe/165846/moo-goo-gai-pan
Chinese Roast Pork,http://allrecipes.com/recipe/14769/chinese-roast-pork
Allrecipes Magazine,https://secure.allrecipesmagazine.com/order/?containerName=i71vtar01&psrc=I701TRDW398DFA&internalSource=marketcard&referringId=695&referringContentType=recipe%20hub&clickId=cardslot%2010
Taiwanese Fried Tofu,http://allrecipes.com/recipe/53817/taiwanese-fried-tofu
Kung Pao Chicken,http://allrecipes.com/recipe/9027/kung-pao-chicken
Chinese Broccoli,http://allrecipes.com/recipe/128750/chinese-broccoli
Chinese Lemon Chicken,http://allrecipes.com/recipe/20584/chinese-lemon-chicken
Chinese Fried Noodles,http://allrecipes.com/recipe/34668/chinese-fried-noodles
Chinese Restaurant Almond Cookies,http://allrecipes.com/recipe/10723/chinese-restaurant-almond-cookies
Spicy Pork Stir-Fry,http://allrecipes.com/recipe/14758/spicy-pork-stir-fry
Pot Stickers Traditional,http://allrecipes.com/recipe/22460/pot-stickers-traditional
Beefy Chinese Dumplings,http://allrecipes.com/recipe/87535/beefy-chinese-dumplings
Egg Foo Yung with Mushroom Sauce,http://allrecipes.com/recipe/51542/egg-foo-yung-with-mushroom-sauce
Avocado Chicken Stir-Fry,http://allrecipes.com/recipe/198796/avocado-chicken-stir-fry
Chinese Noodle Chicken,http://allrecipes.com/recipe/8859/chinese-noodle-chicken
Asian Chicken Salad,http://allrecipes.com/recipe/14252/asian-chicken-salad
Chinese-Style Broccoli Salad,http://allrecipes.com/recipe/14059/chinese-style-broccoli-salad
Chinese Chicken Salad III,http://allrecipes.com/recipe/14319/chinese-chicken-salad-iii
Chinese Green Bean Stir-Fry,http://allrecipes.com/recipe/49350/chinese-green-bean-stir-fry
Black Pepper Beef and Cabbage Stir Fry,http://allrecipes.com/recipe/50233/black-pepper-beef-and-cabbage-stir-fry
Green Onion Cakes,http://allrecipes.com/recipe/203178/green-onion-cakes
Chinese Pork Dumplings,http://allrecipes.com/recipe/228052/chinese-pork-dumplings
Chicken and Chinese Vegetable Stir-Fry,http://allrecipes.com/recipe/103218/chicken-and-chinese-vegetable-stir-fry
Crab Rangoon I,http://allrecipes.com/recipe/14850/crab-rangoon-i
Chinese-Style Baby Bok Choy with Mushroom Sauce,http://allrecipes.com/recipe/215795/chinese-style-baby-bok-choy-with-mushroom-sauce
Quick Chinese-Style Vermicelli (Rice Noodles),http://allrecipes.com/recipe/41761/quick-chinese-style-vermicelli-rice-noodles
Chinese Chicken Fried Rice II,http://allrecipes.com/recipe/16954/chinese-chicken-fried-rice-ii
