Recipe Name,Ingredient,URL
Pork and Shrimp Pancit,rice noodles,http://allrecipes.com/recipe/46402/pork-and-shrimp-pancit
Pork and Shrimp Pancit,vegetable oil,http://allrecipes.com/recipe/46402/pork-and-shrimp-pancit
Pork and Shrimp Pancit,small onion,http://allrecipes.com/recipe/46402/pork-and-shrimp-pancit
Pork and Shrimp Pancit,garlic,http://allrecipes.com/recipe/46402/pork-and-shrimp-pancit
Pork and Shrimp Pancit,ground ginger,http://allrecipes.com/recipe/46402/pork-and-shrimp-pancit
Pork and Shrimp Pancit,cooked small shrimp,http://allrecipes.com/recipe/46402/pork-and-shrimp-pancit
Pork and Shrimp Pancit,chopped  pork,http://allrecipes.com/recipe/46402/pork-and-shrimp-pancit
Pork and Shrimp Pancit,shredded bok choy,http://allrecipes.com/recipe/46402/pork-and-shrimp-pancit
Pork and Shrimp Pancit,oyster sauce,http://allrecipes.com/recipe/46402/pork-and-shrimp-pancit
Pork and Shrimp Pancit,chicken broth,http://allrecipes.com/recipe/46402/pork-and-shrimp-pancit
Pork and Shrimp Pancit,crushed red pepper flakes,http://allrecipes.com/recipe/46402/pork-and-shrimp-pancit
Pork and Shrimp Pancit,green onion,http://allrecipes.com/recipe/46402/pork-and-shrimp-pancit
Chicken Adobo I,water,http://allrecipes.com/recipe/20779/chicken-adobo-i
Chicken Adobo I,distilled white vinegar,http://allrecipes.com/recipe/20779/chicken-adobo-i
Chicken Adobo I,soy sauce,http://allrecipes.com/recipe/20779/chicken-adobo-i
Chicken Adobo I,whole peppercorns,http://allrecipes.com/recipe/20779/chicken-adobo-i
Chicken Adobo I,garlic,http://allrecipes.com/recipe/20779/chicken-adobo-i
Chicken Adobo I,salt,http://allrecipes.com/recipe/20779/chicken-adobo-i
Chicken Adobo I,"(2 to 3 pound) whole chicken, cut into pieces",http://allrecipes.com/recipe/20779/chicken-adobo-i
Chicken Adobo I,vegetable oil,http://allrecipes.com/recipe/20779/chicken-adobo-i
Traci's Adobo Seasoning,salt,http://allrecipes.com/recipe/214086/tracis-adobo-seasoning
Traci's Adobo Seasoning,paprika,http://allrecipes.com/recipe/214086/tracis-adobo-seasoning
Traci's Adobo Seasoning,ground black pepper,http://allrecipes.com/recipe/214086/tracis-adobo-seasoning
Traci's Adobo Seasoning,onion powder,http://allrecipes.com/recipe/214086/tracis-adobo-seasoning
Traci's Adobo Seasoning,dried oregano,http://allrecipes.com/recipe/214086/tracis-adobo-seasoning
Traci's Adobo Seasoning,ground cumin,http://allrecipes.com/recipe/214086/tracis-adobo-seasoning
Traci's Adobo Seasoning,garlic powder,http://allrecipes.com/recipe/214086/tracis-adobo-seasoning
Traci's Adobo Seasoning,chili powder,http://allrecipes.com/recipe/214086/tracis-adobo-seasoning
Chicken Adobo,"chicken legs and thighs, rinsed and patted dry",http://allrecipes.com/recipe/212938/chicken-adobo
Chicken Adobo,water,http://allrecipes.com/recipe/212938/chicken-adobo
Chicken Adobo,white vinegar,http://allrecipes.com/recipe/212938/chicken-adobo
Chicken Adobo,soy sauce,http://allrecipes.com/recipe/212938/chicken-adobo
Chicken Adobo,white sugar,http://allrecipes.com/recipe/212938/chicken-adobo
Chicken Adobo,onion,http://allrecipes.com/recipe/212938/chicken-adobo
Chicken Adobo,garlic,http://allrecipes.com/recipe/212938/chicken-adobo
Chicken Adobo,whole black peppercorns,http://allrecipes.com/recipe/212938/chicken-adobo
Chicken Adobo,bay leaves,http://allrecipes.com/recipe/212938/chicken-adobo
Chicken Adobo,salt to taste,http://allrecipes.com/recipe/212938/chicken-adobo
Cassava Cake,grated  yucca,http://allrecipes.com/recipe/212941/cassava-cake
Cassava Cake,"eggs, beaten",http://allrecipes.com/recipe/212941/cassava-cake
Cassava Cake,evaporated milk,http://allrecipes.com/recipe/212941/cassava-cake
Cassava Cake,sweetened  milk,http://allrecipes.com/recipe/212941/cassava-cake
Cassava Cake,coconut milk,http://allrecipes.com/recipe/212941/cassava-cake
Filipino Avocado Milkshake,avocado - peeled pitted and,http://allrecipes.com/recipe/139425/filipino-avocado-milkshake
Filipino Avocado Milkshake,cubes ice,http://allrecipes.com/recipe/139425/filipino-avocado-milkshake
Filipino Avocado Milkshake,white sugar,http://allrecipes.com/recipe/139425/filipino-avocado-milkshake
Filipino Avocado Milkshake,milk,http://allrecipes.com/recipe/139425/filipino-avocado-milkshake
Filipino Avocado Milkshake,fresh lemon or lime juice,http://allrecipes.com/recipe/139425/filipino-avocado-milkshake
Filipino Avocado Milkshake,scoop vanilla ice cream,http://allrecipes.com/recipe/139425/filipino-avocado-milkshake
Lumpia - Filipino Shrimp and Pork Egg Rolls,ground pork,http://allrecipes.com/recipe/94757/lumpia---filipino-shrimp-and-pork-egg-rolls
Lumpia - Filipino Shrimp and Pork Egg Rolls,chopped raw shrimp,http://allrecipes.com/recipe/94757/lumpia---filipino-shrimp-and-pork-egg-rolls
Lumpia - Filipino Shrimp and Pork Egg Rolls,chopped onion,http://allrecipes.com/recipe/94757/lumpia---filipino-shrimp-and-pork-egg-rolls
Lumpia - Filipino Shrimp and Pork Egg Rolls,grated carrots,http://allrecipes.com/recipe/94757/lumpia---filipino-shrimp-and-pork-egg-rolls
Lumpia - Filipino Shrimp and Pork Egg Rolls,green onions,http://allrecipes.com/recipe/94757/lumpia---filipino-shrimp-and-pork-egg-rolls
Lumpia - Filipino Shrimp and Pork Egg Rolls,soy sauce,http://allrecipes.com/recipe/94757/lumpia---filipino-shrimp-and-pork-egg-rolls
Lumpia - Filipino Shrimp and Pork Egg Rolls,salt,http://allrecipes.com/recipe/94757/lumpia---filipino-shrimp-and-pork-egg-rolls
