Recipe,URL
Pork and Shrimp Pancit,http://allrecipes.com/recipe/46402/pork-and-shrimp-pancit
Chicken Adobo I,http://allrecipes.com/recipe/20779/chicken-adobo-i
Traci's Adobo Seasoning,http://allrecipes.com/recipe/214086/tracis-adobo-seasoning
Chicken Adobo,http://allrecipes.com/recipe/212938/chicken-adobo
Cassava Cake,http://allrecipes.com/recipe/212941/cassava-cake
Filipino Avocado Milkshake,http://allrecipes.com/recipe/139425/filipino-avocado-milkshake
Lumpia - Filipino Shrimp and Pork Egg Rolls,http://allrecipes.com/recipe/94757/lumpia---filipino-shrimp-and-pork-egg-rolls
Chinky's Mango Bread,http://allrecipes.com/recipe/6843/chinkys-mango-bread
Caldereta (Filipino Beef and Chorizo Stew),http://allrecipes.com/recipe/232552/caldereta-filipino-beef-and-chorizo-stew
Corned Beef Hash (Abalos style),http://allrecipes.com/recipe/70713/corned-beef-hash-abalos-style
Filipino Beef Steak,http://allrecipes.com/recipe/212911/filipino-beef-steak
Fish Sinigang (Tilapia) - Filipino Sour Broth Dish,http://allrecipes.com/recipe/93551/fish-sinigang-tilapia---filipino-sour-broth-dish
Filipino Pork Adobo,http://allrecipes.com/recipe/115038/filipino-pork-adobo
Fried Rice (Sinangag),http://allrecipes.com/recipe/212952/fried-rice-sinangag
Slow Cooker Adobo Chicken with Bok Choy,http://allrecipes.com/recipe/223588/slow-cooker-adobo-chicken-with-bok-choy
Champorado,http://allrecipes.com/recipe/212939/champorado
Goat Stew,http://allrecipes.com/recipe/228238/goat-stew
Filipino Spaghetti,http://allrecipes.com/recipe/166417/filipino-spaghetti
Philippine Butter Cookies,http://allrecipes.com/recipe/19244/philippine-butter-cookies
Duck Adobo,http://allrecipes.com/recipe/230047/duck-adobo
Chicken Tinola,http://allrecipes.com/recipe/212929/chicken-tinola
Pinakbet,http://allrecipes.com/recipe/212994/pinakbet
Filipino Ribs,http://allrecipes.com/recipe/14756/filipino-ribs
Chicken Teriyaki,http://allrecipes.com/recipe/212930/chicken-teriyaki
Filipino Oxtail Stew,http://allrecipes.com/recipe/187309/filipino-oxtail-stew-
Lolah's Chicken Adobo,http://allrecipes.com/recipe/152243/lolahs-chicken-adobo
Pan De Sal II,http://allrecipes.com/recipe/16394/pan-de-sal-ii
Bringhe,http://allrecipes.com/recipe/212945/bringhe
Guinataan Hito (Catfish),http://allrecipes.com/recipe/212948/guinataan-hito-catfish
Party Pancit,http://allrecipes.com/recipe/26280/party-pancit
Chinky's Puto Bread,http://allrecipes.com/recipe/6844/chinkys-puto-bread
Chicken Adobo II,http://allrecipes.com/recipe/22816/chicken-adobo-ii
Lumpia Rolls,http://allrecipes.com/recipe/51716/lumpia-rolls
Puto,http://allrecipes.com/recipe/142132/puto
Ginataang Manok (Chicken Cooked in Coconut Milk),http://allrecipes.com/recipe/204821/ginataang-manok-chicken-cooked-in-coconut-milk
Baked Salmon,http://allrecipes.com/recipe/212920/baked-salmon
Squash and Coconut Milk Stew,http://allrecipes.com/recipe/130320/squash-and-coconut-milk-stew
Driving American Business,
Empanada Dough,http://allrecipes.com/recipe/212956/empanada-dough
Chicken with Chicharo (Snow Peas),http://allrecipes.com/recipe/212928/chicken-with-chicharo-snow-peas
Clams in Oyster Sauce,http://allrecipes.com/recipe/212971/clams-in-oyster-sauce
Slow Cooker Chicken Afritad,http://allrecipes.com/recipe/244609/slow-cooker-chicken-afritad
Rumaki,http://allrecipes.com/recipe/213013/rumaki
