Recipe Name,Ingredient,URL
Easy Masoor Daal,red lentils,http://allrecipes.com/recipe/22765/easy-masoor-daal
Easy Masoor Daal,ginger 1 inch piece,http://allrecipes.com/recipe/22765/easy-masoor-daal
Easy Masoor Daal,ground turmeric,http://allrecipes.com/recipe/22765/easy-masoor-daal
Easy Masoor Daal,salt,http://allrecipes.com/recipe/22765/easy-masoor-daal
Easy Masoor Daal,"cayenne pepper, or to taste",http://allrecipes.com/recipe/22765/easy-masoor-daal
Easy Masoor Daal,vegetable oil,http://allrecipes.com/recipe/22765/easy-masoor-daal
Easy Masoor Daal,dried minced onion,http://allrecipes.com/recipe/22765/easy-masoor-daal
Easy Masoor Daal,cumin seeds,http://allrecipes.com/recipe/22765/easy-masoor-daal
Chicken Biryani,vegetable oil,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,small potatoes  and,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,large onions,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,garlic,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,minced fresh ginger root,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,chili powder,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,ground black pepper,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,ground turmeric,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,ground cumin,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,salt,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,medium tomatoes  and,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,plain yogurt,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,chopped fresh mint leaves,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,ground cardamom,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,(2 inch) piece cinnamon stick,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,boneless skinless chicken pieces  into chunks,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,vegetable oil,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,large onion,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,pinch  saffron,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,pods cardamom,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,(1 inch) piece cinnamon stick,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,ground ginger,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,basmati rice,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,chicken stock,http://allrecipes.com/recipe/16102/chicken-biryani
Chicken Biryani,salt,http://allrecipes.com/recipe/16102/chicken-biryani
Navratan Korma,vegetable oil,http://allrecipes.com/recipe/86602/navratan-korma
Navratan Korma,"mixed nuts (cashews, pistachios, almonds)",http://allrecipes.com/recipe/86602/navratan-korma
Navratan Korma,medium onion,http://allrecipes.com/recipe/86602/navratan-korma
Navratan Korma,garlic paste,http://allrecipes.com/recipe/86602/navratan-korma
Navratan Korma,ginger paste,http://allrecipes.com/recipe/86602/navratan-korma
Navratan Korma,tomato sauce,http://allrecipes.com/recipe/86602/navratan-korma
Navratan Korma,cayenne pepper,http://allrecipes.com/recipe/86602/navratan-korma
Navratan Korma,ground turmeric,http://allrecipes.com/recipe/86602/navratan-korma
Navratan Korma,ground coriander,http://allrecipes.com/recipe/86602/navratan-korma
Navratan Korma,garam masala,http://allrecipes.com/recipe/86602/navratan-korma
Navratan Korma,water,http://allrecipes.com/recipe/86602/navratan-korma
Navratan Korma,raisins,http://allrecipes.com/recipe/86602/navratan-korma
Navratan Korma,chopped carrots,http://allrecipes.com/recipe/86602/navratan-korma
