Recipe Name,Ingredient,URL
Tonkatsu - Asian-Style Pork Chop,eggs,http://allrecipes.com/recipe/58793/tonkatsu---asian-style-pork-chop
Tonkatsu - Asian-Style Pork Chop,milk,http://allrecipes.com/recipe/58793/tonkatsu---asian-style-pork-chop
Tonkatsu - Asian-Style Pork Chop,minced garlic,http://allrecipes.com/recipe/58793/tonkatsu---asian-style-pork-chop
Tonkatsu - Asian-Style Pork Chop,salt to taste,http://allrecipes.com/recipe/58793/tonkatsu---asian-style-pork-chop
Tonkatsu - Asian-Style Pork Chop,pepper,http://allrecipes.com/recipe/58793/tonkatsu---asian-style-pork-chop
Tonkatsu - Asian-Style Pork Chop,vegetable oil for frying,http://allrecipes.com/recipe/58793/tonkatsu---asian-style-pork-chop
Tonkatsu - Asian-Style Pork Chop,thin cut boneless pork chops,http://allrecipes.com/recipe/58793/tonkatsu---asian-style-pork-chop
Tonkatsu - Asian-Style Pork Chop,panko crumbs,http://allrecipes.com/recipe/58793/tonkatsu---asian-style-pork-chop
Okonomiyaki,chopped  chicken,http://allrecipes.com/recipe/99795/okonomiyaki
Okonomiyaki,napa cabbage,http://allrecipes.com/recipe/99795/okonomiyaki
Okonomiyaki,shredded carrots,http://allrecipes.com/recipe/99795/okonomiyaki
Okonomiyaki,green onions,http://allrecipes.com/recipe/99795/okonomiyaki
Okonomiyaki,fresh green beans  into 1/2 inch pieces,http://allrecipes.com/recipe/99795/okonomiyaki
Okonomiyaki,"small green bell pepper, cut into thin strips",http://allrecipes.com/recipe/99795/okonomiyaki
Okonomiyaki,"small zucchini, cut into thin strips",http://allrecipes.com/recipe/99795/okonomiyaki
Okonomiyaki,eggs  beaten,http://allrecipes.com/recipe/99795/okonomiyaki
Okonomiyaki,all-purpose flour,http://allrecipes.com/recipe/99795/okonomiyaki
Okonomiyaki,chicken stock,http://allrecipes.com/recipe/99795/okonomiyaki
Okonomiyaki,soy sauce,http://allrecipes.com/recipe/99795/okonomiyaki
Okonomiyaki,vegetable oil,http://allrecipes.com/recipe/99795/okonomiyaki
Okonomiyaki,toasted sesame oil,http://allrecipes.com/recipe/99795/okonomiyaki
Miso Braised Pork,canola oil,http://allrecipes.com/recipe/116066/miso-braised-pork
Miso Braised Pork,,http://allrecipes.com/recipe/116066/miso-braised-pork
Miso Braised Pork,minced garlic,http://allrecipes.com/recipe/116066/miso-braised-pork
Miso Braised Pork,minced ginger,http://allrecipes.com/recipe/116066/miso-braised-pork
Miso Braised Pork,"water, more if needed",http://allrecipes.com/recipe/116066/miso-braised-pork
Miso Braised Pork,soy sauce,http://allrecipes.com/recipe/116066/miso-braised-pork
Miso Braised Pork,brown sugar,http://allrecipes.com/recipe/116066/miso-braised-pork
Miso Braised Pork,white (shiro) miso,http://allrecipes.com/recipe/116066/miso-braised-pork
Japanese Beef Stir-Fry,"boneless beef sirloin or beef top round steaks (3/4"" thick)",http://allrecipes.com/recipe/212636/japanese-beef-stir-fry
Japanese Beef Stir-Fry,cornstarch,http://allrecipes.com/recipe/212636/japanese-beef-stir-fry
Japanese Beef Stir-Fry,Campbell's®  Beef Broth,http://allrecipes.com/recipe/212636/japanese-beef-stir-fry
Japanese Beef Stir-Fry,soy sauce,http://allrecipes.com/recipe/212636/japanese-beef-stir-fry
Japanese Beef Stir-Fry,sugar,http://allrecipes.com/recipe/212636/japanese-beef-stir-fry
Japanese Beef Stir-Fry,vegetable oil,http://allrecipes.com/recipe/212636/japanese-beef-stir-fry
Japanese Beef Stir-Fry,sliced shiitake mushrooms,http://allrecipes.com/recipe/212636/japanese-beef-stir-fry
Japanese Beef Stir-Fry,head Chinese cabbage (bok choy),http://allrecipes.com/recipe/212636/japanese-beef-stir-fry
Japanese Beef Stir-Fry,"medium red peppers  into 2""-long strips",http://allrecipes.com/recipe/212636/japanese-beef-stir-fry
Japanese Beef Stir-Fry,stalks celery,http://allrecipes.com/recipe/212636/japanese-beef-stir-fry
Japanese Beef Stir-Fry,"medium green onions  into 2"" pieces",http://allrecipes.com/recipe/212636/japanese-beef-stir-fry
Japanese Beef Stir-Fry,Hot  regular long-grain white rice,http://allrecipes.com/recipe/212636/japanese-beef-stir-fry
Chi Chi Dango Mochi,mochiko (glutinous rice flour),http://allrecipes.com/recipe/31400/chi-chi-dango-mochi
Chi Chi Dango Mochi,white sugar,http://allrecipes.com/recipe/31400/chi-chi-dango-mochi
Chi Chi Dango Mochi,baking powder,http://allrecipes.com/recipe/31400/chi-chi-dango-mochi
Chi Chi Dango Mochi,water,http://allrecipes.com/recipe/31400/chi-chi-dango-mochi
Chi Chi Dango Mochi,vanilla extract,http://allrecipes.com/recipe/31400/chi-chi-dango-mochi
Chi Chi Dango Mochi,coconut milk,http://allrecipes.com/recipe/31400/chi-chi-dango-mochi
Chi Chi Dango Mochi,red food color,http://allrecipes.com/recipe/31400/chi-chi-dango-mochi
Chi Chi Dango Mochi,potato starch,http://allrecipes.com/recipe/31400/chi-chi-dango-mochi
