Recipe Name,Ingredient,URL
Anzac Biscuits II,rolled oats,http://allrecipes.com/recipe/10733/anzac-biscuits-ii
Anzac Biscuits II,white sugar,http://allrecipes.com/recipe/10733/anzac-biscuits-ii
Anzac Biscuits II,butter,http://allrecipes.com/recipe/10733/anzac-biscuits-ii
Anzac Biscuits II,golden syrup,http://allrecipes.com/recipe/10733/anzac-biscuits-ii
Anzac Biscuits II,baking soda,http://allrecipes.com/recipe/10733/anzac-biscuits-ii
Anzac Biscuits II,boiling water,http://allrecipes.com/recipe/10733/anzac-biscuits-ii
Anzac Biscuits II,all-purpose flour,http://allrecipes.com/recipe/10733/anzac-biscuits-ii
Super Easy Scones,all-purpose flour,http://allrecipes.com/recipe/175600/super-easy-scones
Super Easy Scones,light cream,http://allrecipes.com/recipe/175600/super-easy-scones
Super Easy Scones,lemonade,http://allrecipes.com/recipe/175600/super-easy-scones
Super Easy Scones,flour for dusting,http://allrecipes.com/recipe/175600/super-easy-scones
Australian Federation Biscuits,butter,http://allrecipes.com/recipe/25814/australian-federation-biscuits
Australian Federation Biscuits,white sugar,http://allrecipes.com/recipe/25814/australian-federation-biscuits
Australian Federation Biscuits,eggs,http://allrecipes.com/recipe/25814/australian-federation-biscuits
Australian Federation Biscuits,baking soda,http://allrecipes.com/recipe/25814/australian-federation-biscuits
Australian Federation Biscuits,hot water,http://allrecipes.com/recipe/25814/australian-federation-biscuits
Australian Federation Biscuits,chopped pitted dates,http://allrecipes.com/recipe/25814/australian-federation-biscuits
Australian Federation Biscuits,golden raisins,http://allrecipes.com/recipe/25814/australian-federation-biscuits
Australian Federation Biscuits,all-purpose flour,http://allrecipes.com/recipe/25814/australian-federation-biscuits
Australian Federation Biscuits,ground cinnamon,http://allrecipes.com/recipe/25814/australian-federation-biscuits
Australian Federation Biscuits,chopped walnuts,http://allrecipes.com/recipe/25814/australian-federation-biscuits
Sweet Candied Orange and Lemon Peel,lemon peels  into 1/4 inch strips,http://allrecipes.com/recipe/19000/sweet-candied-orange-and-lemon-peel
Sweet Candied Orange and Lemon Peel,orange peels  into 1/4 inch strips,http://allrecipes.com/recipe/19000/sweet-candied-orange-and-lemon-peel
Sweet Candied Orange and Lemon Peel,white sugar,http://allrecipes.com/recipe/19000/sweet-candied-orange-and-lemon-peel
Sweet Candied Orange and Lemon Peel,water,http://allrecipes.com/recipe/19000/sweet-candied-orange-and-lemon-peel
Sweet Candied Orange and Lemon Peel,white sugar for decoration,http://allrecipes.com/recipe/19000/sweet-candied-orange-and-lemon-peel
Roasted Rack of Lamb,fresh bread crumbs,http://allrecipes.com/recipe/45641/roasted-rack-of-lamb
Roasted Rack of Lamb,minced garlic,http://allrecipes.com/recipe/45641/roasted-rack-of-lamb
Roasted Rack of Lamb,chopped fresh rosemary,http://allrecipes.com/recipe/45641/roasted-rack-of-lamb
Roasted Rack of Lamb,salt,http://allrecipes.com/recipe/45641/roasted-rack-of-lamb
Roasted Rack of Lamb,black pepper,http://allrecipes.com/recipe/45641/roasted-rack-of-lamb
Roasted Rack of Lamb,olive oil,http://allrecipes.com/recipe/45641/roasted-rack-of-lamb
Roasted Rack of Lamb,"(7 bone) rack of lamb, trimmed and frenched",http://allrecipes.com/recipe/45641/roasted-rack-of-lamb
Roasted Rack of Lamb,salt,http://allrecipes.com/recipe/45641/roasted-rack-of-lamb
Roasted Rack of Lamb,black pepper,http://allrecipes.com/recipe/45641/roasted-rack-of-lamb
Roasted Rack of Lamb,olive oil,http://allrecipes.com/recipe/45641/roasted-rack-of-lamb
Roasted Rack of Lamb,Dijon mustard,http://allrecipes.com/recipe/45641/roasted-rack-of-lamb
Lamingtons,Cake:,http://allrecipes.com/recipe/17201/lamingtons
Lamingtons,all-purpose flour,http://allrecipes.com/recipe/17201/lamingtons
Lamingtons,baking powder,http://allrecipes.com/recipe/17201/lamingtons
Lamingtons,salt,http://allrecipes.com/recipe/17201/lamingtons
Lamingtons,"butter, room temperature",http://allrecipes.com/recipe/17201/lamingtons
Lamingtons,white sugar,http://allrecipes.com/recipe/17201/lamingtons
Lamingtons,vanilla extract,http://allrecipes.com/recipe/17201/lamingtons
Lamingtons,"eggs, room temperature",http://allrecipes.com/recipe/17201/lamingtons
Lamingtons,milk,http://allrecipes.com/recipe/17201/lamingtons
Lamingtons,Icing:,http://allrecipes.com/recipe/17201/lamingtons
Lamingtons,confectioners' sugar,http://allrecipes.com/recipe/17201/lamingtons
Lamingtons,cocoa powder,http://allrecipes.com/recipe/17201/lamingtons
Lamingtons,butter,http://allrecipes.com/recipe/17201/lamingtons
Lamingtons,warm milk,http://allrecipes.com/recipe/17201/lamingtons
Lamingtons,unsweetened  coconut,http://allrecipes.com/recipe/17201/lamingtons
Nada's Baba Cake,eggs,http://allrecipes.com/recipe/25611/nadas-baba-cake
Nada's Baba Cake,vegetable oil,http://allrecipes.com/recipe/25611/nadas-baba-cake
Nada's Baba Cake,superfine sugar,http://allrecipes.com/recipe/25611/nadas-baba-cake
Nada's Baba Cake,vanilla sugar,http://allrecipes.com/recipe/25611/nadas-baba-cake
Nada's Baba Cake,self-rising flour,http://allrecipes.com/recipe/25611/nadas-baba-cake
Nada's Baba Cake,unsweetened cocoa powder,http://allrecipes.com/recipe/25611/nadas-baba-cake
Anzac Biscuits I,quick cooking oats,http://allrecipes.com/recipe/9816/anzac-biscuits-i
Anzac Biscuits I,flaked coconut,http://allrecipes.com/recipe/9816/anzac-biscuits-i
Anzac Biscuits I,all-purpose flour,http://allrecipes.com/recipe/9816/anzac-biscuits-i
Anzac Biscuits I,baking soda,http://allrecipes.com/recipe/9816/anzac-biscuits-i
Anzac Biscuits I,white sugar,http://allrecipes.com/recipe/9816/anzac-biscuits-i
Anzac Biscuits I,butter,http://allrecipes.com/recipe/9816/anzac-biscuits-i
Anzac Biscuits I,golden syrup,http://allrecipes.com/recipe/9816/anzac-biscuits-i
Anzac Biscuits I,boiling water,http://allrecipes.com/recipe/9816/anzac-biscuits-i
Honeycomb with Golden Syrup,white sugar,http://allrecipes.com/recipe/246685/honeycomb-with-golden-syrup
Honeycomb with Golden Syrup,golden syrup,http://allrecipes.com/recipe/246685/honeycomb-with-golden-syrup
Honeycomb with Golden Syrup,baking soda,http://allrecipes.com/recipe/246685/honeycomb-with-golden-syrup
ANZAC Biscuits with Almonds,quick cooking oats,http://allrecipes.com/recipe/19286/anzac-biscuits-with-almonds
ANZAC Biscuits with Almonds,all-purpose flour,http://allrecipes.com/recipe/19286/anzac-biscuits-with-almonds
