Recipe Name,Ingredient,URL
Deerburger Meatloaf,ground venison,http://allrecipes.com/recipe/112745/deerburger-meatloaf
Deerburger Meatloaf,bulk pork sausage,http://allrecipes.com/recipe/112745/deerburger-meatloaf
Deerburger Meatloaf,onions,http://allrecipes.com/recipe/112745/deerburger-meatloaf
Deerburger Meatloaf,crushed cracker or bread crumbs,http://allrecipes.com/recipe/112745/deerburger-meatloaf
Deerburger Meatloaf,evaporated milk,http://allrecipes.com/recipe/112745/deerburger-meatloaf
Deerburger Meatloaf,eggs,http://allrecipes.com/recipe/112745/deerburger-meatloaf
Deerburger Meatloaf,barbeque sauce,http://allrecipes.com/recipe/112745/deerburger-meatloaf
Deerburger Meatloaf,salt,http://allrecipes.com/recipe/112745/deerburger-meatloaf
Deerburger Meatloaf,pepper,http://allrecipes.com/recipe/112745/deerburger-meatloaf
Deerburger Meatloaf,tomato sauce,http://allrecipes.com/recipe/112745/deerburger-meatloaf
Grandma's Blackberry Pie,egg,http://allrecipes.com/recipe/214558/grandmas-blackberry-pie
Grandma's Blackberry Pie,distilled white vinegar,http://allrecipes.com/recipe/214558/grandmas-blackberry-pie
Grandma's Blackberry Pie,all-purpose flour,http://allrecipes.com/recipe/214558/grandmas-blackberry-pie
Grandma's Blackberry Pie,white sugar,http://allrecipes.com/recipe/214558/grandmas-blackberry-pie
Grandma's Blackberry Pie,salt,http://allrecipes.com/recipe/214558/grandmas-blackberry-pie
Grandma's Blackberry Pie,unsalted butter  into small cubes,http://allrecipes.com/recipe/214558/grandmas-blackberry-pie
Grandma's Blackberry Pie,"ice water, plus more as needed",http://allrecipes.com/recipe/214558/grandmas-blackberry-pie
Grandma's Blackberry Pie,fresh blackberries,http://allrecipes.com/recipe/214558/grandmas-blackberry-pie
Grandma's Blackberry Pie,,http://allrecipes.com/recipe/214558/grandmas-blackberry-pie
Grandma's Blackberry Pie,white sugar,http://allrecipes.com/recipe/214558/grandmas-blackberry-pie
Grandma's Blackberry Pie,white sugar,http://allrecipes.com/recipe/214558/grandmas-blackberry-pie
Sri Lanka Beef Curry,beef stew meat  into 1 inch cubes,http://allrecipes.com/recipe/213688/sri-lanka-beef-curry
Sri Lanka Beef Curry,garlic,http://allrecipes.com/recipe/213688/sri-lanka-beef-curry
Sri Lanka Beef Curry,"(1 inch) piece fresh ginger root - peeled, sliced and crushed",http://allrecipes.com/recipe/213688/sri-lanka-beef-curry
Sri Lanka Beef Curry,white vinegar,http://allrecipes.com/recipe/213688/sri-lanka-beef-curry
Sri Lanka Beef Curry,salt,http://allrecipes.com/recipe/213688/sri-lanka-beef-curry
Sri Lanka Beef Curry,ground black pepper,http://allrecipes.com/recipe/213688/sri-lanka-beef-curry
Sri Lanka Beef Curry,curry powder,http://allrecipes.com/recipe/213688/sri-lanka-beef-curry
Sri Lanka Beef Curry,cayenne pepper,http://allrecipes.com/recipe/213688/sri-lanka-beef-curry
Sri Lanka Beef Curry,vegetable oil,http://allrecipes.com/recipe/213688/sri-lanka-beef-curry
Sri Lanka Beef Curry,fresh curry leaves,http://allrecipes.com/recipe/213688/sri-lanka-beef-curry
Sri Lanka Beef Curry,strips pandan leaf,http://allrecipes.com/recipe/213688/sri-lanka-beef-curry
Sri Lanka Beef Curry,onion,http://allrecipes.com/recipe/213688/sri-lanka-beef-curry
Sri Lanka Beef Curry,(1 inch) piece cinnamon stick,http://allrecipes.com/recipe/213688/sri-lanka-beef-curry
Sri Lanka Beef Curry,green cardamom pods,http://allrecipes.com/recipe/213688/sri-lanka-beef-curry
Sri Lanka Beef Curry,,http://allrecipes.com/recipe/213688/sri-lanka-beef-curry
