Recipe,URL
Austrian Peach Cookies II,http://allrecipes.com/recipe/20137/austrian-peach-cookies-ii
Austrian Pancake,http://allrecipes.com/recipe/57722/austrian-pancake
Viennese Crescent Holiday Cookies,http://allrecipes.com/recipe/16006/viennese-crescent-holiday-cookies
Almond Sticks or Rings,http://allrecipes.com/recipe/132047/almond-sticks-or-rings
German Apple Strudel,http://allrecipes.com/recipe/22675/german-apple-strudel
Sugar Free Sour Cream Linzer Cookies,http://allrecipes.com/recipe/11512/sugar-free-sour-cream-linzer-cookies
Knodel,http://allrecipes.com/recipe/13815/knodel
Austrian Tea Cakes,http://allrecipes.com/recipe/109917/austrian-tea-cakes
Linzer Cookies,http://allrecipes.com/recipe/26163/linzer-cookies
Wiener Schnitzel,http://allrecipes.com/recipe/47599/wiener-schnitzel
Linzer Tarts,http://allrecipes.com/recipe/10573/linzer-tarts
Kaiserschmarrn,http://allrecipes.com/recipe/141136/kaiserschmarrn
Austrian Jam Cookies,http://allrecipes.com/recipe/11550/austrian-jam-cookies
Easy Sacher Torte,http://allrecipes.com/recipe/18176/easy-sacher-torte
Italian Capezzoli di Venere (Chocolate Truffles of Venus),http://allrecipes.com/recipe/213186/italian-capezzoli-di-venere-chocolate-truffles-of-venus
Yummy Winter Recipes,
Vienna Schnitzel,http://allrecipes.com/recipe/21427/vienna-schnitzel
Recipes for St. Patrick's Day,
Allrecipes Magazine,https://secure.allrecipesmagazine.com/order/?containerName=i71vtar01&psrc=I701TRDW398DFA&internalSource=marketcard&referringId=718&referringContentType=recipe%20hub&clickId=cardslot%2010
Beef in Bay Leaf Gravy,http://allrecipes.com/recipe/30773/beef-in-bay-leaf-gravy
Rum and Eggnog Kugelhopf,http://allrecipes.com/recipe/212786/rum-and-eggnog-kugelhopf
Rich Viennese Potato Soup,http://allrecipes.com/recipe/17473/rich-viennese-potato-soup
Austrian Chocolate Balls,http://allrecipes.com/recipe/22225/austrian-chocolate-balls
Raspberry Linzer Cookies,http://allrecipes.com/recipe/229769/raspberry-linzer-cookies
Vanille Kipferl II,http://allrecipes.com/recipe/10730/vanille-kipferl-ii
Sacher Torte,http://allrecipes.com/recipe/110312/sacher-torte
Potato Plum Dumplings,http://allrecipes.com/recipe/48308/potato-plum-dumplings
Vanille Kipferl I,http://allrecipes.com/recipe/9997/vanille-kipferl-i
Linzer Torte Cookies,http://allrecipes.com/recipe/9583/linzer-torte-cookies
LynzzPaige's Kaiserschmarrn (Emperor's Pancakes),http://allrecipes.com/recipe/183641/lynzzpaiges-kaiserschmarrn-emperors-pancakes
Dobos Torte,http://allrecipes.com/recipe/7650/dobos-torte
Austrian Peach Cookie,http://allrecipes.com/recipe/10046/austrian-peach-cookie
Chocolate Black Tea Cake,http://allrecipes.com/recipe/36171/chocolate-black-tea-cake
