Recipe Name,Ingredient,URL
Witlof with Ham,medium heads Belgian endive,http://allrecipes.com/recipe/57171/witlof-with-ham
Witlof with Ham,prosciutto,http://allrecipes.com/recipe/57171/witlof-with-ham
Witlof with Ham,grated Gruyere cheese,http://allrecipes.com/recipe/57171/witlof-with-ham
Flemish Frites - Belgian Fries with Andalouse Sauce,mayonnaise,http://allrecipes.com/recipe/236509/flemish-frites---belgian-fries-with-andalouse-sauce
Flemish Frites - Belgian Fries with Andalouse Sauce,tomato paste,http://allrecipes.com/recipe/236509/flemish-frites---belgian-fries-with-andalouse-sauce
Flemish Frites - Belgian Fries with Andalouse Sauce,minced red onion,http://allrecipes.com/recipe/236509/flemish-frites---belgian-fries-with-andalouse-sauce
Flemish Frites - Belgian Fries with Andalouse Sauce,minced green bell pepper,http://allrecipes.com/recipe/236509/flemish-frites---belgian-fries-with-andalouse-sauce
Flemish Frites - Belgian Fries with Andalouse Sauce,minced red bell pepper,http://allrecipes.com/recipe/236509/flemish-frites---belgian-fries-with-andalouse-sauce
Flemish Frites - Belgian Fries with Andalouse Sauce,fresh lemon juice,http://allrecipes.com/recipe/236509/flemish-frites---belgian-fries-with-andalouse-sauce
Flemish Frites - Belgian Fries with Andalouse Sauce,salt,http://allrecipes.com/recipe/236509/flemish-frites---belgian-fries-with-andalouse-sauce
Flemish Frites - Belgian Fries with Andalouse Sauce,russet potatoes  and  into 1/4-inch strips,http://allrecipes.com/recipe/236509/flemish-frites---belgian-fries-with-andalouse-sauce
Flemish Frites - Belgian Fries with Andalouse Sauce,"olive oil for frying, or as needed",http://allrecipes.com/recipe/236509/flemish-frites---belgian-fries-with-andalouse-sauce
Flemish Frites - Belgian Fries with Andalouse Sauce,salt to taste,http://allrecipes.com/recipe/236509/flemish-frites---belgian-fries-with-andalouse-sauce
Speculaas,all-purpose flour,http://allrecipes.com/recipe/9836/speculaas
Speculaas,ground cinnamon,http://allrecipes.com/recipe/9836/speculaas
Speculaas,,http://allrecipes.com/recipe/9836/speculaas
Speculaas,ground ginger,http://allrecipes.com/recipe/9836/speculaas
Speculaas,baking powder,http://allrecipes.com/recipe/9836/speculaas
Speculaas,salt,http://allrecipes.com/recipe/9836/speculaas
Speculaas,butter,http://allrecipes.com/recipe/9836/speculaas
Speculaas,packed brown sugar,http://allrecipes.com/recipe/9836/speculaas
Speculaas,egg,http://allrecipes.com/recipe/9836/speculaas
Speculaas,sliced almonds,http://allrecipes.com/recipe/9836/speculaas
Belgian Molasses Bread,butter,http://allrecipes.com/recipe/83613/belgian-molasses-bread
Belgian Molasses Bread,molasses,http://allrecipes.com/recipe/83613/belgian-molasses-bread
Belgian Molasses Bread,warm milk,http://allrecipes.com/recipe/83613/belgian-molasses-bread
Belgian Molasses Bread,warm water,http://allrecipes.com/recipe/83613/belgian-molasses-bread
Belgian Molasses Bread,active dry yeast,http://allrecipes.com/recipe/83613/belgian-molasses-bread
Belgian Molasses Bread,all-purpose flour,http://allrecipes.com/recipe/83613/belgian-molasses-bread
Belgian Molasses Bread,whole wheat flour,http://allrecipes.com/recipe/83613/belgian-molasses-bread
Belgian Molasses Bread,salt,http://allrecipes.com/recipe/83613/belgian-molasses-bread
"Mussels (Not from Brussels, but Belgian Anyway)",fresh mussels,http://allrecipes.com/recipe/29471/mussels-not-from-brussels-but-belgian-anyway
"Mussels (Not from Brussels, but Belgian Anyway)","carrot, peeled and sliced",http://allrecipes.com/recipe/29471/mussels-not-from-brussels-but-belgian-anyway
"Mussels (Not from Brussels, but Belgian Anyway)","onion, peeled and sliced",http://allrecipes.com/recipe/29471/mussels-not-from-brussels-but-belgian-anyway
"Mussels (Not from Brussels, but Belgian Anyway)",stalks celery,http://allrecipes.com/recipe/29471/mussels-not-from-brussels-but-belgian-anyway
"Mussels (Not from Brussels, but Belgian Anyway)",bay leaf,http://allrecipes.com/recipe/29471/mussels-not-from-brussels-but-belgian-anyway
"Mussels (Not from Brussels, but Belgian Anyway)",black peppercorns,http://allrecipes.com/recipe/29471/mussels-not-from-brussels-but-belgian-anyway
"Mussels (Not from Brussels, but Belgian Anyway)",lemon,http://allrecipes.com/recipe/29471/mussels-not-from-brussels-but-belgian-anyway
"Mussels (Not from Brussels, but Belgian Anyway)",(750 milliliter) bottle white wine,http://allrecipes.com/recipe/29471/mussels-not-from-brussels-but-belgian-anyway
Belgian Iron Cookies,all-purpose flour,http://allrecipes.com/recipe/10613/belgian-iron-cookies
Belgian Iron Cookies,brown sugar,http://allrecipes.com/recipe/10613/belgian-iron-cookies
