Recipe,URL
Witlof with Ham,http://allrecipes.com/recipe/57171/witlof-with-ham
Flemish Frites - Belgian Fries with Andalouse Sauce,http://allrecipes.com/recipe/236509/flemish-frites---belgian-fries-with-andalouse-sauce
Speculaas,http://allrecipes.com/recipe/9836/speculaas
Belgian Molasses Bread,http://allrecipes.com/recipe/83613/belgian-molasses-bread
"Mussels (Not from Brussels, but Belgian Anyway)",http://allrecipes.com/recipe/29471/mussels-not-from-brussels-but-belgian-anyway
Belgian Iron Cookies,http://allrecipes.com/recipe/10613/belgian-iron-cookies
Waterzooi (Vaterzoy),http://allrecipes.com/recipe/23375/waterzooi-vaterzoy
Belgian Endive au Gratin,http://allrecipes.com/recipe/149844/belgian-endive-au-gratin
Belgian Christmas Cookies,http://allrecipes.com/recipe/10044/belgian-christmas-cookies
Booyah Chicken,http://allrecipes.com/recipe/20936/booyah-chicken
Allrecipes Magazine,https://secure.allrecipesmagazine.com/order/?containerName=i71vtar01&psrc=I701TRDW398DFA&internalSource=marketcard&referringId=719&referringContentType=recipe%20hub&clickId=cardslot%202
5 Easy Ways to Help a Sick Kid Feel Better,
Liege Belgian Waffles with Pearl Sugar,http://allrecipes.com/recipe/213251/liege-belgian-waffles-with-pearl-sugar
Belgium Beef Stew,http://allrecipes.com/recipe/30597/belgium-beef-stew
Liege Style Salad,http://allrecipes.com/recipe/104396/liege-style-salad
Belgian Beef Stew,http://allrecipes.com/recipe/14596/belgian-beef-stew
Belgian Waffles,http://allrecipes.com/recipe/17681/belgian-waffles
