Recipe Name,Ingredient,URL
Dutch Boterkoek,all-purpose flour,http://allrecipes.com/recipe/148048/dutch-boterkoek
Dutch Boterkoek,baking powder (optional),http://allrecipes.com/recipe/148048/dutch-boterkoek
Dutch Boterkoek,butter,http://allrecipes.com/recipe/148048/dutch-boterkoek
Dutch Boterkoek,white sugar,http://allrecipes.com/recipe/148048/dutch-boterkoek
Dutch Boterkoek,lemon zest,http://allrecipes.com/recipe/148048/dutch-boterkoek
Dutch Boterkoek,vanilla extract,http://allrecipes.com/recipe/148048/dutch-boterkoek
Dutch Boterkoek,milk (optional),http://allrecipes.com/recipe/148048/dutch-boterkoek
Botercake (Butter Cake),butter,http://allrecipes.com/recipe/7300/botercake-butter-cake
Botercake (Butter Cake),white sugar,http://allrecipes.com/recipe/7300/botercake-butter-cake
Botercake (Butter Cake),vanilla sugar,http://allrecipes.com/recipe/7300/botercake-butter-cake
Botercake (Butter Cake),grated lemon zest,http://allrecipes.com/recipe/7300/botercake-butter-cake
Botercake (Butter Cake),white sugar,http://allrecipes.com/recipe/7300/botercake-butter-cake
Botercake (Butter Cake),salt,http://allrecipes.com/recipe/7300/botercake-butter-cake
Botercake (Butter Cake),eggs,http://allrecipes.com/recipe/7300/botercake-butter-cake
Botercake (Butter Cake),all-purpose flour,http://allrecipes.com/recipe/7300/botercake-butter-cake
Botercake (Butter Cake),baking powder,http://allrecipes.com/recipe/7300/botercake-butter-cake
Dutch Almond Boterkoek,butter,http://allrecipes.com/recipe/10696/dutch-almond-boterkoek
Dutch Almond Boterkoek,packed brown sugar,http://allrecipes.com/recipe/10696/dutch-almond-boterkoek
Dutch Almond Boterkoek,all-purpose flour,http://allrecipes.com/recipe/10696/dutch-almond-boterkoek
Dutch Almond Boterkoek,almond extract,http://allrecipes.com/recipe/10696/dutch-almond-boterkoek
Dutch Almond Boterkoek,egg,http://allrecipes.com/recipe/10696/dutch-almond-boterkoek
Dutch Almond Boterkoek,blanched  almonds,http://allrecipes.com/recipe/10696/dutch-almond-boterkoek
Dutch Musterdsoep or Zaanse Mosterdsoep,bacon,http://allrecipes.com/recipe/176233/dutch-musterdsoep-or-zaanse-mosterdsoep
Dutch Musterdsoep or Zaanse Mosterdsoep,butter,http://allrecipes.com/recipe/176233/dutch-musterdsoep-or-zaanse-mosterdsoep
Dutch Musterdsoep or Zaanse Mosterdsoep,all-purpose flour,http://allrecipes.com/recipe/176233/dutch-musterdsoep-or-zaanse-mosterdsoep
Dutch Musterdsoep or Zaanse Mosterdsoep,chicken stock,http://allrecipes.com/recipe/176233/dutch-musterdsoep-or-zaanse-mosterdsoep
Dutch Musterdsoep or Zaanse Mosterdsoep,egg yolks,http://allrecipes.com/recipe/176233/dutch-musterdsoep-or-zaanse-mosterdsoep
Dutch Musterdsoep or Zaanse Mosterdsoep,heavy cream,http://allrecipes.com/recipe/176233/dutch-musterdsoep-or-zaanse-mosterdsoep
Dutch Musterdsoep or Zaanse Mosterdsoep,"coarse grain mustard (such as Dutch Zaanse mustard), or to taste",http://allrecipes.com/recipe/176233/dutch-musterdsoep-or-zaanse-mosterdsoep
Dutch Musterdsoep or Zaanse Mosterdsoep,Granny Smith apple - peeled cored and,http://allrecipes.com/recipe/176233/dutch-musterdsoep-or-zaanse-mosterdsoep
Lahmacun Turkish Pizza,For the Lamb Sauce:,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,chopped garlic,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,yellow onion,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,chopped fresh basil,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,chopped fresh parsley,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,chopped fresh mint,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,paprika,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,ground cumin,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,ground coriander seed,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,green bell pepper,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,red bell pepper,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,lemon,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,olive oil,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,roma (plum) tomatoes,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,lean ground lamb,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,concentrated tomato paste,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,cayenne pepper to taste,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,salt to taste,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,For the Dough:,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,active dry yeast,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,white sugar,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,warm water (110 degrees F/45 degrees C),http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,all-purpose flour,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,salt,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,vegetable oil,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,water,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,For the Garlic Sauce:,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,plain yogurt,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,chopped fresh parsley,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,crushed garlic,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,salt and ground black pepper to taste,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,For the Garnish:,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,shredded green cabbage,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Lahmacun Turkish Pizza,shredded red cabbage,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Holland Butter Cookies,butter,http://allrecipes.com/recipe/19187/holland-butter-cookies
Holland Butter Cookies,all-purpose flour,http://allrecipes.com/recipe/19187/holland-butter-cookies
Holland Butter Cookies,white sugar,http://allrecipes.com/recipe/19187/holland-butter-cookies
Holland Butter Cookies,baking soda,http://allrecipes.com/recipe/19187/holland-butter-cookies
Dutch Apple Pie with Oatmeal Streusel,(9 inch) pie shell,http://allrecipes.com/recipe/15683/dutch-apple-pie-with-oatmeal-streusel
Dutch Apple Pie with Oatmeal Streusel,"apples - peeled, cored and sliced",http://allrecipes.com/recipe/15683/dutch-apple-pie-with-oatmeal-streusel
Dutch Apple Pie with Oatmeal Streusel,all-purpose flour,http://allrecipes.com/recipe/15683/dutch-apple-pie-with-oatmeal-streusel
Dutch Apple Pie with Oatmeal Streusel,white sugar,http://allrecipes.com/recipe/15683/dutch-apple-pie-with-oatmeal-streusel
Dutch Apple Pie with Oatmeal Streusel,ground cinnamon,http://allrecipes.com/recipe/15683/dutch-apple-pie-with-oatmeal-streusel
Dutch Apple Pie with Oatmeal Streusel,ground nutmeg,http://allrecipes.com/recipe/15683/dutch-apple-pie-with-oatmeal-streusel
Dutch Apple Pie with Oatmeal Streusel,ground allspice,http://allrecipes.com/recipe/15683/dutch-apple-pie-with-oatmeal-streusel
Dutch Apple Pie with Oatmeal Streusel,butter,http://allrecipes.com/recipe/15683/dutch-apple-pie-with-oatmeal-streusel
Dutch Apple Pie with Oatmeal Streusel,all-purpose flour,http://allrecipes.com/recipe/15683/dutch-apple-pie-with-oatmeal-streusel
Dutch Apple Pie with Oatmeal Streusel,ground cinnamon,http://allrecipes.com/recipe/15683/dutch-apple-pie-with-oatmeal-streusel
Dutch Apple Pie with Oatmeal Streusel,packed brown sugar,http://allrecipes.com/recipe/15683/dutch-apple-pie-with-oatmeal-streusel
Dutch Apple Pie with Oatmeal Streusel,rolled oats,http://allrecipes.com/recipe/15683/dutch-apple-pie-with-oatmeal-streusel
Dutch Apple Pie with Oatmeal Streusel,lemon zest,http://allrecipes.com/recipe/15683/dutch-apple-pie-with-oatmeal-streusel
Dutch Apple Pie with Oatmeal Streusel,butter,http://allrecipes.com/recipe/15683/dutch-apple-pie-with-oatmeal-streusel
Dutch Potato Salad (Huzaren Salade),mayonnaise,http://allrecipes.com/recipe/220626/dutch-potato-salad-huzaren-salade
Dutch Potato Salad (Huzaren Salade),ketchup,http://allrecipes.com/recipe/220626/dutch-potato-salad-huzaren-salade
Dutch Potato Salad (Huzaren Salade),warm water,http://allrecipes.com/recipe/220626/dutch-potato-salad-huzaren-salade
Dutch Potato Salad (Huzaren Salade),apple cider vinegar,http://allrecipes.com/recipe/220626/dutch-potato-salad-huzaren-salade
Dutch Potato Salad (Huzaren Salade),pickled gherkins,http://allrecipes.com/recipe/220626/dutch-potato-salad-huzaren-salade
Dutch Potato Salad (Huzaren Salade),"marinated cocktail onions, cut in half",http://allrecipes.com/recipe/220626/dutch-potato-salad-huzaren-salade
Dutch Potato Salad (Huzaren Salade),diced Granny Smith apple (optional),http://allrecipes.com/recipe/220626/dutch-potato-salad-huzaren-salade
Dutch Potato Salad (Huzaren Salade),"carrot, shredded (optional)",http://allrecipes.com/recipe/220626/dutch-potato-salad-huzaren-salade
Dutch Potato Salad (Huzaren Salade),canned  beef,http://allrecipes.com/recipe/220626/dutch-potato-salad-huzaren-salade
Dutch Potato Salad (Huzaren Salade),mashed potatoes,http://allrecipes.com/recipe/220626/dutch-potato-salad-huzaren-salade
Dutch Potato Salad (Huzaren Salade),pinch salt and ground black pepper to taste (optional),http://allrecipes.com/recipe/220626/dutch-potato-salad-huzaren-salade
Dutch Potato Salad (Huzaren Salade),For Garnish:,http://allrecipes.com/recipe/220626/dutch-potato-salad-huzaren-salade
Dutch Potato Salad (Huzaren Salade),cucumber halved and,http://allrecipes.com/recipe/220626/dutch-potato-salad-huzaren-salade
Dutch Potato Salad (Huzaren Salade),cherry tomatoes,http://allrecipes.com/recipe/220626/dutch-potato-salad-huzaren-salade
Dutch Potato Salad (Huzaren Salade),hard-cooked eggs,http://allrecipes.com/recipe/220626/dutch-potato-salad-huzaren-salade
Dutch Potato Salad (Huzaren Salade),mayonnaise (optional),http://allrecipes.com/recipe/220626/dutch-potato-salad-huzaren-salade
Auntie Willie's Dutch Apple Pie,butter,http://allrecipes.com/recipe/18360/auntie-willies-dutch-apple-pie
Auntie Willie's Dutch Apple Pie,superfine sugar,http://allrecipes.com/recipe/18360/auntie-willies-dutch-apple-pie
Auntie Willie's Dutch Apple Pie,egg,http://allrecipes.com/recipe/18360/auntie-willies-dutch-apple-pie
