Recipe,URL
Dutch Boterkoek,http://allrecipes.com/recipe/148048/dutch-boterkoek
Botercake (Butter Cake),http://allrecipes.com/recipe/7300/botercake-butter-cake
Dutch Almond Boterkoek,http://allrecipes.com/recipe/10696/dutch-almond-boterkoek
Dutch Musterdsoep or Zaanse Mosterdsoep,http://allrecipes.com/recipe/176233/dutch-musterdsoep-or-zaanse-mosterdsoep
Lahmacun Turkish Pizza,http://allrecipes.com/recipe/215594/lahmacun-turkish-pizza
Holland Butter Cookies,http://allrecipes.com/recipe/19187/holland-butter-cookies
Dutch Apple Pie with Oatmeal Streusel,http://allrecipes.com/recipe/15683/dutch-apple-pie-with-oatmeal-streusel
Dutch Potato Salad (Huzaren Salade),http://allrecipes.com/recipe/220626/dutch-potato-salad-huzaren-salade
Auntie Willie's Dutch Apple Pie,http://allrecipes.com/recipe/18360/auntie-willies-dutch-apple-pie
Dutch Cookies,http://allrecipes.com/recipe/9524/dutch-cookies
Jan Hagel Cookies,http://allrecipes.com/recipe/10770/jan-hagel-cookies
Speculaas,http://allrecipes.com/recipe/9836/speculaas
Dutch Coffee Custard (Hopjesvla),http://allrecipes.com/recipe/41545/dutch-coffee-custard-hopjesvla
Olie Bollen,http://allrecipes.com/recipe/146843/olie-bollen
Dutch Cinnamon Biscuits,http://allrecipes.com/recipe/9800/dutch-cinnamon-biscuits
Stroopwafels,http://allrecipes.com/recipe/79797/stroopwafels
Driving American Business,
Witlof with Ham,http://allrecipes.com/recipe/57171/witlof-with-ham
Recipes for St. Patrick's Day,
Allrecipes Magazine,https://secure.allrecipesmagazine.com/order/?containerName=i71vtar01&psrc=I701TRDW398DFA&internalSource=marketcard&referringId=720&referringContentType=recipe%20hub&clickId=cardslot%206
Speculaas Cookies or Spicy Sinterklass Cakes,http://allrecipes.com/recipe/95628/speculaas-cookies-or-spicy-sinterklass-cakes
Dutch Apple Berry Pie,http://allrecipes.com/recipe/12635/dutch-apple-berry-pie
Dutch Apple Cake,http://allrecipes.com/recipe/7619/dutch-apple-cake
Banket,http://allrecipes.com/recipe/11433/banket
Snert (Split Pea Soup),http://allrecipes.com/recipe/221233/snert-split-pea-soup
Stroopwaffels II,http://allrecipes.com/recipe/19234/stroopwaffels-ii
Stroopwaffels I,http://allrecipes.com/recipe/11160/stroopwaffels-i
Boterkoek (Dutch Butter Cake),http://allrecipes.com/recipe/139069/boterkoek-dutch-butter-cake
Dutch Bokkenpootjes - Goat's Feet,http://allrecipes.com/recipe/216586/dutch-bokkenpootjes---goats-feet-
Oliebollen (Dutch Doughnuts),http://allrecipes.com/recipe/46299/oliebollen-dutch-doughnuts
Gehakt Ballen (Dutch Meatballs),http://allrecipes.com/recipe/238440/gehakt-ballen-dutch-meatballs
Stroopwafels with Treacle,http://allrecipes.com/recipe/246572/stroopwafels-with-treacle
Smoky Gouda Cheese Dip,http://allrecipes.com/recipe/241113/smoky-gouda-cheese-dip
Kletskopjes,http://allrecipes.com/recipe/11405/kletskopjes
Holland Boterkoek,http://allrecipes.com/recipe/140905/holland-boterkoek
Dutch Croquetten,http://allrecipes.com/recipe/68583/dutch-croquetten
Dutch Ice Box Cookies,http://allrecipes.com/recipe/11154/dutch-ice-box-cookies
Dutch Apple Pie,http://allrecipes.com/recipe/12191/dutch-apple-pie
Dutch Leek Casserole,http://allrecipes.com/recipe/41550/dutch-leek-casserole
Dutch Letter Cookies,http://allrecipes.com/recipe/11490/dutch-letter-cookies
