Recipe Name,Ingredient,URL
Blini (Russian Pancakes),milk,http://allrecipes.com/recipe/215962/blini-russian-pancakes
Blini (Russian Pancakes),eggs,http://allrecipes.com/recipe/215962/blini-russian-pancakes
Blini (Russian Pancakes),salt,http://allrecipes.com/recipe/215962/blini-russian-pancakes
Blini (Russian Pancakes),white sugar,http://allrecipes.com/recipe/215962/blini-russian-pancakes
Blini (Russian Pancakes),baking soda,http://allrecipes.com/recipe/215962/blini-russian-pancakes
Blini (Russian Pancakes),citric acid powder,http://allrecipes.com/recipe/215962/blini-russian-pancakes
Blini (Russian Pancakes),all-purpose flour,http://allrecipes.com/recipe/215962/blini-russian-pancakes
Blini (Russian Pancakes),vegetable oil,http://allrecipes.com/recipe/215962/blini-russian-pancakes
Blini (Russian Pancakes),boiling water,http://allrecipes.com/recipe/215962/blini-russian-pancakes
Blini (Russian Pancakes),butter,http://allrecipes.com/recipe/215962/blini-russian-pancakes
Hungarian Mushroom Soup,unsalted butter,http://allrecipes.com/recipe/17897/hungarian-mushroom-soup
Hungarian Mushroom Soup,chopped onions,http://allrecipes.com/recipe/17897/hungarian-mushroom-soup
Hungarian Mushroom Soup,fresh mushrooms,http://allrecipes.com/recipe/17897/hungarian-mushroom-soup
Hungarian Mushroom Soup,dried dill weed,http://allrecipes.com/recipe/17897/hungarian-mushroom-soup
Hungarian Mushroom Soup,paprika,http://allrecipes.com/recipe/17897/hungarian-mushroom-soup
Hungarian Mushroom Soup,soy sauce,http://allrecipes.com/recipe/17897/hungarian-mushroom-soup
Hungarian Mushroom Soup,chicken broth,http://allrecipes.com/recipe/17897/hungarian-mushroom-soup
Hungarian Mushroom Soup,milk,http://allrecipes.com/recipe/17897/hungarian-mushroom-soup
Hungarian Mushroom Soup,all-purpose flour,http://allrecipes.com/recipe/17897/hungarian-mushroom-soup
Hungarian Mushroom Soup,salt,http://allrecipes.com/recipe/17897/hungarian-mushroom-soup
Hungarian Mushroom Soup,ground black pepper to taste,http://allrecipes.com/recipe/17897/hungarian-mushroom-soup
Hungarian Mushroom Soup,lemon juice,http://allrecipes.com/recipe/17897/hungarian-mushroom-soup
Hungarian Mushroom Soup,chopped fresh parsley,http://allrecipes.com/recipe/17897/hungarian-mushroom-soup
Hungarian Mushroom Soup,sour cream,http://allrecipes.com/recipe/17897/hungarian-mushroom-soup
Lentil Soup,olive oil,http://allrecipes.com/recipe/16016/lentil-soup
Lentil Soup,large onions,http://allrecipes.com/recipe/16016/lentil-soup
Lentil Soup,minced garlic,http://allrecipes.com/recipe/16016/lentil-soup
Lentil Soup,carrots,http://allrecipes.com/recipe/16016/lentil-soup
Lentil Soup,stalks celery,http://allrecipes.com/recipe/16016/lentil-soup
Lentil Soup,crushed tomatoes,http://allrecipes.com/recipe/16016/lentil-soup
Lentil Soup,"lentils - soaked, rinsed and drained",http://allrecipes.com/recipe/16016/lentil-soup
Lentil Soup,salt,http://allrecipes.com/recipe/16016/lentil-soup
Lentil Soup,ground black pepper,http://allrecipes.com/recipe/16016/lentil-soup
Lentil Soup,white wine,http://allrecipes.com/recipe/16016/lentil-soup
Lentil Soup,bay leaves,http://allrecipes.com/recipe/16016/lentil-soup
Lentil Soup,chicken stock,http://allrecipes.com/recipe/16016/lentil-soup
Lentil Soup,sprig fresh parsley,http://allrecipes.com/recipe/16016/lentil-soup
Lentil Soup,paprika,http://allrecipes.com/recipe/16016/lentil-soup
Lentil Soup,grated Parmesan cheese,http://allrecipes.com/recipe/16016/lentil-soup
Chocolate Babka,BABKA DOUGH,http://allrecipes.com/recipe/176381/chocolate-babka
Chocolate Babka,milk,http://allrecipes.com/recipe/176381/chocolate-babka
Chocolate Babka,butter,http://allrecipes.com/recipe/176381/chocolate-babka
Chocolate Babka,bread flour,http://allrecipes.com/recipe/176381/chocolate-babka
Chocolate Babka,all-purpose flour,http://allrecipes.com/recipe/176381/chocolate-babka
Chocolate Babka,active dry yeast,http://allrecipes.com/recipe/176381/chocolate-babka
Chocolate Babka,white sugar,http://allrecipes.com/recipe/176381/chocolate-babka
Chocolate Babka,water,http://allrecipes.com/recipe/176381/chocolate-babka
Chocolate Babka,egg,http://allrecipes.com/recipe/176381/chocolate-babka
Chocolate Babka,salt,http://allrecipes.com/recipe/176381/chocolate-babka
Chocolate Babka,CHOCOLATE FILLING,http://allrecipes.com/recipe/176381/chocolate-babka
Chocolate Babka,squares semisweet chocolate,http://allrecipes.com/recipe/176381/chocolate-babka
Chocolate Babka,ground cinnamon,http://allrecipes.com/recipe/176381/chocolate-babka
Chocolate Babka,white sugar,http://allrecipes.com/recipe/176381/chocolate-babka
Chocolate Babka,butter,http://allrecipes.com/recipe/176381/chocolate-babka
Chocolate Babka,STREUSEL,http://allrecipes.com/recipe/176381/chocolate-babka
Chocolate Babka,confectioners' sugar,http://allrecipes.com/recipe/176381/chocolate-babka
Chocolate Babka,all-purpose flour,http://allrecipes.com/recipe/176381/chocolate-babka
Chocolate Babka,butter,http://allrecipes.com/recipe/176381/chocolate-babka
Chocolate Babka,egg beaten with,http://allrecipes.com/recipe/176381/chocolate-babka
Chocolate Babka,water for glaze (optional),http://allrecipes.com/recipe/176381/chocolate-babka
Russian Tea Cakes III,butter,http://allrecipes.com/recipe/10811/russian-tea-cakes-iii
Russian Tea Cakes III,confectioners' sugar,http://allrecipes.com/recipe/10811/russian-tea-cakes-iii
Russian Tea Cakes III,all-purpose flour,http://allrecipes.com/recipe/10811/russian-tea-cakes-iii
Russian Tea Cakes III,chopped walnuts,http://allrecipes.com/recipe/10811/russian-tea-cakes-iii
Russian Tea Cakes III,salt,http://allrecipes.com/recipe/10811/russian-tea-cakes-iii
Russian Tea Cakes III,vanilla extract,http://allrecipes.com/recipe/10811/russian-tea-cakes-iii
Russian Tea Cakes III,confectioners' sugar for decoration,http://allrecipes.com/recipe/10811/russian-tea-cakes-iii
Nana's Beef Stroganoff,all-purpose flour,http://allrecipes.com/recipe/230302/nanas-beef-stroganoff
Nana's Beef Stroganoff,salt,http://allrecipes.com/recipe/230302/nanas-beef-stroganoff
Nana's Beef Stroganoff,"beef sirloin, cut into 1/4-inch wide strips",http://allrecipes.com/recipe/230302/nanas-beef-stroganoff
Nana's Beef Stroganoff,butter,http://allrecipes.com/recipe/230302/nanas-beef-stroganoff
Nana's Beef Stroganoff,mushrooms,http://allrecipes.com/recipe/230302/nanas-beef-stroganoff
Nana's Beef Stroganoff,chopped onion,http://allrecipes.com/recipe/230302/nanas-beef-stroganoff
Nana's Beef Stroganoff,garlic,http://allrecipes.com/recipe/230302/nanas-beef-stroganoff
Nana's Beef Stroganoff,butter,http://allrecipes.com/recipe/230302/nanas-beef-stroganoff
Nana's Beef Stroganoff,all-purpose flour,http://allrecipes.com/recipe/230302/nanas-beef-stroganoff
Nana's Beef Stroganoff,tomato paste,http://allrecipes.com/recipe/230302/nanas-beef-stroganoff
Nana's Beef Stroganoff,chilled beef stock,http://allrecipes.com/recipe/230302/nanas-beef-stroganoff
Nana's Beef Stroganoff,sour cream,http://allrecipes.com/recipe/230302/nanas-beef-stroganoff
Nana's Beef Stroganoff,dry white wine,http://allrecipes.com/recipe/230302/nanas-beef-stroganoff
Kielbasa and Cabbage,bacon,http://allrecipes.com/recipe/14714/kielbasa-and-cabbage
Kielbasa and Cabbage,water,http://allrecipes.com/recipe/14714/kielbasa-and-cabbage
Kielbasa and Cabbage,white sugar,http://allrecipes.com/recipe/14714/kielbasa-and-cabbage
Kielbasa and Cabbage,onion,http://allrecipes.com/recipe/14714/kielbasa-and-cabbage
Kielbasa and Cabbage,minced garlic,http://allrecipes.com/recipe/14714/kielbasa-and-cabbage
Kielbasa and Cabbage,crushed red pepper flakes,http://allrecipes.com/recipe/14714/kielbasa-and-cabbage
Kielbasa and Cabbage,seasoning salt,http://allrecipes.com/recipe/14714/kielbasa-and-cabbage
Kielbasa and Cabbage,caraway seed,http://allrecipes.com/recipe/14714/kielbasa-and-cabbage
Kielbasa and Cabbage,large head cabbage  into small wedges,http://allrecipes.com/recipe/14714/kielbasa-and-cabbage
Kielbasa and Cabbage,Polish kielbasa,http://allrecipes.com/recipe/14714/kielbasa-and-cabbage
"Serbian Ground Beef, Veggie, and Potato Bake",ground beef,http://allrecipes.com/recipe/70589/serbian-ground-beef-veggie-and-potato-bake
"Serbian Ground Beef, Veggie, and Potato Bake",olive oil,http://allrecipes.com/recipe/70589/serbian-ground-beef-veggie-and-potato-bake
"Serbian Ground Beef, Veggie, and Potato Bake",green bell pepper,http://allrecipes.com/recipe/70589/serbian-ground-beef-veggie-and-potato-bake
"Serbian Ground Beef, Veggie, and Potato Bake",onion,http://allrecipes.com/recipe/70589/serbian-ground-beef-veggie-and-potato-bake
"Serbian Ground Beef, Veggie, and Potato Bake",carrot,http://allrecipes.com/recipe/70589/serbian-ground-beef-veggie-and-potato-bake
"Serbian Ground Beef, Veggie, and Potato Bake",celery stalks,http://allrecipes.com/recipe/70589/serbian-ground-beef-veggie-and-potato-bake
"Serbian Ground Beef, Veggie, and Potato Bake",paprika,http://allrecipes.com/recipe/70589/serbian-ground-beef-veggie-and-potato-bake
"Serbian Ground Beef, Veggie, and Potato Bake",salt,http://allrecipes.com/recipe/70589/serbian-ground-beef-veggie-and-potato-bake
"Serbian Ground Beef, Veggie, and Potato Bake",black pepper,http://allrecipes.com/recipe/70589/serbian-ground-beef-veggie-and-potato-bake
"Serbian Ground Beef, Veggie, and Potato Bake",crushed red pepper,http://allrecipes.com/recipe/70589/serbian-ground-beef-veggie-and-potato-bake
"Serbian Ground Beef, Veggie, and Potato Bake",pinch ground cinnamon,http://allrecipes.com/recipe/70589/serbian-ground-beef-veggie-and-potato-bake
"Serbian Ground Beef, Veggie, and Potato Bake",,http://allrecipes.com/recipe/70589/serbian-ground-beef-veggie-and-potato-bake
"Serbian Ground Beef, Veggie, and Potato Bake",water,http://allrecipes.com/recipe/70589/serbian-ground-beef-veggie-and-potato-bake
"Serbian Ground Beef, Veggie, and Potato Bake",red wine,http://allrecipes.com/recipe/70589/serbian-ground-beef-veggie-and-potato-bake
"Serbian Ground Beef, Veggie, and Potato Bake",cube beef bouillon,http://allrecipes.com/recipe/70589/serbian-ground-beef-veggie-and-potato-bake
"Serbian Ground Beef, Veggie, and Potato Bake",half-and-half,http://allrecipes.com/recipe/70589/serbian-ground-beef-veggie-and-potato-bake
"Serbian Ground Beef, Veggie, and Potato Bake",potatoes  and,http://allrecipes.com/recipe/70589/serbian-ground-beef-veggie-and-potato-bake
Halushki,pork chops,http://allrecipes.com/recipe/21303/halushki
Halushki,garlic powder to taste,http://allrecipes.com/recipe/21303/halushki
Halushki,salt and pepper to taste,http://allrecipes.com/recipe/21303/halushki
Halushki,onion,http://allrecipes.com/recipe/21303/halushki
Halushki,"large head cabbage, cut into squares",http://allrecipes.com/recipe/21303/halushki
Halushki,large egg noodles,http://allrecipes.com/recipe/21303/halushki
Halushki,butter,http://allrecipes.com/recipe/21303/halushki
Russian Eggplant,"large eggplant, peeled and sliced into 1/3 inch rounds",http://allrecipes.com/recipe/50801/russian-eggplant
Russian Eggplant,fresh lemon juice,http://allrecipes.com/recipe/50801/russian-eggplant
Russian Eggplant,water,http://allrecipes.com/recipe/50801/russian-eggplant
Russian Eggplant,large tomatoes,http://allrecipes.com/recipe/50801/russian-eggplant
Russian Eggplant,onions,http://allrecipes.com/recipe/50801/russian-eggplant
Russian Eggplant,all-purpose flour,http://allrecipes.com/recipe/50801/russian-eggplant
Russian Eggplant,sour cream,http://allrecipes.com/recipe/50801/russian-eggplant
Russian Eggplant,garlic,http://allrecipes.com/recipe/50801/russian-eggplant
Russian Eggplant,salt,http://allrecipes.com/recipe/50801/russian-eggplant
Russian Eggplant,black pepper,http://allrecipes.com/recipe/50801/russian-eggplant
Russian Eggplant,paprika to taste,http://allrecipes.com/recipe/50801/russian-eggplant
Slovak Stuffed Cabbage,ground beef,http://allrecipes.com/recipe/14597/slovak-stuffed-cabbage
Slovak Stuffed Cabbage,ground pork,http://allrecipes.com/recipe/14597/slovak-stuffed-cabbage
Slovak Stuffed Cabbage,onion,http://allrecipes.com/recipe/14597/slovak-stuffed-cabbage
Slovak Stuffed Cabbage,salt,http://allrecipes.com/recipe/14597/slovak-stuffed-cabbage
Slovak Stuffed Cabbage,black pepper to taste,http://allrecipes.com/recipe/14597/slovak-stuffed-cabbage
Slovak Stuffed Cabbage,chopped fresh parsley,http://allrecipes.com/recipe/14597/slovak-stuffed-cabbage
Slovak Stuffed Cabbage,cooked brown rice,http://allrecipes.com/recipe/14597/slovak-stuffed-cabbage
Slovak Stuffed Cabbage,garlic salt,http://allrecipes.com/recipe/14597/slovak-stuffed-cabbage
Slovak Stuffed Cabbage,condensed tomato soup,http://allrecipes.com/recipe/14597/slovak-stuffed-cabbage
Slovak Stuffed Cabbage,sauerkraut,http://allrecipes.com/recipe/14597/slovak-stuffed-cabbage
Slovak Stuffed Cabbage,diced tomatoes,http://allrecipes.com/recipe/14597/slovak-stuffed-cabbage
Slovak Stuffed Cabbage,medium head cabbage,http://allrecipes.com/recipe/14597/slovak-stuffed-cabbage
Slovak Stuffed Cabbage,bacon,http://allrecipes.com/recipe/14597/slovak-stuffed-cabbage
Slovak Stuffed Cabbage,white sugar,http://allrecipes.com/recipe/14597/slovak-stuffed-cabbage
Slovak Stuffed Cabbage,water,http://allrecipes.com/recipe/14597/slovak-stuffed-cabbage
Hungarian Goulash I,vegetable oil,http://allrecipes.com/recipe/19954/hungarian-goulash-i
Hungarian Goulash I,onions,http://allrecipes.com/recipe/19954/hungarian-goulash-i
Hungarian Goulash I,Hungarian sweet paprika,http://allrecipes.com/recipe/19954/hungarian-goulash-i
Hungarian Goulash I,salt,http://allrecipes.com/recipe/19954/hungarian-goulash-i
Hungarian Goulash I,ground black pepper,http://allrecipes.com/recipe/19954/hungarian-goulash-i
Hungarian Goulash I,beef stew meat  into 1 1/2 inch cubes,http://allrecipes.com/recipe/19954/hungarian-goulash-i
Hungarian Goulash I,tomato paste,http://allrecipes.com/recipe/19954/hungarian-goulash-i
Hungarian Goulash I,water,http://allrecipes.com/recipe/19954/hungarian-goulash-i
Hungarian Goulash I,garlic,http://allrecipes.com/recipe/19954/hungarian-goulash-i
Hungarian Goulash I,salt,http://allrecipes.com/recipe/19954/hungarian-goulash-i
Russian Beet and Potato Salad,beets,http://allrecipes.com/recipe/213106/russian-beet-and-potato-salad
