Recipe,URL
Eclairs II,http://allrecipes.com/recipe/19010/eclairs-ii
Irish Cream Creme Brulee,http://allrecipes.com/recipe/138086/irish-cream-creme-brulee
Pastry Cream,http://allrecipes.com/recipe/76043/pastry-cream
French Onion Soup I,http://allrecipes.com/recipe/12926/french-onion-soup-i
How to Make Salmon in Parchment,http://allrecipes.com/video/991/how-to-make-salmon-in-parchment?internalSource=videocard&referringId=721&referringContentType=recipe%20hub&clickId=cardslot%2017
Chicken Gruyere with Sauteed Mushrooms,http://allrecipes.com/recipe/28078/chicken-gruyere-with-sauteed-mushrooms
Quiche Lorraine I,http://allrecipes.com/recipe/17515/quiche-lorraine-i
Saucy Chicken Cordon Bleu,http://allrecipes.com/recipe/9005/saucy-chicken-cordon-bleu
Croissants,http://allrecipes.com/recipe/6916/croissants
Delicious Easy Chicken Francese,http://allrecipes.com/recipe/16681/delicious-easy-chicken-francese
Recipes for St. Patrick's Day,
Beef Bourguignon II,http://allrecipes.com/recipe/16905/beef-bourguignon-ii
The Best Lemon Vinaigrette,http://allrecipes.com/recipe/236780/the-best-lemon-vinaigrette
French Onion Soup II,http://allrecipes.com/recipe/13176/french-onion-soup-ii
Madeleines II,http://allrecipes.com/recipe/11350/madeleines-ii
Rich and Creamy Potatoes Au Gratin,http://allrecipes.com/recipe/219721/rich-and-creamy-potatoes-au-gratin
How to Make French Crepes,http://allrecipes.com/video/1037/how-to-make-french-crepes?internalSource=videocard&referringId=721&referringContentType=recipe%20hub&clickId=cardslot%2022
Cream Puff Shells,http://allrecipes.com/recipe/19032/cream-puff-shells
Buche de Noel,http://allrecipes.com/recipe/17345/buche-de-noel
French Crepes,http://allrecipes.com/recipe/20931/french-crepes
Slow Cooker Chicken Cordon Bleu,http://allrecipes.com/recipe/81124/slow-cooker-chicken-cordon-bleu
Filet Mignons With Pepper Cream Sauce,http://allrecipes.com/recipe/213505/filet-mignons-with-pepper-cream-sauce
Fig and Olive Tapenade,http://allrecipes.com/recipe/50843/fig-and-olive-tapenade
Pro Ganache,http://allrecipes.com/recipe/76330/pro-ganache
Cream Puffs I,http://allrecipes.com/recipe/19033/cream-puffs-i
Brie Cheese Appetizer,http://allrecipes.com/recipe/15015/brie-cheese-appetizer
Basic Bechamel Sauce,http://allrecipes.com/recipe/139987/basic-bechamel-sauce
Roasted Asparagus with Herbes de Provence,http://allrecipes.com/recipe/149984/roasted-asparagus-with-herbes-de-provence
Chicken a la Creme,http://allrecipes.com/recipe/48873/chicken-a-la-creme
Patti's Mussels a la Mariniere,http://allrecipes.com/recipe/42657/pattis-mussels-a-la-mariniere
Chef John's Creme Fraiche,http://allrecipes.com/recipe/222387/chef-johns-creme-fraiche
Chef John's Coq Au Vin,http://allrecipes.com/recipe/239230/chef-johns-coq-au-vin
Cream Puffs II,http://allrecipes.com/recipe/19034/cream-puffs-ii
French Beef Stew,http://allrecipes.com/recipe/13345/french-beef-stew
French Apple Tart (Tarte de Pommes a la Normande),http://allrecipes.com/recipe/77874/french-apple-tart-tarte-de-pommes-a-la-normande
French Silk Frosting,http://allrecipes.com/recipe/15325/french-silk-frosting
Quiche Lorraine II,http://allrecipes.com/recipe/18477/quiche-lorraine-ii
Skillet Chicken Cordon Bleu,http://allrecipes.com/recipe/8621/skillet-chicken-cordon-bleu
Tourtiere (Meat Pie),http://allrecipes.com/recipe/23088/tourtiere-meat-pie
Lance's French Onion Soup,http://allrecipes.com/recipe/13308/lances-french-onion-soup
Slow Cooker Cassoulet,http://allrecipes.com/recipe/213758/slow-cooker-cassoulet
Aunt Betty's French Dressing,http://allrecipes.com/recipe/14298/aunt-bettys-french-dressing
Crepes,http://allrecipes.com/recipe/27188/crepes
Chutney Baked Brie,http://allrecipes.com/recipe/17638/chutney-baked-brie
Rice with Herbes de Provence,http://allrecipes.com/recipe/89408/rice-with-herbes-de-provence
Basic Crepes,http://allrecipes.com/recipe/16383/basic-crepes
Chocolate Mousse Cake IV,http://allrecipes.com/recipe/17539/chocolate-mousse-cake-iv
Cali's Sinful Creme Brulee,http://allrecipes.com/recipe/83905/calis-sinful-creme-brulee
French Herb Bread,http://allrecipes.com/recipe/7065/french-herb-bread
French Onion Soup Gratinee,http://allrecipes.com/recipe/91192/french-onion-soup-gratinee
Macaron (French Macaroon),http://allrecipes.com/recipe/223234/macaron-french-macaroon
Rich and Simple French Onion Soup,http://allrecipes.com/recipe/13309/rich-and-simple-french-onion-soup
French Pastry Pie Crust,http://allrecipes.com/recipe/15075/french-pastry-pie-crust
How to Make Homemade Crème Fraiche,http://allrecipes.com/video/721/how-to-make-homemade-creme-fraiche?internalSource=videocard&referringId=721&referringContentType=recipe%20hub&clickId=cardslot%2032
Cordon Bleu Chicken Rolls,http://allrecipes.com/recipe/16602/cordon-bleu-chicken-rolls
Fabulous French Loaves,http://allrecipes.com/recipe/20160/fabulous-french-loaves
Chocolate Ganache,http://allrecipes.com/recipe/33647/chocolate-ganache
Baked Chicken and Brie,http://allrecipes.com/recipe/88548/baked-chicken-and-brie
Blender Hollandaise Sauce,http://allrecipes.com/recipe/84214/blender-hollandaise-sauce
Chicken Cordon Bleu I,http://allrecipes.com/recipe/8495/chicken-cordon-bleu-i
Traditional Layered French Croissants,http://allrecipes.com/recipe/190997/traditional-layered-french-croissants
French Apple Pie with Cream Cheese Topping,http://allrecipes.com/recipe/12549/french-apple-pie-with-cream-cheese-topping
Regular Crepes,http://allrecipes.com/recipe/16203/regular-crepes
Poulet de Provencal,http://allrecipes.com/recipe/223506/poulet-de-provencal
Vanilla Crepes,http://allrecipes.com/recipe/95817/vanilla-crepes
Ratatouille,http://allrecipes.com/recipe/18411/ratatouille
Creamy Au Gratin Potatoes,http://allrecipes.com/recipe/15925/creamy-au-gratin-potatoes
Easy Baked Chicken Cordon Bleu,http://allrecipes.com/recipe/83414/easy-baked-chicken-cordon-bleu
Disney's Ratatouille,http://allrecipes.com/recipe/222006/disneys-ratatouille
How to Make Homemade Mayonnaise,http://allrecipes.com/video/4625/how-to-make-homemade-mayonnaise?internalSource=videocard&referringId=721&referringContentType=recipe%20hub&clickId=cardslot%2027
Lyonnaise Potatoes,http://allrecipes.com/recipe/19843/lyonnaise-potatoes
Ghirardelli(R) Classic White Chocolate Creme Brulee,http://allrecipes.com/recipe/210409/ghirardellir-classic-white-chocolate-creme-brulee
"Chicken French - Rochester, NY Style",http://allrecipes.com/recipe/213487/chicken-french---rochester-ny-style
Poulet Parisienne,http://allrecipes.com/recipe/17118/poulet-parisienne
Bordelaise Sauce with Mushrooms,http://allrecipes.com/recipe/166887/bordelaise-sauce-with-mushrooms
Fresh Pea Soup,http://allrecipes.com/recipe/95110/fresh-pea-soup
French Bread,http://allrecipes.com/recipe/6882/french-bread
Holly's Chicken Cordon Bleu Casserole,http://allrecipes.com/recipe/216026/hollys-chicken-cordon-bleu-casserole
French Leek Pie,http://allrecipes.com/recipe/81537/french-leek-pie
French Baguettes,http://allrecipes.com/recipe/7028/french-baguettes
Meringue Mushrooms,http://allrecipes.com/recipe/40322/meringue-mushrooms
French Butter Cakes (Madeleines),http://allrecipes.com/recipe/9954/french-butter-cakes-madeleines
Fondant Potatoes,http://allrecipes.com/recipe/233295/fondant-potatoes
Beef Bourguignon I,http://allrecipes.com/recipe/16167/beef-bourguignon-i
