Recipe Name,Ingredient,URL
German Marble Cake,butter,http://allrecipes.com/recipe/7807/german-marble-cake
German Marble Cake,white sugar,http://allrecipes.com/recipe/7807/german-marble-cake
German Marble Cake,eggs,http://allrecipes.com/recipe/7807/german-marble-cake
German Marble Cake,milk,http://allrecipes.com/recipe/7807/german-marble-cake
German Marble Cake,almond extract,http://allrecipes.com/recipe/7807/german-marble-cake
German Marble Cake,all-purpose flour,http://allrecipes.com/recipe/7807/german-marble-cake
German Marble Cake,baking powder,http://allrecipes.com/recipe/7807/german-marble-cake
German Marble Cake,salt,http://allrecipes.com/recipe/7807/german-marble-cake
German Marble Cake,unsweetened cocoa powder,http://allrecipes.com/recipe/7807/german-marble-cake
German Marble Cake,dark rum,http://allrecipes.com/recipe/7807/german-marble-cake
Wiener Schnitzel,veal,http://allrecipes.com/recipe/47599/wiener-schnitzel
Wiener Schnitzel,all-purpose flour,http://allrecipes.com/recipe/47599/wiener-schnitzel
Wiener Schnitzel,eggs,http://allrecipes.com/recipe/47599/wiener-schnitzel
Wiener Schnitzel,vegetable oil,http://allrecipes.com/recipe/47599/wiener-schnitzel
Wiener Schnitzel,salt and pepper to taste,http://allrecipes.com/recipe/47599/wiener-schnitzel
Wiener Schnitzel,bread crumbs,http://allrecipes.com/recipe/47599/wiener-schnitzel
Wiener Schnitzel,oil for frying,http://allrecipes.com/recipe/47599/wiener-schnitzel
German-Style Weck Rolls,active dry yeast,http://allrecipes.com/recipe/17916/german-style-weck-rolls
German-Style Weck Rolls,white sugar,http://allrecipes.com/recipe/17916/german-style-weck-rolls
German-Style Weck Rolls,warm water (110 degrees F/45 degrees C),http://allrecipes.com/recipe/17916/german-style-weck-rolls
German-Style Weck Rolls,shortening,http://allrecipes.com/recipe/17916/german-style-weck-rolls
German-Style Weck Rolls,salt,http://allrecipes.com/recipe/17916/german-style-weck-rolls
German-Style Weck Rolls,bread flour,http://allrecipes.com/recipe/17916/german-style-weck-rolls
German-Style Weck Rolls,"egg whites, stiffly beaten",http://allrecipes.com/recipe/17916/german-style-weck-rolls
German-Style Weck Rolls,cold milk,http://allrecipes.com/recipe/17916/german-style-weck-rolls
German-Style Weck Rolls,egg white,http://allrecipes.com/recipe/17916/german-style-weck-rolls
German-Style Weck Rolls,ice cubes,http://allrecipes.com/recipe/17916/german-style-weck-rolls
Coconut Macaroons German Style,flaked coconut,http://allrecipes.com/recipe/95782/coconut-macaroons-german-style
Coconut Macaroons German Style,egg whites,http://allrecipes.com/recipe/95782/coconut-macaroons-german-style
Coconut Macaroons German Style,white sugar,http://allrecipes.com/recipe/95782/coconut-macaroons-german-style
Coconut Macaroons German Style,ground cinnamon,http://allrecipes.com/recipe/95782/coconut-macaroons-german-style
Coconut Macaroons German Style,almond extract,http://allrecipes.com/recipe/95782/coconut-macaroons-german-style
Bavarian Style Meatballs,tomato-based chili sauce,http://allrecipes.com/recipe/14883/bavarian-style-meatballs
Bavarian Style Meatballs,whole cranberry sauce,http://allrecipes.com/recipe/14883/bavarian-style-meatballs
Bavarian Style Meatballs,Bavarian-style sauerkraut,http://allrecipes.com/recipe/14883/bavarian-style-meatballs
Bavarian Style Meatballs,water,http://allrecipes.com/recipe/14883/bavarian-style-meatballs
Bavarian Style Meatballs,packed brown sugar,http://allrecipes.com/recipe/14883/bavarian-style-meatballs
Bavarian Style Meatballs,frozen meatballs,http://allrecipes.com/recipe/14883/bavarian-style-meatballs
Authentic German Cheesecake,white sugar,http://allrecipes.com/recipe/87483/authentic-german-cheesecake
Authentic German Cheesecake,cornstarch,http://allrecipes.com/recipe/87483/authentic-german-cheesecake
Authentic German Cheesecake,all-purpose flour,http://allrecipes.com/recipe/87483/authentic-german-cheesecake
Authentic German Cheesecake,packages cream cheese,http://allrecipes.com/recipe/87483/authentic-german-cheesecake
Authentic German Cheesecake,small curd cottage cheese,http://allrecipes.com/recipe/87483/authentic-german-cheesecake
Authentic German Cheesecake,butter,http://allrecipes.com/recipe/87483/authentic-german-cheesecake
Authentic German Cheesecake,medium eggs,http://allrecipes.com/recipe/87483/authentic-german-cheesecake
Authentic German Cheesecake,lemon juice,http://allrecipes.com/recipe/87483/authentic-german-cheesecake
Authentic German Cheesecake,vanilla extract,http://allrecipes.com/recipe/87483/authentic-german-cheesecake
Creamy German Coleslaw,head cabbage,http://allrecipes.com/recipe/229768/creamy-german-coleslaw
Creamy German Coleslaw,white sugar,http://allrecipes.com/recipe/229768/creamy-german-coleslaw
Creamy German Coleslaw,cider vinegar,http://allrecipes.com/recipe/229768/creamy-german-coleslaw
Creamy German Coleslaw,celery seed,http://allrecipes.com/recipe/229768/creamy-german-coleslaw
Creamy German Coleslaw,salt,http://allrecipes.com/recipe/229768/creamy-german-coleslaw
Creamy German Coleslaw,"mayonnaise, or more to taste",http://allrecipes.com/recipe/229768/creamy-german-coleslaw
Meatless Stuffed Peppers,vegetable oil,http://allrecipes.com/recipe/22923/meatless-stuffed-peppers
Meatless Stuffed Peppers,large onion,http://allrecipes.com/recipe/22923/meatless-stuffed-peppers
Meatless Stuffed Peppers,garlic,http://allrecipes.com/recipe/22923/meatless-stuffed-peppers
Meatless Stuffed Peppers,uncooked white rice,http://allrecipes.com/recipe/22923/meatless-stuffed-peppers
Meatless Stuffed Peppers,vegetable broth,http://allrecipes.com/recipe/22923/meatless-stuffed-peppers
Meatless Stuffed Peppers,firm tofu,http://allrecipes.com/recipe/22923/meatless-stuffed-peppers
Meatless Stuffed Peppers,chopped fresh parsley,http://allrecipes.com/recipe/22923/meatless-stuffed-peppers
Meatless Stuffed Peppers,chopped fresh mushrooms,http://allrecipes.com/recipe/22923/meatless-stuffed-peppers
