Recipe Name,Ingredient,URL
"Greek Pasta Salad with Shrimp, Tomatoes, Zucchini, Peppers, and Feta",Dijon Vinaigrette,http://allrecipes.com/recipe/104968/greek-pasta-salad-with-shrimp-tomatoes-zucchini-peppers-and-feta
"Greek Pasta Salad with Shrimp, Tomatoes, Zucchini, Peppers, and Feta",rice wine vinegar,http://allrecipes.com/recipe/104968/greek-pasta-salad-with-shrimp-tomatoes-zucchini-peppers-and-feta
"Greek Pasta Salad with Shrimp, Tomatoes, Zucchini, Peppers, and Feta",Dijon mustard,http://allrecipes.com/recipe/104968/greek-pasta-salad-with-shrimp-tomatoes-zucchini-peppers-and-feta
"Greek Pasta Salad with Shrimp, Tomatoes, Zucchini, Peppers, and Feta",garlic,http://allrecipes.com/recipe/104968/greek-pasta-salad-with-shrimp-tomatoes-zucchini-peppers-and-feta
"Greek Pasta Salad with Shrimp, Tomatoes, Zucchini, Peppers, and Feta",Big pinch of salt,http://allrecipes.com/recipe/104968/greek-pasta-salad-with-shrimp-tomatoes-zucchini-peppers-and-feta
"Greek Pasta Salad with Shrimp, Tomatoes, Zucchini, Peppers, and Feta","Black pepper, to taste",http://allrecipes.com/recipe/104968/greek-pasta-salad-with-shrimp-tomatoes-zucchini-peppers-and-feta
"Greek Pasta Salad with Shrimp, Tomatoes, Zucchini, Peppers, and Feta",extra-virgin olive oil,http://allrecipes.com/recipe/104968/greek-pasta-salad-with-shrimp-tomatoes-zucchini-peppers-and-feta
"Greek Pasta Salad with Shrimp, Tomatoes, Zucchini, Peppers, and Feta",Pasta Salad,http://allrecipes.com/recipe/104968/greek-pasta-salad-with-shrimp-tomatoes-zucchini-peppers-and-feta
"Greek Pasta Salad with Shrimp, Tomatoes, Zucchini, Peppers, and Feta",medium zucchini   lengthwise,http://allrecipes.com/recipe/104968/greek-pasta-salad-with-shrimp-tomatoes-zucchini-peppers-and-feta
"Greek Pasta Salad with Shrimp, Tomatoes, Zucchini, Peppers, and Feta",medium yellow pepper  lengthwise,http://allrecipes.com/recipe/104968/greek-pasta-salad-with-shrimp-tomatoes-zucchini-peppers-and-feta
"Greek Pasta Salad with Shrimp, Tomatoes, Zucchini, Peppers, and Feta",olive oil,http://allrecipes.com/recipe/104968/greek-pasta-salad-with-shrimp-tomatoes-zucchini-peppers-and-feta
"Greek Pasta Salad with Shrimp, Tomatoes, Zucchini, Peppers, and Feta","Ground black pepper and salt, to taste",http://allrecipes.com/recipe/104968/greek-pasta-salad-with-shrimp-tomatoes-zucchini-peppers-and-feta
"Greek Pasta Salad with Shrimp, Tomatoes, Zucchini, Peppers, and Feta",gallon water,http://allrecipes.com/recipe/104968/greek-pasta-salad-with-shrimp-tomatoes-zucchini-peppers-and-feta
