Recipe Name,Ingredient,URL
Shrimp Fettuccine Alfredo,fettuccini pasta,http://allrecipes.com/recipe/23979/shrimp-fettuccine-alfredo
Shrimp Fettuccine Alfredo,butter,http://allrecipes.com/recipe/23979/shrimp-fettuccine-alfredo
Shrimp Fettuccine Alfredo,cooked shrimp - peeled and deveined,http://allrecipes.com/recipe/23979/shrimp-fettuccine-alfredo
Shrimp Fettuccine Alfredo,garlic,http://allrecipes.com/recipe/23979/shrimp-fettuccine-alfredo
Shrimp Fettuccine Alfredo,half-and-half,http://allrecipes.com/recipe/23979/shrimp-fettuccine-alfredo
Shrimp Fettuccine Alfredo,grated Parmesan cheese,http://allrecipes.com/recipe/23979/shrimp-fettuccine-alfredo
Shrimp Fettuccine Alfredo,chopped fresh parsley,http://allrecipes.com/recipe/23979/shrimp-fettuccine-alfredo
Shrimp Fettuccine Alfredo,salt to taste,http://allrecipes.com/recipe/23979/shrimp-fettuccine-alfredo
Cioppino,butter,http://allrecipes.com/recipe/12816/cioppino
Cioppino,onions,http://allrecipes.com/recipe/12816/cioppino
Cioppino,garlic,http://allrecipes.com/recipe/12816/cioppino
Cioppino,bunch fresh parsley,http://allrecipes.com/recipe/12816/cioppino
Cioppino,stewed tomatoes,http://allrecipes.com/recipe/12816/cioppino
Cioppino,chicken broth,http://allrecipes.com/recipe/12816/cioppino
Cioppino,bay leaves,http://allrecipes.com/recipe/12816/cioppino
Cioppino,dried basil,http://allrecipes.com/recipe/12816/cioppino
Cioppino,dried thyme,http://allrecipes.com/recipe/12816/cioppino
Cioppino,dried oregano,http://allrecipes.com/recipe/12816/cioppino
Cioppino,water,http://allrecipes.com/recipe/12816/cioppino
Cioppino,white wine,http://allrecipes.com/recipe/12816/cioppino
Cioppino,large shrimp - peeled and deveined,http://allrecipes.com/recipe/12816/cioppino
Cioppino,bay scallops,http://allrecipes.com/recipe/12816/cioppino
Cioppino,small clams,http://allrecipes.com/recipe/12816/cioppino
Cioppino,"mussels, cleaned and debearded",http://allrecipes.com/recipe/12816/cioppino
Cioppino,crabmeat,http://allrecipes.com/recipe/12816/cioppino
Cioppino,cod fillets,http://allrecipes.com/recipe/12816/cioppino
Jay's Signature Pizza Crust,active dry yeast,http://allrecipes.com/recipe/7245/jays-signature-pizza-crust
Jay's Signature Pizza Crust,brown sugar,http://allrecipes.com/recipe/7245/jays-signature-pizza-crust
Jay's Signature Pizza Crust,warm water (110 degrees F/45 degrees C),http://allrecipes.com/recipe/7245/jays-signature-pizza-crust
Jay's Signature Pizza Crust,salt,http://allrecipes.com/recipe/7245/jays-signature-pizza-crust
Jay's Signature Pizza Crust,olive oil,http://allrecipes.com/recipe/7245/jays-signature-pizza-crust
Jay's Signature Pizza Crust,all-purpose flour,http://allrecipes.com/recipe/7245/jays-signature-pizza-crust
World's Best Lasagna,sweet Italian sausage,http://allrecipes.com/recipe/23600/worlds-best-lasagna
World's Best Lasagna,lean ground beef,http://allrecipes.com/recipe/23600/worlds-best-lasagna
World's Best Lasagna,minced onion,http://allrecipes.com/recipe/23600/worlds-best-lasagna
World's Best Lasagna,garlic,http://allrecipes.com/recipe/23600/worlds-best-lasagna
World's Best Lasagna,crushed tomatoes,http://allrecipes.com/recipe/23600/worlds-best-lasagna
World's Best Lasagna,tomato paste,http://allrecipes.com/recipe/23600/worlds-best-lasagna
World's Best Lasagna,canned tomato sauce,http://allrecipes.com/recipe/23600/worlds-best-lasagna
