Recipe Name,Ingredient,URL
Easy Swedish Pancakes,eggs,http://allrecipes.com/recipe/52581/easy-swedish-pancakes
Easy Swedish Pancakes,milk,http://allrecipes.com/recipe/52581/easy-swedish-pancakes
Easy Swedish Pancakes,all-purpose flour,http://allrecipes.com/recipe/52581/easy-swedish-pancakes
Easy Swedish Pancakes,sugar,http://allrecipes.com/recipe/52581/easy-swedish-pancakes
Easy Swedish Pancakes,pinch salt,http://allrecipes.com/recipe/52581/easy-swedish-pancakes
Easy Swedish Pancakes,melted butter,http://allrecipes.com/recipe/52581/easy-swedish-pancakes
Jule Kaka,scalded milk,http://allrecipes.com/recipe/7050/jule-kaka
Jule Kaka,butter,http://allrecipes.com/recipe/7050/jule-kaka
Jule Kaka,salt,http://allrecipes.com/recipe/7050/jule-kaka
Jule Kaka,white sugar,http://allrecipes.com/recipe/7050/jule-kaka
Jule Kaka,(.25 ounce) packages active dry yeast,http://allrecipes.com/recipe/7050/jule-kaka
Jule Kaka,warm water (110 degrees F/45 degrees C),http://allrecipes.com/recipe/7050/jule-kaka
Jule Kaka,all-purpose flour,http://allrecipes.com/recipe/7050/jule-kaka
Jule Kaka,ground cardamom,http://allrecipes.com/recipe/7050/jule-kaka
Jule Kaka,candied cherries,http://allrecipes.com/recipe/7050/jule-kaka
Jule Kaka,chopped  citron,http://allrecipes.com/recipe/7050/jule-kaka
Jule Kaka,golden raisins,http://allrecipes.com/recipe/7050/jule-kaka
Jule Kaka,"egg white, beaten",http://allrecipes.com/recipe/7050/jule-kaka
Danish Cinnamon Snails,Dough:,http://allrecipes.com/recipe/216784/danish-cinnamon-snails
Danish Cinnamon Snails,warm milk (110 degrees F/45 degrees C),http://allrecipes.com/recipe/216784/danish-cinnamon-snails
Danish Cinnamon Snails,(0.6 ounce) cakes cake yeast,http://allrecipes.com/recipe/216784/danish-cinnamon-snails
Danish Cinnamon Snails,"butter, room temperature",http://allrecipes.com/recipe/216784/danish-cinnamon-snails
Danish Cinnamon Snails,eggs,http://allrecipes.com/recipe/216784/danish-cinnamon-snails
Danish Cinnamon Snails,ground cardamom,http://allrecipes.com/recipe/216784/danish-cinnamon-snails
Danish Cinnamon Snails,white sugar,http://allrecipes.com/recipe/216784/danish-cinnamon-snails
Danish Cinnamon Snails,salt,http://allrecipes.com/recipe/216784/danish-cinnamon-snails
Danish Cinnamon Snails,"all-purpose flour, or as needed",http://allrecipes.com/recipe/216784/danish-cinnamon-snails
Danish Cinnamon Snails,Filling:,http://allrecipes.com/recipe/216784/danish-cinnamon-snails
Danish Cinnamon Snails,butter,http://allrecipes.com/recipe/216784/danish-cinnamon-snails
Danish Cinnamon Snails,white sugar,http://allrecipes.com/recipe/216784/danish-cinnamon-snails
Danish Cinnamon Snails,ground cinnamon,http://allrecipes.com/recipe/216784/danish-cinnamon-snails
Danish Peppernut Christmas Cookies (Pebernodder),butter,http://allrecipes.com/recipe/147068/danish-peppernut-christmas-cookies-pebernodder
Danish Peppernut Christmas Cookies (Pebernodder),white sugar,http://allrecipes.com/recipe/147068/danish-peppernut-christmas-cookies-pebernodder
Danish Peppernut Christmas Cookies (Pebernodder),eggs,http://allrecipes.com/recipe/147068/danish-peppernut-christmas-cookies-pebernodder
Danish Peppernut Christmas Cookies (Pebernodder),ground cardamom,http://allrecipes.com/recipe/147068/danish-peppernut-christmas-cookies-pebernodder
Danish Peppernut Christmas Cookies (Pebernodder),ground cinnamon,http://allrecipes.com/recipe/147068/danish-peppernut-christmas-cookies-pebernodder
Danish Peppernut Christmas Cookies (Pebernodder),ground nutmeg,http://allrecipes.com/recipe/147068/danish-peppernut-christmas-cookies-pebernodder
Danish Peppernut Christmas Cookies (Pebernodder),,http://allrecipes.com/recipe/147068/danish-peppernut-christmas-cookies-pebernodder
Danish Peppernut Christmas Cookies (Pebernodder),salt,http://allrecipes.com/recipe/147068/danish-peppernut-christmas-cookies-pebernodder
Danish Peppernut Christmas Cookies (Pebernodder),"all-purpose flour, or as needed",http://allrecipes.com/recipe/147068/danish-peppernut-christmas-cookies-pebernodder
Tuppakaka,eggs,http://allrecipes.com/recipe/7778/tuppakaka
Tuppakaka,white sugar,http://allrecipes.com/recipe/7778/tuppakaka
Tuppakaka,butter,http://allrecipes.com/recipe/7778/tuppakaka
Tuppakaka,all-purpose flour,http://allrecipes.com/recipe/7778/tuppakaka
