Recipe Name,Ingredient,URL
Crema de Calabazines,medium zucchini,http://allrecipes.com/recipe/13221/crema-de-calabazines
Crema de Calabazines,potatoes,http://allrecipes.com/recipe/13221/crema-de-calabazines
Crema de Calabazines,large onion,http://allrecipes.com/recipe/13221/crema-de-calabazines
Crema de Calabazines,Laughing Cow® Light Creamy Swiss wedges,http://allrecipes.com/recipe/13221/crema-de-calabazines
Crema de Calabazines,chicken bouillon powder,http://allrecipes.com/recipe/13221/crema-de-calabazines
Crema de Calabazines,salt and pepper to taste,http://allrecipes.com/recipe/13221/crema-de-calabazines
Octopus in Tomato Sauce,octopus,http://allrecipes.com/recipe/131643/octopus-in-tomato-sauce
Octopus in Tomato Sauce,olive oil,http://allrecipes.com/recipe/131643/octopus-in-tomato-sauce
Octopus in Tomato Sauce,large onion,http://allrecipes.com/recipe/131643/octopus-in-tomato-sauce
Octopus in Tomato Sauce,garlic,http://allrecipes.com/recipe/131643/octopus-in-tomato-sauce
Octopus in Tomato Sauce,chopped fresh mint leaves,http://allrecipes.com/recipe/131643/octopus-in-tomato-sauce
Octopus in Tomato Sauce,curry powder,http://allrecipes.com/recipe/131643/octopus-in-tomato-sauce
Octopus in Tomato Sauce,mixed spice,http://allrecipes.com/recipe/131643/octopus-in-tomato-sauce
Octopus in Tomato Sauce,salt and pepper to taste,http://allrecipes.com/recipe/131643/octopus-in-tomato-sauce
Octopus in Tomato Sauce,red wine,http://allrecipes.com/recipe/131643/octopus-in-tomato-sauce
Octopus in Tomato Sauce,grated lemon zest,http://allrecipes.com/recipe/131643/octopus-in-tomato-sauce
Octopus in Tomato Sauce,grated orange zest,http://allrecipes.com/recipe/131643/octopus-in-tomato-sauce
Octopus in Tomato Sauce,whole  tomatoes,http://allrecipes.com/recipe/131643/octopus-in-tomato-sauce
Octopus in Tomato Sauce,tomato paste,http://allrecipes.com/recipe/131643/octopus-in-tomato-sauce
Octopus in Tomato Sauce,peas,http://allrecipes.com/recipe/131643/octopus-in-tomato-sauce
Octopus in Tomato Sauce,potatoes  and,http://allrecipes.com/recipe/131643/octopus-in-tomato-sauce
Octopus in Tomato Sauce,whole  ripe olives,http://allrecipes.com/recipe/131643/octopus-in-tomato-sauce
Octopus in Tomato Sauce,bay leaves,http://allrecipes.com/recipe/131643/octopus-in-tomato-sauce
Octopus in Tomato Sauce,white sugar,http://allrecipes.com/recipe/131643/octopus-in-tomato-sauce
Malaguena Lemon and Dill Vinaigrette,white wine vinegar,http://allrecipes.com/recipe/237251/malaguena-lemon-and-dill-vinaigrette
Malaguena Lemon and Dill Vinaigrette,Dijon mustard,http://allrecipes.com/recipe/237251/malaguena-lemon-and-dill-vinaigrette
