Recipe,URL
Crema de Calabazines,http://allrecipes.com/recipe/13221/crema-de-calabazines
Octopus in Tomato Sauce,http://allrecipes.com/recipe/131643/octopus-in-tomato-sauce
Malaguena Lemon and Dill Vinaigrette,http://allrecipes.com/recipe/237251/malaguena-lemon-and-dill-vinaigrette
Nix Stress Fast with This Get-Calm Trick,
Paleo Chorizo Sweet Potato and Kale Stew,http://allrecipes.com/recipe/230075/paleo-chorizo-sweet-potato-and-kale-stew
Majorcan Style Brains,http://allrecipes.com/recipe/19640/majorcan-style-brains
Maria's Paella,http://allrecipes.com/recipe/97840/marias-paella
Paella III,http://allrecipes.com/recipe/12878/paella-iii
Quick and Fresh Gazpacho,http://allrecipes.com/recipe/214902/quick-and-fresh-gazpacho
Spanish Garlic and Vegetable Soup,http://allrecipes.com/recipe/47174/spanish-garlic-and-vegetable-soup
Authentic Paella Valenciana,http://allrecipes.com/recipe/73337/authentic-paella-valenciana
Easy Paella,http://allrecipes.com/recipe/84137/easy-paella
Grilled Spanish Mustard Steak,http://allrecipes.com/video/3951/grilled-spanish-mustard-steak?internalSource=videocard&referringId=726&referringContentType=recipe%20hub&clickId=cardslot%2017
Julia's Watermelon Gazpacho,http://allrecipes.com/recipe/215551/julias-watermelon-gazpacho
Gravel Salad,http://allrecipes.com/recipe/16660/gravel-salad
Empanadas I,http://allrecipes.com/recipe/12508/empanadas-i
Chickpeas and Chorizo,http://allrecipes.com/recipe/239571/chickpeas-and-chorizo
Spanish Flan,http://allrecipes.com/recipe/20979/spanish-flan
Viva Madrid Spanish Chicken,http://allrecipes.com/recipe/77144/viva-madrid-spanish-chicken
Chef John's Spanish Garlic Soup (Sopa de Ajo),http://allrecipes.com/recipe/237498/chef-johns-spanish-garlic-soup-sopa-de-ajo
Chicken Costa Brava,http://allrecipes.com/recipe/8525/chicken-costa-brava
Watermelon Gazpacho,http://allrecipes.com/recipe/76987/watermelon-gazpacho
Gazpacho I,http://allrecipes.com/recipe/13110/gazpacho-i
Donna's Spanish Bars,http://allrecipes.com/recipe/11502/donnas-spanish-bars
Kalimotxo (Calimocho),http://allrecipes.com/recipe/96501/kalimotxo-calimocho
Papas Alins or Patatas Alinadas (Andalusian Potatoes),http://allrecipes.com/recipe/246337/papas-alins-or-patatas-alinadas-andalusian-potatoes
