Recipe Name,Ingredient,URL
Homemade Muesli,whole oats,http://allrecipes.com/recipe/232392/homemade-muesli
Homemade Muesli,crispy rice cereal,http://allrecipes.com/recipe/232392/homemade-muesli
Homemade Muesli,pecans,http://allrecipes.com/recipe/232392/homemade-muesli
Homemade Muesli,almonds,http://allrecipes.com/recipe/232392/homemade-muesli
Homemade Muesli,raw sunflower seed kernels,http://allrecipes.com/recipe/232392/homemade-muesli
Homemade Muesli,dried cherries,http://allrecipes.com/recipe/232392/homemade-muesli
Homemade Muesli,golden raisins,http://allrecipes.com/recipe/232392/homemade-muesli
Gruyere Potato Gratin,softened butter,http://allrecipes.com/recipe/149261/gruyere-potato-gratin
Gruyere Potato Gratin,potatoes  and,http://allrecipes.com/recipe/149261/gruyere-potato-gratin
Gruyere Potato Gratin,large onions,http://allrecipes.com/recipe/149261/gruyere-potato-gratin
Gruyere Potato Gratin,salt and pepper to taste,http://allrecipes.com/recipe/149261/gruyere-potato-gratin
Gruyere Potato Gratin,shredded Gruyere cheese,http://allrecipes.com/recipe/149261/gruyere-potato-gratin
Gruyere Potato Gratin,white wine,http://allrecipes.com/recipe/149261/gruyere-potato-gratin
Gruyere Potato Gratin,water,http://allrecipes.com/recipe/149261/gruyere-potato-gratin
Gruyere Potato Gratin,heavy cream,http://allrecipes.com/recipe/149261/gruyere-potato-gratin
Grison Beef Stew,beef brisket,http://allrecipes.com/recipe/13164/grison-beef-stew
Grison Beef Stew,large head cabbage,http://allrecipes.com/recipe/13164/grison-beef-stew
Grison Beef Stew,margarine,http://allrecipes.com/recipe/13164/grison-beef-stew
Grison Beef Stew,"bacon, cooked and cubed",http://allrecipes.com/recipe/13164/grison-beef-stew
Grison Beef Stew,sliced onion,http://allrecipes.com/recipe/13164/grison-beef-stew
Grison Beef Stew,bay leaves,http://allrecipes.com/recipe/13164/grison-beef-stew
Grison Beef Stew,salt and pepper to taste,http://allrecipes.com/recipe/13164/grison-beef-stew
Grison Beef Stew,pinch ground nutmeg,http://allrecipes.com/recipe/13164/grison-beef-stew
Grison Beef Stew,red wine,http://allrecipes.com/recipe/13164/grison-beef-stew
Grison Beef Stew,beef stock,http://allrecipes.com/recipe/13164/grison-beef-stew
Swiss Steak Quick and Easy,vegetable oil,http://allrecipes.com/recipe/85934/swiss-steak-quick-and-easy
Swiss Steak Quick and Easy,cube steaks  thin and cut into bite-size pieces,http://allrecipes.com/recipe/85934/swiss-steak-quick-and-easy
Swiss Steak Quick and Easy,all-purpose flour,http://allrecipes.com/recipe/85934/swiss-steak-quick-and-easy
