Recipe Name,Ingredient,URL
Easy Clotted Cream,heavy cream,http://allrecipes.com/recipe/41579/easy-clotted-cream
Easy Clotted Cream,sour cream,http://allrecipes.com/recipe/41579/easy-clotted-cream
Easy Clotted Cream,confectioners' sugar,http://allrecipes.com/recipe/41579/easy-clotted-cream
Beet Soup,olive oil,http://allrecipes.com/recipe/89057/beet-soup
Beet Soup,medium onion,http://allrecipes.com/recipe/89057/beet-soup
Beet Soup,garlic,http://allrecipes.com/recipe/89057/beet-soup
Beet Soup,medium beets  and,http://allrecipes.com/recipe/89057/beet-soup
Beet Soup,beef stock,http://allrecipes.com/recipe/89057/beet-soup
Beet Soup,salt and  ground pepper,http://allrecipes.com/recipe/89057/beet-soup
Beet Soup,heavy cream,http://allrecipes.com/recipe/89057/beet-soup
Lemon Posset,heavy cream,http://allrecipes.com/recipe/86428/lemon-posset
Lemon Posset,white sugar,http://allrecipes.com/recipe/86428/lemon-posset
Lemon Posset,lemons,http://allrecipes.com/recipe/86428/lemon-posset
Lemon Posset,additional heavy cream for topping,http://allrecipes.com/recipe/86428/lemon-posset
English Trifle,(8 or 9 inch) white cake layers  and,http://allrecipes.com/recipe/8445/english-trifle
English Trifle,fresh strawberries,http://allrecipes.com/recipe/8445/english-trifle
English Trifle,white sugar,http://allrecipes.com/recipe/8445/english-trifle
English Trifle,fresh blueberries,http://allrecipes.com/recipe/8445/english-trifle
English Trifle,bananas,http://allrecipes.com/recipe/8445/english-trifle
English Trifle,orange juice,http://allrecipes.com/recipe/8445/english-trifle
English Trifle,instant vanilla pudding mix,http://allrecipes.com/recipe/8445/english-trifle
English Trifle,milk,http://allrecipes.com/recipe/8445/english-trifle
English Trifle,heavy whipping cream,http://allrecipes.com/recipe/8445/english-trifle
English Trifle,blanched  almonds,http://allrecipes.com/recipe/8445/english-trifle
English Trifle,maraschino cherries,http://allrecipes.com/recipe/8445/english-trifle
Real Potato Leek Soup,small red new potatoes,http://allrecipes.com/recipe/22932/real-potato-leek-soup
Real Potato Leek Soup,chicken broth,http://allrecipes.com/recipe/22932/real-potato-leek-soup
Real Potato Leek Soup,leeks,http://allrecipes.com/recipe/22932/real-potato-leek-soup
Real Potato Leek Soup,butter,http://allrecipes.com/recipe/22932/real-potato-leek-soup
Real Potato Leek Soup,milk,http://allrecipes.com/recipe/22932/real-potato-leek-soup
Real Potato Leek Soup,salt and pepper to taste,http://allrecipes.com/recipe/22932/real-potato-leek-soup
Scottish Shortbread I,butter,http://allrecipes.com/recipe/9700/scottish-shortbread-i
Scottish Shortbread I,confectioners' sugar,http://allrecipes.com/recipe/9700/scottish-shortbread-i
Scottish Shortbread I,all-purpose flour,http://allrecipes.com/recipe/9700/scottish-shortbread-i
Scottish Shortbread I,salt,http://allrecipes.com/recipe/9700/scottish-shortbread-i
Irish Soda Bread I,all-purpose flour,http://allrecipes.com/recipe/6750/irish-soda-bread-i
Irish Soda Bread I,white sugar,http://allrecipes.com/recipe/6750/irish-soda-bread-i
Irish Soda Bread I,baking soda,http://allrecipes.com/recipe/6750/irish-soda-bread-i
Irish Soda Bread I,baking powder,http://allrecipes.com/recipe/6750/irish-soda-bread-i
Irish Soda Bread I,salt,http://allrecipes.com/recipe/6750/irish-soda-bread-i
Irish Soda Bread I,eggs,http://allrecipes.com/recipe/6750/irish-soda-bread-i
Irish Soda Bread I,sour cream,http://allrecipes.com/recipe/6750/irish-soda-bread-i
Irish Soda Bread I,raisins,http://allrecipes.com/recipe/6750/irish-soda-bread-i
English Butter Tarts,(2 inch)  tart shells,http://allrecipes.com/recipe/12622/english-butter-tarts
English Butter Tarts,packed brown sugar,http://allrecipes.com/recipe/12622/english-butter-tarts
English Butter Tarts,light corn syrup,http://allrecipes.com/recipe/12622/english-butter-tarts
English Butter Tarts,shortening,http://allrecipes.com/recipe/12622/english-butter-tarts
English Butter Tarts,egg,http://allrecipes.com/recipe/12622/english-butter-tarts
English Butter Tarts,vanilla extract,http://allrecipes.com/recipe/12622/english-butter-tarts
English Butter Tarts,salt,http://allrecipes.com/recipe/12622/english-butter-tarts
English Butter Tarts,raisins,http://allrecipes.com/recipe/12622/english-butter-tarts
Irish Potato Candy,butter,http://allrecipes.com/recipe/16520/irish-potato-candy
Irish Potato Candy,cream cheese,http://allrecipes.com/recipe/16520/irish-potato-candy
Irish Potato Candy,vanilla extract,http://allrecipes.com/recipe/16520/irish-potato-candy
Irish Potato Candy,confectioners' sugar,http://allrecipes.com/recipe/16520/irish-potato-candy
Irish Potato Candy,flaked coconut,http://allrecipes.com/recipe/16520/irish-potato-candy
Irish Potato Candy,ground cinnamon,http://allrecipes.com/recipe/16520/irish-potato-candy
English Royalty Chocolate Chip Scones,all-purpose flour,http://allrecipes.com/recipe/17914/english-royalty-chocolate-chip-scones
English Royalty Chocolate Chip Scones,white sugar,http://allrecipes.com/recipe/17914/english-royalty-chocolate-chip-scones
English Royalty Chocolate Chip Scones,baking powder,http://allrecipes.com/recipe/17914/english-royalty-chocolate-chip-scones
English Royalty Chocolate Chip Scones,salt,http://allrecipes.com/recipe/17914/english-royalty-chocolate-chip-scones
English Royalty Chocolate Chip Scones,"unsalted butter, chilled and cubed",http://allrecipes.com/recipe/17914/english-royalty-chocolate-chip-scones
English Royalty Chocolate Chip Scones,miniature semisweet chocolate chips,http://allrecipes.com/recipe/17914/english-royalty-chocolate-chip-scones
English Royalty Chocolate Chip Scones,orange juice,http://allrecipes.com/recipe/17914/english-royalty-chocolate-chip-scones
English Roast Beef,beef round roast,http://allrecipes.com/recipe/40374/english-roast-beef
English Roast Beef,salt and pepper to taste,http://allrecipes.com/recipe/40374/english-roast-beef
English Roast Beef,butter,http://allrecipes.com/recipe/40374/english-roast-beef
English Roast Beef,water,http://allrecipes.com/recipe/40374/english-roast-beef
