Recipe,URL
Amazingly Easy Irish Soda Bread,http://allrecipes.com/recipe/16947/amazingly-easy-irish-soda-bread
Easy Clotted Cream,http://allrecipes.com/recipe/41579/easy-clotted-cream
Beet Soup,http://allrecipes.com/recipe/89057/beet-soup
Lemon Posset,http://allrecipes.com/recipe/86428/lemon-posset
English Trifle,http://allrecipes.com/recipe/8445/english-trifle
Real Potato Leek Soup,http://allrecipes.com/recipe/22932/real-potato-leek-soup
Scottish Shortbread I,http://allrecipes.com/recipe/9700/scottish-shortbread-i
Irish Soda Bread I,http://allrecipes.com/recipe/6750/irish-soda-bread-i
English Butter Tarts,http://allrecipes.com/recipe/12622/english-butter-tarts
Irish Potato Candy,http://allrecipes.com/recipe/16520/irish-potato-candy
English Royalty Chocolate Chip Scones,http://allrecipes.com/recipe/17914/english-royalty-chocolate-chip-scones
English Roast Beef,http://allrecipes.com/recipe/40374/english-roast-beef
Beer Braised Irish Stew and Colcannon,http://allrecipes.com/recipe/213340/beer-braised-irish-stew-and-colcannon
"Beef, Mushroom and Guinness(R) Pie",http://allrecipes.com/recipe/216928/beef-mushroom-and-guinnessr-pie
Deluxe Corned Beef Hash,http://allrecipes.com/recipe/216981/deluxe-corned-beef-hash
Turkey Shepherd's Pie,http://allrecipes.com/recipe/12522/turkey-shepherds-pie
Grandma's Yorkshire Pudding,http://allrecipes.com/recipe/70230/grandmas-yorkshire-pudding
Cottage Pie,http://allrecipes.com/recipe/169136/cottage-pie
Irish Shepherd's Pie,http://allrecipes.com/recipe/220519/irish-shepherds-pie
Easy Devonshire Cream,http://allrecipes.com/recipe/24566/easy-devonshire-cream
Whitechapel Shepherd's Pie,http://allrecipes.com/recipe/150725/whitechapel-shepherds-pie
St. Patrick's Day Recipes,
Braised Corned Beef Brisket,http://allrecipes.com/recipe/231030/braised-corned-beef-brisket
Guinness® Corned Beef,http://allrecipes.com/recipe/46530/guinness-corned-beef
Irish Chicken and Dumplings,http://allrecipes.com/recipe/11843/irish-chicken-and-dumplings
Irish Ginger Snaps,http://allrecipes.com/recipe/10737/irish-ginger-snaps
Cawl (Traditional Welsh Broth),http://allrecipes.com/recipe/48770/cawl-traditional-welsh-broth
Joy's Prizewinning Trifle,http://allrecipes.com/recipe/19832/joys-prizewinning-trifle
Real Welsh Rarebit,http://allrecipes.com/recipe/164787/real-welsh-rarebit
Oat Crusted Fish,http://allrecipes.com/recipe/88308/oat-crusted-fish
Scotch Eggs,http://allrecipes.com/recipe/87110/scotch-eggs
Steak Pie,http://allrecipes.com/recipe/78567/steak-pie
Colcannon,http://allrecipes.com/recipe/15644/colcannon
Brennan's Irish Soda Bread,http://allrecipes.com/recipe/213830/brennans-irish-soda-bread
Bangers and Mash,http://allrecipes.com/recipe/55428/bangers-and-mash
Grandpa McAndrew's Irish Soda Bread,http://allrecipes.com/recipe/34900/grandpa-mcandrews-irish-soda-bread
Ferg's Ulster Fry-up,http://allrecipes.com/recipe/100526/fergs-ulster-fry-up
Scottish Shortbread III,http://allrecipes.com/recipe/10059/scottish-shortbread-iii
The Humble Shepherd,http://allrecipes.com/recipe/76519/the-humble-shepherd
Victoria Sponge Cake,http://allrecipes.com/recipe/141783/victoria-sponge-cake
Beef Wellington,http://allrecipes.com/recipe/16899/beef-wellington
Basic British Scones,http://allrecipes.com/recipe/7086/basic-british-scones
Mum's Irish Apple Pie,http://allrecipes.com/recipe/18464/mums-irish-apple-pie
Beef and Irish Stout Stew,http://allrecipes.com/recipe/70298/beef-and-irish-stout-stew
Irish Bananas,http://allrecipes.com/recipe/50951/irish-bananas
Irish Lamb Stew,http://allrecipes.com/recipe/16035/irish-lamb-stew
Diane's Colcannon,http://allrecipes.com/recipe/58642/dianes-colcannon
Vegetarian Haggis,http://allrecipes.com/recipe/81466/vegetarian-haggis
Scottish Shortbread IV,http://allrecipes.com/recipe/11341/scottish-shortbread-iv
Cornish Splits,http://allrecipes.com/recipe/6667/cornish-splits
Irish Soda Bread Cookies,http://allrecipes.com/recipe/10656/irish-soda-bread-cookies
Nana Dot's Irish Soda Bread,http://allrecipes.com/recipe/161706/nana-dots-irish-soda-bread
Scottish Shortbread II,http://allrecipes.com/recipe/9945/scottish-shortbread-ii
Colcannon Bake,http://allrecipes.com/recipe/213337/colcannon-bake
Irish Bacon And Cabbage Soup,http://allrecipes.com/recipe/100378/irish-bacon-and-cabbage-soup
Special Irish Beef Stew,http://allrecipes.com/recipe/29661/special-irish-beef-stew
Irish Steaks,http://allrecipes.com/recipe/220470/irish-steaks
Irish-Style Lamb Stew,http://allrecipes.com/recipe/100497/irish-style-lamb-stew
Fabulous Fried Cabbage,http://allrecipes.com/recipe/100811/fabulous-fried-cabbage
Apple and Brown Sugar Corned Beef,http://allrecipes.com/recipe/216933/apple-and-brown-sugar-corned-beef
Irish Boxty,http://allrecipes.com/recipe/161679/irish-boxty
Corned Beef Hash,http://allrecipes.com/recipe/33129/corned-beef-hash
English Muffin Bread,http://allrecipes.com/recipe/20159/english-muffin-bread
A Scotsman's Shepherd Pie,http://allrecipes.com/recipe/235985/a-scotsmans-shepherd-pie
Banoffee,http://allrecipes.com/recipe/12625/banoffee
Irish Boiled Dinner (Corned Beef),http://allrecipes.com/recipe/30918/irish-boiled-dinner-corned-beef
Mark's English Sausage Rolls,http://allrecipes.com/recipe/58593/marks-english-sausage-rolls
Chef John's Scones,http://allrecipes.com/recipe/220994/chef-johns-scones
Yorkshire Pudding,http://allrecipes.com/recipe/9239/yorkshire-pudding
Chocolate Beer Cupcakes With Whiskey Filling And Irish Cream Icing,http://allrecipes.com/recipe/220447/chocolate-beer-cupcakes-with-whiskey-filling-and-irish-cream-icing
Chef John's Corned Beef and Cabbage,http://allrecipes.com/recipe/236601/chef-johns-corned-beef-and-cabbage-
Irish Bannock,http://allrecipes.com/recipe/6974/irish-bannock
Guinness(R) Bread,http://allrecipes.com/recipe/109907/guinnessr-bread
Corned Beef and Cabbage II,http://allrecipes.com/recipe/57905/corned-beef-and-cabbage-ii
Beef and Guinness® Stew,http://allrecipes.com/recipe/234534/beef-and-guinness-stew
Scottish Oat Scones,http://allrecipes.com/recipe/6906/scottish-oat-scones
Shepherd's Pie I,http://allrecipes.com/recipe/12114/shepherds-pie-i
True Bangers and Mash with Onion Gravy,http://allrecipes.com/recipe/216071/true-bangers-and-mash-with-onion-gravy
Irish Champ,http://allrecipes.com/recipe/100295/irish-champ
Mushy Peas I,http://allrecipes.com/recipe/50281/mushy-peas-i
Irish Brown Soda Bread,http://allrecipes.com/recipe/17873/irish-brown-soda-bread
Irish Potato Casserole,http://allrecipes.com/recipe/13912/irish-potato-casserole
Jim's Cheddar Onion Soda Bread,http://allrecipes.com/recipe/216934/jims-cheddar-onion-soda-bread
Cock a Leekie Soup,http://allrecipes.com/recipe/16360/cock-a-leekie-soup
Cornish Finnish Michigan Pasties,http://allrecipes.com/recipe/12432/cornish-finnish-michigan-pasties
Glazed Corned Beef,http://allrecipes.com/recipe/17855/glazed-corned-beef
Sticky Toffee Pudding Cake,http://allrecipes.com/recipe/8148/sticky-toffee-pudding-cake
Beer-Baked Irish Beef,http://allrecipes.com/recipe/206418/beer-baked-irish-beef
Classic Shepherd's Pie,http://allrecipes.com/recipe/217812/classic-shepherds-pie
How to Handle Life Changes Without Diving Into Debt,
Grandma McAndrews' Irish Soda Bread,http://allrecipes.com/recipe/213832/grandma-mcandrews-irish-soda-bread
Irish Tea Cake,http://allrecipes.com/recipe/27028/irish-tea-cake
Irish Beef Stew,http://allrecipes.com/recipe/100839/irish-beef-stew
Allrecipes Magazine,https://secure.allrecipesmagazine.com/order/?containerName=i71vtar01&psrc=I701TRDW398DFA&internalSource=marketcard&referringId=704&referringContentType=recipe%20hub&clickId=cardslot%2010
Quick and Easy Yorkshire Pudding,http://allrecipes.com/recipe/22539/quick-and-easy-yorkshire-pudding
Irish Soda Farls,http://allrecipes.com/recipe/100502/irish-soda-farls
Proper English Cottage Pie,http://allrecipes.com/recipe/15509/proper-english-cottage-pie
English Trifle to Die For,http://allrecipes.com/recipe/18981/english-trifle-to-die-for
Irish Soda Bread,http://allrecipes.com/recipe/18456/irish-soda-bread
Chef John's Irish Stew,http://allrecipes.com/recipe/236603/chef-johns-irish-stew-
Irish Stew,http://allrecipes.com/recipe/100292/irish-stew
Perfect St. Patrick's Day Cake,http://allrecipes.com/recipe/213341/perfect-st-patricks-day-cake
Mushy Peas II,http://allrecipes.com/recipe/52024/mushy-peas-ii
Irish Soda Bread in a Skillet,http://allrecipes.com/recipe/51447/irish-soda-bread-in-a-skillet
Irresistible Irish Soda Bread,http://allrecipes.com/recipe/7095/irresistible-irish-soda-bread
Sky High Yorkshire Pudding,http://allrecipes.com/recipe/95339/sky-high-yorkshire-pudding
