Cuisine Type,URL
Swiss Recipes,http://allrecipes.com/recipes/727/world-cuisine/european/swiss
UK and Ireland Recipes,http://allrecipes.com/recipes/704/world-cuisine/european/uk-and-ireland
Portuguese Recipes,http://allrecipes.com/recipes/724/world-cuisine/european/portuguese
French Recipes,http://allrecipes.com/recipes/721/world-cuisine/european/french
Greek Recipes,http://allrecipes.com/recipes/731/world-cuisine/european/greek
Scandinavian Recipes,http://allrecipes.com/recipes/725/world-cuisine/european/scandinavian
Dutch Recipes,http://allrecipes.com/recipes/720/world-cuisine/european/dutch
Austrian Recipes,http://allrecipes.com/recipes/718/world-cuisine/european/austrian
German Recipes,http://allrecipes.com/recipes/722/world-cuisine/european/german
Eastern European Recipes,http://allrecipes.com/recipes/712/world-cuisine/european/eastern-european
Spanish Recipes,http://allrecipes.com/recipes/726/world-cuisine/european/spanish
Belgian Recipes,http://allrecipes.com/recipes/719/world-cuisine/european/belgian
Italian Recipes,http://allrecipes.com/recipes/723/world-cuisine/european/italian
