Recipe Name,Ingredient,URL
Colombian Chicken,"(3 pound) whole chicken, cut into pieces",http://allrecipes.com/recipe/84596/colombian-chicken
Colombian Chicken,lemon,http://allrecipes.com/recipe/84596/colombian-chicken
Colombian Chicken,olive oil,http://allrecipes.com/recipe/84596/colombian-chicken
Colombian Chicken,salt,http://allrecipes.com/recipe/84596/colombian-chicken
Colombian Chicken,ground black pepper,http://allrecipes.com/recipe/84596/colombian-chicken
Colombian Chicken,paprika,http://allrecipes.com/recipe/84596/colombian-chicken
Colombian Chicken,sliced black olives,http://allrecipes.com/recipe/84596/colombian-chicken
Colombian Chicken,large onion,http://allrecipes.com/recipe/84596/colombian-chicken
Colombian Chicken,medium green bell pepper,http://allrecipes.com/recipe/84596/colombian-chicken
Colombian Chicken,medium red bell pepper,http://allrecipes.com/recipe/84596/colombian-chicken
Colombian Chicken,orange juice,http://allrecipes.com/recipe/84596/colombian-chicken
Brazilian Grilled Pineapple,brown sugar,http://allrecipes.com/recipe/235932/brazilian-grilled-pineapple
Brazilian Grilled Pineapple,ground cinnamon,http://allrecipes.com/recipe/235932/brazilian-grilled-pineapple
Brazilian Grilled Pineapple,pineapple - peeled cored and  into 6 wedges,http://allrecipes.com/recipe/235932/brazilian-grilled-pineapple
Colombian Lentils,lentils,http://allrecipes.com/recipe/216717/colombian-lentils
Colombian Lentils,water,http://allrecipes.com/recipe/216717/colombian-lentils
Colombian Lentils,small tomato,http://allrecipes.com/recipe/216717/colombian-lentils
Colombian Lentils,small onion,http://allrecipes.com/recipe/216717/colombian-lentils
Colombian Lentils,ground cumin,http://allrecipes.com/recipe/216717/colombian-lentils
Colombian Lentils,salt,http://allrecipes.com/recipe/216717/colombian-lentils
Colombian Lentils,vegetable oil,http://allrecipes.com/recipe/216717/colombian-lentils
Colombian Lentils,small yellow potatoes,http://allrecipes.com/recipe/216717/colombian-lentils
Peruvian Cilantro Rice,"skinless, boneless chicken breast halves",http://allrecipes.com/recipe/73832/peruvian-cilantro-rice
Peruvian Cilantro Rice,"bunch fresh cilantro, stems removed",http://allrecipes.com/recipe/73832/peruvian-cilantro-rice
Peruvian Cilantro Rice,water,http://allrecipes.com/recipe/73832/peruvian-cilantro-rice
Peruvian Cilantro Rice,vegetable oil,http://allrecipes.com/recipe/73832/peruvian-cilantro-rice
Peruvian Cilantro Rice,minced garlic,http://allrecipes.com/recipe/73832/peruvian-cilantro-rice
Peruvian Cilantro Rice,frozen  carrots,http://allrecipes.com/recipe/73832/peruvian-cilantro-rice
Peruvian Cilantro Rice,frozen peas (optional),http://allrecipes.com/recipe/73832/peruvian-cilantro-rice
Peruvian Cilantro Rice,cumin,http://allrecipes.com/recipe/73832/peruvian-cilantro-rice
Peruvian Cilantro Rice,salt and  ground black pepper to taste,http://allrecipes.com/recipe/73832/peruvian-cilantro-rice
Peruvian Cilantro Rice,uncooked white rice,http://allrecipes.com/recipe/73832/peruvian-cilantro-rice
Brazilian Passion Fruit Mousse (Maracuja),passion fruits,http://allrecipes.com/recipe/47436/brazilian-passion-fruit-mousse-maracuja
Brazilian Passion Fruit Mousse (Maracuja),white sugar,http://allrecipes.com/recipe/47436/brazilian-passion-fruit-mousse-maracuja
Brazilian Passion Fruit Mousse (Maracuja),sweetened  milk,http://allrecipes.com/recipe/47436/brazilian-passion-fruit-mousse-maracuja
Brazilian Passion Fruit Mousse (Maracuja),cream,http://allrecipes.com/recipe/47436/brazilian-passion-fruit-mousse-maracuja
Brazilian Cheese Bread (Pao de Queijo),olive oil or butter,http://allrecipes.com/recipe/98554/brazilian-cheese-bread-pao-de-queijo
Brazilian Cheese Bread (Pao de Queijo),water,http://allrecipes.com/recipe/98554/brazilian-cheese-bread-pao-de-queijo
Brazilian Cheese Bread (Pao de Queijo),milk or soy milk,http://allrecipes.com/recipe/98554/brazilian-cheese-bread-pao-de-queijo
Brazilian Cheese Bread (Pao de Queijo),salt,http://allrecipes.com/recipe/98554/brazilian-cheese-bread-pao-de-queijo
