Recipe Name,Ingredient,URL
Shakshooka,olive oil,http://allrecipes.com/recipe/213716/shakshooka
Shakshooka,garlic,http://allrecipes.com/recipe/213716/shakshooka
Shakshooka,onion,http://allrecipes.com/recipe/213716/shakshooka
Shakshooka,jalapeno pepper,http://allrecipes.com/recipe/213716/shakshooka
Shakshooka,large red bell pepper,http://allrecipes.com/recipe/213716/shakshooka
Shakshooka,tomatoes,http://allrecipes.com/recipe/213716/shakshooka
Shakshooka,sweet paprika,http://allrecipes.com/recipe/213716/shakshooka
Shakshooka,hot paprika,http://allrecipes.com/recipe/213716/shakshooka
Shakshooka,salt and pepper to taste,http://allrecipes.com/recipe/213716/shakshooka
Shakshooka,tomato paste,http://allrecipes.com/recipe/213716/shakshooka
Shakshooka,water,http://allrecipes.com/recipe/213716/shakshooka
Shakshooka,saffron,http://allrecipes.com/recipe/213716/shakshooka
Shakshooka,chopped fresh parsley,http://allrecipes.com/recipe/213716/shakshooka
Shakshooka,eggs,http://allrecipes.com/recipe/213716/shakshooka
Fresh Israeli Salad,"vine-ripened tomatoes, cut into 1/4-inch cubes",http://allrecipes.com/recipe/236273/fresh-israeli-salad
Fresh Israeli Salad,"red bell pepper, cut into 1/4-inch cubes",http://allrecipes.com/recipe/236273/fresh-israeli-salad
Fresh Israeli Salad,"green bell pepper, cut into 1/4-inch cubes",http://allrecipes.com/recipe/236273/fresh-israeli-salad
Fresh Israeli Salad,"seedless cucumber, cut into 1/4-inch cubes",http://allrecipes.com/recipe/236273/fresh-israeli-salad
Fresh Israeli Salad,"radishes, cut into 1/8-inch cubes",http://allrecipes.com/recipe/236273/fresh-israeli-salad
Fresh Israeli Salad,extra-virgin olive oil,http://allrecipes.com/recipe/236273/fresh-israeli-salad
Fresh Israeli Salad,"scallion, cut into 1/8-inch cubes",http://allrecipes.com/recipe/236273/fresh-israeli-salad
Fresh Israeli Salad,"lemon juice, or to taste",http://allrecipes.com/recipe/236273/fresh-israeli-salad
Fresh Israeli Salad,ground sumac,http://allrecipes.com/recipe/236273/fresh-israeli-salad
Fresh Israeli Salad,salt to taste,http://allrecipes.com/recipe/236273/fresh-israeli-salad
Tahini Butter Cookies,butter,http://allrecipes.com/recipe/98087/tahini-butter-cookies
Tahini Butter Cookies,white sugar,http://allrecipes.com/recipe/98087/tahini-butter-cookies
Tahini Butter Cookies,vanilla extract,http://allrecipes.com/recipe/98087/tahini-butter-cookies
Tahini Butter Cookies,tahini,http://allrecipes.com/recipe/98087/tahini-butter-cookies
Tahini Butter Cookies,all-purpose flour,http://allrecipes.com/recipe/98087/tahini-butter-cookies
Tahini Butter Cookies,baking powder,http://allrecipes.com/recipe/98087/tahini-butter-cookies
Israeli Tomato and Cucumber Salad,Salad:,http://allrecipes.com/recipe/242304/israeli-tomato-and-cucumber-salad
Israeli Tomato and Cucumber Salad,English cucumbers,http://allrecipes.com/recipe/242304/israeli-tomato-and-cucumber-salad
Israeli Tomato and Cucumber Salad,Roma (plum) tomatoes  and,http://allrecipes.com/recipe/242304/israeli-tomato-and-cucumber-salad
Israeli Tomato and Cucumber Salad,purple onion,http://allrecipes.com/recipe/242304/israeli-tomato-and-cucumber-salad
Israeli Tomato and Cucumber Salad,red bell pepper  and,http://allrecipes.com/recipe/242304/israeli-tomato-and-cucumber-salad
Israeli Tomato and Cucumber Salad,chopped garlic,http://allrecipes.com/recipe/242304/israeli-tomato-and-cucumber-salad
Israeli Tomato and Cucumber Salad,chopped fresh parsley,http://allrecipes.com/recipe/242304/israeli-tomato-and-cucumber-salad
Israeli Tomato and Cucumber Salad,chopped fresh mint,http://allrecipes.com/recipe/242304/israeli-tomato-and-cucumber-salad
Israeli Tomato and Cucumber Salad,Dressing:,http://allrecipes.com/recipe/242304/israeli-tomato-and-cucumber-salad
Israeli Tomato and Cucumber Salad,olive oil,http://allrecipes.com/recipe/242304/israeli-tomato-and-cucumber-salad
Israeli Tomato and Cucumber Salad,fresh lemon juice,http://allrecipes.com/recipe/242304/israeli-tomato-and-cucumber-salad
Israeli Tomato and Cucumber Salad,kosher salt,http://allrecipes.com/recipe/242304/israeli-tomato-and-cucumber-salad
Israeli Tomato and Cucumber Salad,ground black pepper,http://allrecipes.com/recipe/242304/israeli-tomato-and-cucumber-salad
Re:Bar Re:Vive Shake,tub vanilla-flavored yogurt (such as Yoplait®),http://allrecipes.com/recipe/233974/rebar-revive-shake
Re:Bar Re:Vive Shake,,http://allrecipes.com/recipe/233974/rebar-revive-shake
Re:Bar Re:Vive Shake,orange juice,http://allrecipes.com/recipe/233974/rebar-revive-shake
Re:Bar Re:Vive Shake,slivered almonds,http://allrecipes.com/recipe/233974/rebar-revive-shake
Re:Bar Re:Vive Shake,granola,http://allrecipes.com/recipe/233974/rebar-revive-shake
Fast and Easy Israeli Tahini Cookies,all-purpose flour,http://allrecipes.com/recipe/239826/fast-and-easy-israeli-tahini-cookies
Fast and Easy Israeli Tahini Cookies,white sugar,http://allrecipes.com/recipe/239826/fast-and-easy-israeli-tahini-cookies
Fast and Easy Israeli Tahini Cookies,baking powder,http://allrecipes.com/recipe/239826/fast-and-easy-israeli-tahini-cookies
Fast and Easy Israeli Tahini Cookies,unsalted butter,http://allrecipes.com/recipe/239826/fast-and-easy-israeli-tahini-cookies
Fast and Easy Israeli Tahini Cookies,tahini,http://allrecipes.com/recipe/239826/fast-and-easy-israeli-tahini-cookies
Authentic Middle Eastern Hummus (Chummus),dry garbanzo beans  overnight,http://allrecipes.com/recipe/161082/authentic-middle-eastern-hummus-chummus
Authentic Middle Eastern Hummus (Chummus),pinch baking soda (optional),http://allrecipes.com/recipe/161082/authentic-middle-eastern-hummus-chummus
Authentic Middle Eastern Hummus (Chummus),extra-virgin olive oil,http://allrecipes.com/recipe/161082/authentic-middle-eastern-hummus-chummus
Authentic Middle Eastern Hummus (Chummus),tahini paste,http://allrecipes.com/recipe/161082/authentic-middle-eastern-hummus-chummus
Authentic Middle Eastern Hummus (Chummus),"fresh lemon juice, or more to taste",http://allrecipes.com/recipe/161082/authentic-middle-eastern-hummus-chummus
Authentic Middle Eastern Hummus (Chummus),"garlic, minced, or more to taste",http://allrecipes.com/recipe/161082/authentic-middle-eastern-hummus-chummus
Authentic Middle Eastern Hummus (Chummus),ground cumin,http://allrecipes.com/recipe/161082/authentic-middle-eastern-hummus-chummus
Authentic Middle Eastern Hummus (Chummus),salt to taste,http://allrecipes.com/recipe/161082/authentic-middle-eastern-hummus-chummus
Authentic Middle Eastern Hummus (Chummus),"extra virgin olive oil, for drizzling",http://allrecipes.com/recipe/161082/authentic-middle-eastern-hummus-chummus
Ima's Potato Salad,russet potatoes,http://allrecipes.com/recipe/213718/imas-potato-salad
Ima's Potato Salad,mayonnaise,http://allrecipes.com/recipe/213718/imas-potato-salad
Ima's Potato Salad,frozen peas and carrots,http://allrecipes.com/recipe/213718/imas-potato-salad
Ima's Potato Salad,hard-cooked eggs,http://allrecipes.com/recipe/213718/imas-potato-salad
Ima's Potato Salad,Israeli-style pickles,http://allrecipes.com/recipe/213718/imas-potato-salad
Ima's Potato Salad,spicy mustard,http://allrecipes.com/recipe/213718/imas-potato-salad
Ima's Potato Salad,salt and pepper to taste,http://allrecipes.com/recipe/213718/imas-potato-salad
Middle Eastern Kibbeh,medium coarse bulgur,http://allrecipes.com/recipe/143265/middle-eastern-kibbeh
Middle Eastern Kibbeh,fresh mint leaves,http://allrecipes.com/recipe/143265/middle-eastern-kibbeh
Middle Eastern Kibbeh,large onion,http://allrecipes.com/recipe/143265/middle-eastern-kibbeh
Middle Eastern Kibbeh,ground cumin,http://allrecipes.com/recipe/143265/middle-eastern-kibbeh
Middle Eastern Kibbeh,ground allspice,http://allrecipes.com/recipe/143265/middle-eastern-kibbeh
Middle Eastern Kibbeh,salt,http://allrecipes.com/recipe/143265/middle-eastern-kibbeh
Middle Eastern Kibbeh,ground black pepper,http://allrecipes.com/recipe/143265/middle-eastern-kibbeh
Middle Eastern Kibbeh,lean ground lamb,http://allrecipes.com/recipe/143265/middle-eastern-kibbeh
Middle Eastern Kibbeh,olive oil,http://allrecipes.com/recipe/143265/middle-eastern-kibbeh
Sambusaks (Sumboosaks) with Chickpeas,all-purpose flour,http://allrecipes.com/recipe/216953/sambusaks-sumboosaks-with-chickpeas
Sambusaks (Sumboosaks) with Chickpeas,cornstarch,http://allrecipes.com/recipe/216953/sambusaks-sumboosaks-with-chickpeas
Sambusaks (Sumboosaks) with Chickpeas,salt,http://allrecipes.com/recipe/216953/sambusaks-sumboosaks-with-chickpeas
Sambusaks (Sumboosaks) with Chickpeas,baking powder,http://allrecipes.com/recipe/216953/sambusaks-sumboosaks-with-chickpeas
Sambusaks (Sumboosaks) with Chickpeas,vegetable oil,http://allrecipes.com/recipe/216953/sambusaks-sumboosaks-with-chickpeas
Sambusaks (Sumboosaks) with Chickpeas,warm water,http://allrecipes.com/recipe/216953/sambusaks-sumboosaks-with-chickpeas
Sambusaks (Sumboosaks) with Chickpeas,extra large onion,http://allrecipes.com/recipe/216953/sambusaks-sumboosaks-with-chickpeas
Sambusaks (Sumboosaks) with Chickpeas,vegetable oil,http://allrecipes.com/recipe/216953/sambusaks-sumboosaks-with-chickpeas
Sambusaks (Sumboosaks) with Chickpeas,garbanzo beans  and,http://allrecipes.com/recipe/216953/sambusaks-sumboosaks-with-chickpeas
Sambusaks (Sumboosaks) with Chickpeas,bunch fresh cilantro,http://allrecipes.com/recipe/216953/sambusaks-sumboosaks-with-chickpeas
Sambusaks (Sumboosaks) with Chickpeas,ground cumin,http://allrecipes.com/recipe/216953/sambusaks-sumboosaks-with-chickpeas
Sambusaks (Sumboosaks) with Chickpeas,ground coriander,http://allrecipes.com/recipe/216953/sambusaks-sumboosaks-with-chickpeas
Sambusaks (Sumboosaks) with Chickpeas,salt and ground black pepper to taste,http://allrecipes.com/recipe/216953/sambusaks-sumboosaks-with-chickpeas
Sambusaks (Sumboosaks) with Chickpeas,vegetable oil for frying,http://allrecipes.com/recipe/216953/sambusaks-sumboosaks-with-chickpeas
Sambusaks (Sumboosaks) with Chickpeas,eggs,http://allrecipes.com/recipe/216953/sambusaks-sumboosaks-with-chickpeas
Salat Yirakot,tomatoes,http://allrecipes.com/recipe/256540/salat-yirakot
Salat Yirakot,green bell peppers,http://allrecipes.com/recipe/256540/salat-yirakot
Salat Yirakot,"red bell pepper, diced, or more to taste",http://allrecipes.com/recipe/256540/salat-yirakot
Salat Yirakot,cucumber,http://allrecipes.com/recipe/256540/salat-yirakot
Salat Yirakot,olive oil,http://allrecipes.com/recipe/256540/salat-yirakot
Salat Yirakot,red onion,http://allrecipes.com/recipe/256540/salat-yirakot
Salat Yirakot,scallions,http://allrecipes.com/recipe/256540/salat-yirakot
Salat Yirakot,lemon juice,http://allrecipes.com/recipe/256540/salat-yirakot
Salat Yirakot,"chopped fresh parsley, or to taste",http://allrecipes.com/recipe/256540/salat-yirakot
Salat Yirakot,"chopped fresh mint, or to taste",http://allrecipes.com/recipe/256540/salat-yirakot
Salat Yirakot,"chopped fresh dill, or to taste",http://allrecipes.com/recipe/256540/salat-yirakot
Salat Yirakot,vinegar,http://allrecipes.com/recipe/256540/salat-yirakot
Salat Yirakot,garlic,http://allrecipes.com/recipe/256540/salat-yirakot
Salat Yirakot,ground sumac,http://allrecipes.com/recipe/256540/salat-yirakot
Salat Yirakot,salt and ground black pepper to taste,http://allrecipes.com/recipe/256540/salat-yirakot
Israeli Stuffed Dates,bittersweet chocolate,http://allrecipes.com/recipe/139989/israeli-stuffed-dates
Israeli Stuffed Dates,pitted Medjool dates,http://allrecipes.com/recipe/139989/israeli-stuffed-dates
Israeli Stuffed Dates,pecan halves,http://allrecipes.com/recipe/139989/israeli-stuffed-dates
Israeli Stuffed Dates,sweetened shredded coconut (optional),http://allrecipes.com/recipe/139989/israeli-stuffed-dates
Hawaij/All-Purpose Seasoning,ground black pepper,http://allrecipes.com/recipe/236272/hawaijall-purpose-seasoning
Hawaij/All-Purpose Seasoning,ground cumin,http://allrecipes.com/recipe/236272/hawaijall-purpose-seasoning
Hawaij/All-Purpose Seasoning,ground turmeric,http://allrecipes.com/recipe/236272/hawaijall-purpose-seasoning
Hawaij/All-Purpose Seasoning,ground cardamom,http://allrecipes.com/recipe/236272/hawaijall-purpose-seasoning
Hawaij/All-Purpose Seasoning,ground sumac,http://allrecipes.com/recipe/236272/hawaijall-purpose-seasoning
Hawaij/All-Purpose Seasoning,kosher salt (optional),http://allrecipes.com/recipe/236272/hawaijall-purpose-seasoning
Whole Rice and Lentils (Majadara),olive oil,http://allrecipes.com/recipe/222902/whole-rice-and-lentils-majadara
Whole Rice and Lentils (Majadara),large onion,http://allrecipes.com/recipe/222902/whole-rice-and-lentils-majadara
Whole Rice and Lentils (Majadara),garlic,http://allrecipes.com/recipe/222902/whole-rice-and-lentils-majadara
Whole Rice and Lentils (Majadara),chopped fresh ginger root,http://allrecipes.com/recipe/222902/whole-rice-and-lentils-majadara
Whole Rice and Lentils (Majadara),brown rice,http://allrecipes.com/recipe/222902/whole-rice-and-lentils-majadara
Whole Rice and Lentils (Majadara),green lentils,http://allrecipes.com/recipe/222902/whole-rice-and-lentils-majadara
Whole Rice and Lentils (Majadara),ground cumin,http://allrecipes.com/recipe/222902/whole-rice-and-lentils-majadara
Whole Rice and Lentils (Majadara),salt,http://allrecipes.com/recipe/222902/whole-rice-and-lentils-majadara
Whole Rice and Lentils (Majadara),ground black pepper,http://allrecipes.com/recipe/222902/whole-rice-and-lentils-majadara
Whole Rice and Lentils (Majadara),ground cinnamon,http://allrecipes.com/recipe/222902/whole-rice-and-lentils-majadara
Whole Rice and Lentils (Majadara),water,http://allrecipes.com/recipe/222902/whole-rice-and-lentils-majadara
Moroccan Shabbat Fish,"red bell pepper, cut into thin strips",http://allrecipes.com/recipe/213243/moroccan-shabbat-fish
Moroccan Shabbat Fish,tomatoes,http://allrecipes.com/recipe/213243/moroccan-shabbat-fish
Moroccan Shabbat Fish,tilapia fillets,http://allrecipes.com/recipe/213243/moroccan-shabbat-fish
Moroccan Shabbat Fish,paprika,http://allrecipes.com/recipe/213243/moroccan-shabbat-fish
Moroccan Shabbat Fish,chicken bouillon granules,http://allrecipes.com/recipe/213243/moroccan-shabbat-fish
Moroccan Shabbat Fish,cayenne pepper,http://allrecipes.com/recipe/213243/moroccan-shabbat-fish
Moroccan Shabbat Fish,salt and pepper to taste,http://allrecipes.com/recipe/213243/moroccan-shabbat-fish
Moroccan Shabbat Fish,olive oil,http://allrecipes.com/recipe/213243/moroccan-shabbat-fish
Moroccan Shabbat Fish,water,http://allrecipes.com/recipe/213243/moroccan-shabbat-fish
Moroccan Shabbat Fish,chopped fresh parsley,http://allrecipes.com/recipe/213243/moroccan-shabbat-fish
Foolproof Potato Latkes,potatoes  and,http://allrecipes.com/recipe/212816/foolproof-potato-latkes
Foolproof Potato Latkes,onion,http://allrecipes.com/recipe/212816/foolproof-potato-latkes
Foolproof Potato Latkes,eggs,http://allrecipes.com/recipe/212816/foolproof-potato-latkes
Foolproof Potato Latkes,salt,http://allrecipes.com/recipe/212816/foolproof-potato-latkes
Foolproof Potato Latkes,"all-purpose flour, or as needed",http://allrecipes.com/recipe/212816/foolproof-potato-latkes
Foolproof Potato Latkes,baking powder,http://allrecipes.com/recipe/212816/foolproof-potato-latkes
Foolproof Potato Latkes,"canola oil, or as needed",http://allrecipes.com/recipe/212816/foolproof-potato-latkes
Israeli Salad,cucumbers,http://allrecipes.com/recipe/208878/israeli-salad
Israeli Salad,roma (plum) tomatoes  and,http://allrecipes.com/recipe/208878/israeli-salad
Israeli Salad,green onions,http://allrecipes.com/recipe/208878/israeli-salad
Israeli Salad,red bell pepper  and,http://allrecipes.com/recipe/208878/israeli-salad
Israeli Salad,chopped garlic,http://allrecipes.com/recipe/208878/israeli-salad
Israeli Salad,chopped fresh parsley,http://allrecipes.com/recipe/208878/israeli-salad
Israeli Salad,minced fresh mint leaves,http://allrecipes.com/recipe/208878/israeli-salad
Israeli Salad,olive oil,http://allrecipes.com/recipe/208878/israeli-salad
Israeli Salad,fresh lemon juice,http://allrecipes.com/recipe/208878/israeli-salad
Israeli Salad,salt,http://allrecipes.com/recipe/208878/israeli-salad
Israeli Salad,ground black pepper,http://allrecipes.com/recipe/208878/israeli-salad
Apples in Pajamas,"large Granny smith apples - peeled, cored and sliced into 1/2 inch thick rings",http://allrecipes.com/recipe/57998/apples-in-pajamas
Apples in Pajamas,all-purpose flour,http://allrecipes.com/recipe/57998/apples-in-pajamas
Apples in Pajamas,pinch salt,http://allrecipes.com/recipe/57998/apples-in-pajamas
Apples in Pajamas,eggs,http://allrecipes.com/recipe/57998/apples-in-pajamas
Apples in Pajamas,vegetable oil,http://allrecipes.com/recipe/57998/apples-in-pajamas
Apples in Pajamas,milk,http://allrecipes.com/recipe/57998/apples-in-pajamas
Apples in Pajamas,water,http://allrecipes.com/recipe/57998/apples-in-pajamas
Apples in Pajamas,"oil for frying, or as needed",http://allrecipes.com/recipe/57998/apples-in-pajamas
Apples in Pajamas,ground cinnamon,http://allrecipes.com/recipe/57998/apples-in-pajamas
Apples in Pajamas,white sugar,http://allrecipes.com/recipe/57998/apples-in-pajamas
Middle Eastern Rice with Black Beans and Chickpeas,olive oil,http://allrecipes.com/recipe/87496/middle-eastern-rice-with-black-beans-and-chickpeas
Middle Eastern Rice with Black Beans and Chickpeas,garlic,http://allrecipes.com/recipe/87496/middle-eastern-rice-with-black-beans-and-chickpeas
Middle Eastern Rice with Black Beans and Chickpeas,uncooked basmati rice,http://allrecipes.com/recipe/87496/middle-eastern-rice-with-black-beans-and-chickpeas
Middle Eastern Rice with Black Beans and Chickpeas,ground cumin,http://allrecipes.com/recipe/87496/middle-eastern-rice-with-black-beans-and-chickpeas
Middle Eastern Rice with Black Beans and Chickpeas,ground coriander,http://allrecipes.com/recipe/87496/middle-eastern-rice-with-black-beans-and-chickpeas
Middle Eastern Rice with Black Beans and Chickpeas,ground turmeric,http://allrecipes.com/recipe/87496/middle-eastern-rice-with-black-beans-and-chickpeas
Middle Eastern Rice with Black Beans and Chickpeas,ground cayenne pepper,http://allrecipes.com/recipe/87496/middle-eastern-rice-with-black-beans-and-chickpeas
Middle Eastern Rice with Black Beans and Chickpeas,chicken stock,http://allrecipes.com/recipe/87496/middle-eastern-rice-with-black-beans-and-chickpeas
