Recipe Name,Ingredient,URL
Kibbee Lebanese Style,bulgur,http://allrecipes.com/recipe/201182/kibbee-lebanese-style
Kibbee Lebanese Style,hot water,http://allrecipes.com/recipe/201182/kibbee-lebanese-style
Kibbee Lebanese Style,dried mint,http://allrecipes.com/recipe/201182/kibbee-lebanese-style
Kibbee Lebanese Style,ground allspice,http://allrecipes.com/recipe/201182/kibbee-lebanese-style
Kibbee Lebanese Style,ground black pepper,http://allrecipes.com/recipe/201182/kibbee-lebanese-style
Kibbee Lebanese Style,ground cinnamon,http://allrecipes.com/recipe/201182/kibbee-lebanese-style
Kibbee Lebanese Style,salt,http://allrecipes.com/recipe/201182/kibbee-lebanese-style
Kibbee Lebanese Style,onion,http://allrecipes.com/recipe/201182/kibbee-lebanese-style
Kibbee Lebanese Style,chopped fresh parsley,http://allrecipes.com/recipe/201182/kibbee-lebanese-style
Kibbee Lebanese Style,ground lamb,http://allrecipes.com/recipe/201182/kibbee-lebanese-style
Kibbee Lebanese Style,pine nuts,http://allrecipes.com/recipe/201182/kibbee-lebanese-style
Semolina Turmeric Cake (Sfoof),semolina flour,http://allrecipes.com/recipe/8244/semolina-turmeric-cake-sfoof
Semolina Turmeric Cake (Sfoof),all-purpose flour,http://allrecipes.com/recipe/8244/semolina-turmeric-cake-sfoof
Semolina Turmeric Cake (Sfoof),ground turmeric,http://allrecipes.com/recipe/8244/semolina-turmeric-cake-sfoof
Semolina Turmeric Cake (Sfoof),baking powder,http://allrecipes.com/recipe/8244/semolina-turmeric-cake-sfoof
Semolina Turmeric Cake (Sfoof),white sugar,http://allrecipes.com/recipe/8244/semolina-turmeric-cake-sfoof
Semolina Turmeric Cake (Sfoof),milk,http://allrecipes.com/recipe/8244/semolina-turmeric-cake-sfoof
Semolina Turmeric Cake (Sfoof),vegetable oil,http://allrecipes.com/recipe/8244/semolina-turmeric-cake-sfoof
Semolina Turmeric Cake (Sfoof),pine nuts,http://allrecipes.com/recipe/8244/semolina-turmeric-cake-sfoof
Mediterranean Meat Pies (Sfeeha),ground beef,http://allrecipes.com/recipe/216879/mediterranean-meat-pies-sfeeha
Mediterranean Meat Pies (Sfeeha),ground lamb,http://allrecipes.com/recipe/216879/mediterranean-meat-pies-sfeeha
Mediterranean Meat Pies (Sfeeha),white onion,http://allrecipes.com/recipe/216879/mediterranean-meat-pies-sfeeha
Mediterranean Meat Pies (Sfeeha),pine nuts,http://allrecipes.com/recipe/216879/mediterranean-meat-pies-sfeeha
Mediterranean Meat Pies (Sfeeha),ground cinnamon,http://allrecipes.com/recipe/216879/mediterranean-meat-pies-sfeeha
Mediterranean Meat Pies (Sfeeha),salt and ground black pepper to taste,http://allrecipes.com/recipe/216879/mediterranean-meat-pies-sfeeha
Mediterranean Meat Pies (Sfeeha),lemon juice,http://allrecipes.com/recipe/216879/mediterranean-meat-pies-sfeeha
Mediterranean Meat Pies (Sfeeha),"egg, beaten",http://allrecipes.com/recipe/216879/mediterranean-meat-pies-sfeeha
Mediterranean Meat Pies (Sfeeha),(17.3 ounce) packages frozen puff pastry,http://allrecipes.com/recipe/216879/mediterranean-meat-pies-sfeeha
Lebanese Baked Eggplant,eggplants,http://allrecipes.com/recipe/178510/lebanese-baked-eggplant
Lebanese Baked Eggplant,salt,http://allrecipes.com/recipe/178510/lebanese-baked-eggplant
Lebanese Baked Eggplant,olive oil,http://allrecipes.com/recipe/178510/lebanese-baked-eggplant
Lebanese Baked Eggplant,beef stew meat  into small pieces,http://allrecipes.com/recipe/178510/lebanese-baked-eggplant
Lebanese Baked Eggplant,large onion,http://allrecipes.com/recipe/178510/lebanese-baked-eggplant
Lebanese Baked Eggplant,chopped walnuts,http://allrecipes.com/recipe/178510/lebanese-baked-eggplant
Lebanese Baked Eggplant,large potatoes  into 1 inch cubes,http://allrecipes.com/recipe/178510/lebanese-baked-eggplant
Lebanese Baked Eggplant,stewed tomatoes,http://allrecipes.com/recipe/178510/lebanese-baked-eggplant
Lebanese Baked Eggplant,salt and pepper to taste,http://allrecipes.com/recipe/178510/lebanese-baked-eggplant
Kafta (BBQ),lean ground beef,http://allrecipes.com/recipe/64519/kafta
Kafta (BBQ),medium onion,http://allrecipes.com/recipe/64519/kafta
Kafta (BBQ),chopped fresh parsley,http://allrecipes.com/recipe/64519/kafta
Kafta (BBQ),cayenne pepper,http://allrecipes.com/recipe/64519/kafta
Kafta (BBQ),ground allspice,http://allrecipes.com/recipe/64519/kafta
Kafta (BBQ),"salt, or to taste",http://allrecipes.com/recipe/64519/kafta
Kafta (BBQ),black pepper,http://allrecipes.com/recipe/64519/kafta
Kafta (BBQ),wooden or metal skewers,http://allrecipes.com/recipe/64519/kafta
Lebanese Fattoosh,pita breads,http://allrecipes.com/recipe/137471/lebanese-fattoosh
Lebanese Fattoosh,head romaine lettuce,http://allrecipes.com/recipe/137471/lebanese-fattoosh
Lebanese Fattoosh,tomatoes,http://allrecipes.com/recipe/137471/lebanese-fattoosh
Lebanese Fattoosh,green onions,http://allrecipes.com/recipe/137471/lebanese-fattoosh
Lebanese Fattoosh,cucumber,http://allrecipes.com/recipe/137471/lebanese-fattoosh
Lebanese Fattoosh,sliced green olives,http://allrecipes.com/recipe/137471/lebanese-fattoosh
Lebanese Fattoosh,radishes,http://allrecipes.com/recipe/137471/lebanese-fattoosh
Lebanese Fattoosh,green or red bell pepper,http://allrecipes.com/recipe/137471/lebanese-fattoosh
Lebanese Fattoosh,chopped fresh mint,http://allrecipes.com/recipe/137471/lebanese-fattoosh
Lebanese Fattoosh,sumac,http://allrecipes.com/recipe/137471/lebanese-fattoosh
Lebanese Fattoosh,"salt, or to taste",http://allrecipes.com/recipe/137471/lebanese-fattoosh
Lebanese Fattoosh,fresh lemon juice,http://allrecipes.com/recipe/137471/lebanese-fattoosh
Lebanese Fattoosh,olive oil,http://allrecipes.com/recipe/137471/lebanese-fattoosh
Red Bean Stew,olive oil,http://allrecipes.com/recipe/245220/red-bean-stew
Red Bean Stew,onion,http://allrecipes.com/recipe/245220/red-bean-stew
Red Bean Stew,bunch fresh cilantro stems removed and leaves,http://allrecipes.com/recipe/245220/red-bean-stew
Red Bean Stew,garlic,http://allrecipes.com/recipe/245220/red-bean-stew
Red Bean Stew,ground cinnamon,http://allrecipes.com/recipe/245220/red-bean-stew
Red Bean Stew,ground coriander,http://allrecipes.com/recipe/245220/red-bean-stew
Red Bean Stew,ground cumin,http://allrecipes.com/recipe/245220/red-bean-stew
Red Bean Stew,tomato sauce,http://allrecipes.com/recipe/245220/red-bean-stew
Red Bean Stew,red beans  and,http://allrecipes.com/recipe/245220/red-bean-stew
Red Bean Stew,salt and ground black pepper to taste,http://allrecipes.com/recipe/245220/red-bean-stew
Lebanese Radish Salad,walnut halves,http://allrecipes.com/recipe/241426/lebanese-radish-salad
Lebanese Radish Salad,"radishes, trimmed and sliced into thin rounds",http://allrecipes.com/recipe/241426/lebanese-radish-salad
Lebanese Radish Salad,extra-virgin olive oil,http://allrecipes.com/recipe/241426/lebanese-radish-salad
Lebanese Radish Salad,fresh lemon juice,http://allrecipes.com/recipe/241426/lebanese-radish-salad
Lebanese Radish Salad,kosher salt (such as Diamond Crystal®),http://allrecipes.com/recipe/241426/lebanese-radish-salad
Lebanese Radish Salad,honey,http://allrecipes.com/recipe/241426/lebanese-radish-salad
Lebanese Radish Salad,fresh mint leaves,http://allrecipes.com/recipe/241426/lebanese-radish-salad
Lebanese Seven Spices,ground black pepper,http://allrecipes.com/recipe/216191/lebanese-seven-spices
Lebanese Seven Spices,ground cumin,http://allrecipes.com/recipe/216191/lebanese-seven-spices
Lebanese Seven Spices,paprika,http://allrecipes.com/recipe/216191/lebanese-seven-spices
Lebanese Seven Spices,ground coriander,http://allrecipes.com/recipe/216191/lebanese-seven-spices
Lebanese Seven Spices,,http://allrecipes.com/recipe/216191/lebanese-seven-spices
Lebanese Seven Spices,ground nutmeg,http://allrecipes.com/recipe/216191/lebanese-seven-spices
Lebanese Seven Spices,ground cinnamon,http://allrecipes.com/recipe/216191/lebanese-seven-spices
Lebanese Seven Spices,ground cardamom,http://allrecipes.com/recipe/216191/lebanese-seven-spices
Middle Eastern Kibbeh,medium coarse bulgur,http://allrecipes.com/recipe/143265/middle-eastern-kibbeh
