Recipe,URL
Kibbee Lebanese Style,http://allrecipes.com/recipe/201182/kibbee-lebanese-style
Semolina Turmeric Cake (Sfoof),http://allrecipes.com/recipe/8244/semolina-turmeric-cake-sfoof
Mediterranean Meat Pies (Sfeeha),http://allrecipes.com/recipe/216879/mediterranean-meat-pies-sfeeha
Lebanese Baked Eggplant,http://allrecipes.com/recipe/178510/lebanese-baked-eggplant
Kafta (BBQ),http://allrecipes.com/recipe/64519/kafta
Lebanese Fattoosh,http://allrecipes.com/recipe/137471/lebanese-fattoosh
Red Bean Stew,http://allrecipes.com/recipe/245220/red-bean-stew
Lebanese Radish Salad,http://allrecipes.com/recipe/241426/lebanese-radish-salad
Lebanese Seven Spices,http://allrecipes.com/recipe/216191/lebanese-seven-spices
Middle Eastern Kibbeh,http://allrecipes.com/recipe/143265/middle-eastern-kibbeh
Aunty Terese's Fattoush,http://allrecipes.com/recipe/240740/aunty-tereses-fattoush
Jiddo's Fatayer Sabanegh (Spinach Triangles),http://allrecipes.com/recipe/140412/jiddos-fatayer-sabanegh-spinach-triangles
Labneh (Lebanese Yogurt),http://allrecipes.com/recipe/244796/labneh-lebanese-yogurt
Lebanese Easter Cookies,http://allrecipes.com/recipe/140413/lebanese-easter-cookies
Mellas Family Lamb Stuffed Zucchini (Koosa),http://allrecipes.com/recipe/207936/mellas-family-lamb-stuffed-zucchini-koosa
Lebanese-Style Tabouli,http://allrecipes.com/recipe/163398/lebanese-style-tabouli
Muhammara,http://allrecipes.com/recipe/84676/muhammara
Arabic Fattoush Salad,http://allrecipes.com/recipe/223439/arabic-fattoush-salad
Mom's Black-Eyed Peas,http://allrecipes.com/recipe/213018/moms-black-eyed-peas
Lebanese Chicken Shawarma,http://allrecipes.com/recipe/257328/lebanese-chicken-shawarma
Driving American Business,
Lebanese Bean Salad,http://allrecipes.com/recipe/222676/lebanese-bean-salad
Mamool or Ma'amoul,http://allrecipes.com/recipe/47644/mamool-or-maamoul
Fattoush,http://allrecipes.com/recipe/86283/fattoush
Allrecipes Magazine,https://secure.allrecipesmagazine.com/order/?containerName=i71vtar01&psrc=I701TRDW398DFA&internalSource=marketcard&referringId=1824&referringContentType=recipe%20hub&clickId=cardslot%2010
Lebanese Fattoush,http://allrecipes.com/recipe/149752/lebanese-fattoush
Lebanese Stuffed Zucchini (Coosa/Koosa),http://allrecipes.com/recipe/231372/lebanese-stuffed-zucchini-coosakoosa
Arabic Cookies,http://allrecipes.com/recipe/10456/arabic-cookies
Kibby (Kibby-Bel-Saneeya),http://allrecipes.com/recipe/231472/kibby-kibby-bel-saneeya
Lamb Shawarma,http://allrecipes.com/recipe/214029/lamb-shawarma
Manaaeesh Flatbread,http://allrecipes.com/recipe/227991/manaaeesh-flatbread
Lebanese Zaatar (Za'atar) Bread,http://allrecipes.com/recipe/236328/lebanese-zaatar-zaatar-bread
Lentil Lemon Soup,http://allrecipes.com/recipe/70737/lentil-lemon-soup
Lebanese Garlic Butter Sauce,http://allrecipes.com/recipe/244797/lebanese-garlic-butter-sauce
Fried Cauliflower with Tahini Sauce,http://allrecipes.com/recipe/170731/fried-cauliflower-with-tahini-sauce
Layali Libnan (Lebanese Nights),http://allrecipes.com/recipe/34791/layali-libnan-lebanese-nights
Mahallebi,http://allrecipes.com/recipe/88045/mahallebi
Green Beans in Seasoned Tomato Sauce,http://allrecipes.com/recipe/231471/green-beans-in-seasoned-tomato-sauce
Whipped Garlic,http://allrecipes.com/recipe/78312/whipped-garlic
Babi's Bean Salad,http://allrecipes.com/recipe/50220/babis-bean-salad
Namoora (Basboosa),http://allrecipes.com/recipe/218646/namoora-basboosa
Sfouf (Lebanese Turmeric Cake),http://allrecipes.com/recipe/257046/sfouf-lebanese-turmeric-cake
Tabbouleh III,http://allrecipes.com/recipe/14438/tabbouleh-iii
Lebanese Donair,http://allrecipes.com/recipe/88233/lebanese-donair
