Recipe Name,Ingredient,URL,Is_Not_Vegetarian,Vegetarian_Substitute
Anzac Biscuits II,rolled oats,http://allrecipes.com/recipe/10733/anzac-biscuits-ii,0,
Anzac Biscuits II,white sugar,http://allrecipes.com/recipe/10733/anzac-biscuits-ii,0,
Anzac Biscuits II,butter,http://allrecipes.com/recipe/10733/anzac-biscuits-ii,0,
Anzac Biscuits II,golden syrup,http://allrecipes.com/recipe/10733/anzac-biscuits-ii,0,
Anzac Biscuits II,baking soda,http://allrecipes.com/recipe/10733/anzac-biscuits-ii,0,
Anzac Biscuits II,boiling water,http://allrecipes.com/recipe/10733/anzac-biscuits-ii,0,
Anzac Biscuits II,all-purpose flour,http://allrecipes.com/recipe/10733/anzac-biscuits-ii,0,
Anzac Biscuits with Macadamia Nuts,rolled oats,http://allrecipes.com/recipe/15223/anzac-biscuits-with-macadamia-nuts,0,
Anzac Biscuits with Macadamia Nuts,white sugar,http://allrecipes.com/recipe/15223/anzac-biscuits-with-macadamia-nuts,0,
Anzac Biscuits with Macadamia Nuts,flaked coconut,http://allrecipes.com/recipe/15223/anzac-biscuits-with-macadamia-nuts,0,
Anzac Biscuits with Macadamia Nuts,chopped and  macadamia nuts,http://allrecipes.com/recipe/15223/anzac-biscuits-with-macadamia-nuts,0,
Anzac Biscuits with Macadamia Nuts,water,http://allrecipes.com/recipe/15223/anzac-biscuits-with-macadamia-nuts,0,
Anzac Biscuits with Macadamia Nuts,honey,http://allrecipes.com/recipe/15223/anzac-biscuits-with-macadamia-nuts,0,
Anzac Biscuits with Macadamia Nuts,baking soda,http://allrecipes.com/recipe/15223/anzac-biscuits-with-macadamia-nuts,0,
Anzac Biscuits with Macadamia Nuts,butter,http://allrecipes.com/recipe/15223/anzac-biscuits-with-macadamia-nuts,0,
Sweet Candied Orange and Lemon Peel,lemon peels  into 1/4 inch strips,http://allrecipes.com/recipe/19000/sweet-candied-orange-and-lemon-peel,0,
Sweet Candied Orange and Lemon Peel,orange peels  into 1/4 inch strips,http://allrecipes.com/recipe/19000/sweet-candied-orange-and-lemon-peel,0,
Sweet Candied Orange and Lemon Peel,white sugar,http://allrecipes.com/recipe/19000/sweet-candied-orange-and-lemon-peel,0,
Sweet Candied Orange and Lemon Peel,water,http://allrecipes.com/recipe/19000/sweet-candied-orange-and-lemon-peel,0,
Sweet Candied Orange and Lemon Peel,white sugar for decoration,http://allrecipes.com/recipe/19000/sweet-candied-orange-and-lemon-peel,0,
Mango and Mixed Fruit Cake,"mango slices, with juice",http://allrecipes.com/recipe/25601/mango-and-mixed-fruit-cake,0,
Mango and Mixed Fruit Cake,candied mixed fruit peel,http://allrecipes.com/recipe/25601/mango-and-mixed-fruit-cake,0,
Mango and Mixed Fruit Cake,rum,http://allrecipes.com/recipe/25601/mango-and-mixed-fruit-cake,0,
Mango and Mixed Fruit Cake,ground cinnamon,http://allrecipes.com/recipe/25601/mango-and-mixed-fruit-cake,0,
Mango and Mixed Fruit Cake,ground nutmeg,http://allrecipes.com/recipe/25601/mango-and-mixed-fruit-cake,0,
Mango and Mixed Fruit Cake,"egg, beaten",http://allrecipes.com/recipe/25601/mango-and-mixed-fruit-cake,0,
Mango and Mixed Fruit Cake,vanilla extract,http://allrecipes.com/recipe/25601/mango-and-mixed-fruit-cake,0,
Mango and Mixed Fruit Cake,all-purpose flour,http://allrecipes.com/recipe/25601/mango-and-mixed-fruit-cake,0,
Mango and Mixed Fruit Cake,baking powder,http://allrecipes.com/recipe/25601/mango-and-mixed-fruit-cake,0,
Lamingtons,Cake:,http://allrecipes.com/recipe/17201/lamingtons,0,
Lamingtons,all-purpose flour,http://allrecipes.com/recipe/17201/lamingtons,0,
Lamingtons,baking powder,http://allrecipes.com/recipe/17201/lamingtons,0,
Lamingtons,salt,http://allrecipes.com/recipe/17201/lamingtons,0,
Lamingtons,"butter, room temperature",http://allrecipes.com/recipe/17201/lamingtons,0,
